Numero Zucchetta,Name of Bridge,Bridge Code,Year Constructed,Crossing River,Segment Code,Number of Islands on the North Side,Number of Islands on the South Side,Northern District,Southern Districts,Private,Civic,Civic Letter,Numero Campate,Arc Style Code,Arc Style,Construction Material Code,Construction Material,Decorations,Handicapped Accessible,Additional Handrail,Number of Steps North,Number of Steps South,Total Number of Steps,Height,Codice Materiale Alzata,Materiale Alzata,Pedata,Codice Materiale Pedata,Material Paving Steps,Minimum Step Width,Superficie Gradino Tipo (Min),Superficie Totale Gradini,Ipotenusa N,Ipotenusa S,Cateto N,Cateto S,Inclination N,Inclination S,Maximum Inclination,Summit Width,Summit Length,Area of Summit,Material Code of Summit,Flooring Material at Summit,Condition of Pavement at Summit,Description of the Condition of Pavement at Summit,Area of Pavement,Codice Tipologia Spalletta,Tipologia spalletta,Codice Materiale Spalletta,Materiale Spalletta,Larghezza Spalletta Est,Larghezza Spalletta Ovest,Larghezza Media Spallette,Altezza Media Spalletta,Width of River,Sporgenza N,Sporgenza S,Effective Lighting,Tide Level,Water Altitude,Freccia N1,Freccia C,Freccia S1,Freccia Minima,Freccia Media,Spessore N2,Spessore N1,Spessore C,Spessore S1,Spessore S2,Spessore Minimo,Photo Number of Arc,Photo Number of Ramp,Numero Foto Punto Quotato,H-N1,H-C,H-S1,SE-N2,SE-N1,SE-C,SE-S1,SE-S2,SI-N2,SI-N1,SI-C,SI-S1,SI-S2,Overall Width,Note:
164,Ponte Rielo,RIELO,0,Rielo de S. Daniel,DANI,0,0,,,No,0,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,TRE SCUDI A EST,No,No,9,9,18,14,2,Pietra d'Istria,39.5,3,Trachite,2.47,0.98,15.61,4.1,3.74,0,0,0,0,0,2.54,1.93,4.9,3,Trachite,3,Buone,20.51,5,Mista,19,Metallo e Pietra d'Istria,2.5,2.5,2.5,94.4,627,0,0,627,-0.28,0,0,0,0,2.19,2.27,0.65,0.48,0.47,0.45,0.6,45,i2,i3,,3.94,3.95,3.96,1.61,1.47,1.31,1.43,1.55,0.96,0.99,0.84,0.98,0.95,3.12,
165,Ponte S. Daniel,DANIEL,0,Rielo de S. Daniel,DANI,100,101,CS,CS,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,TRE SCUDI A NORD-EST,No,No,9,10,19,15,2,Pietra d'Istria,45.5,3,Trachite,1.69,0.77,13.07,3.92,5,0,0,0,0,0,2.98,2.98,8.88,3,Trachite,3,Buone,21.95,1,Piena,15,"Mattoni, Intonaco e Pietra d'Istria",23,24.5,23.75,85.8,6.57,10,40,6.07,-0.19,,0,0,0,2.63,2.72,0.74,0.67,0.52,0.73,0.8,52,,I1s,,4.37,4.38,4.38,1.62,1.49,1.34,1.56,1.74,0.88,0.82,0.82,0.83,0.94,3.47,
166,Ponte S. Domenego,DOMENE,0,Rio de S. Isepo,ISEP02,103,104,CS,CS,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,"UNO SCUDO, DUE ANGELI CON ANCORE SUI LATI EST ED OVEST, PIGNE SUI PILASTRI DELLE RIVE, PALLE AD OGNI AANGOLO DELLA SOMMITA'",No,No,20,20,40,12,2,Pietra d'Istria,45,8,Asfalto,7.92,3.56,135.43,11,10.6,0,0,0,0,0,7.92,4.26,33.74,8,Asfalto,1,Cattive,169.17,4,Colonnette,2,Pietra d'Istria,34.5,34.5,34.5,91.6,13.76,1.45,1.45,13.731,0.44,,0,0,0,3.58,3.59,0.85,0.66,0.62,0.66,0.86,62,H33,H34,,4.7,4.72,4.7,1.78,1.56,1.54,1.56,1.79,0.93,0.9,0.92,0.9,0.93,3.2,Presenza di vegetazione sugli scalini.
167,Ponte dei Giardini,GIARDINI,0,Rio de S. Isepo,ISEP02,103,104,CS,CS,Yes,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,0,0,0,,,,,3,Trachite,12.17,,,3.14,3.85,0,0,0,0,0,12.17,2.77,33.71,3,Trachite,3,Buone,,4,Colonnette,2,Pietra d'Istria,28,28,28,89,7.64,40,40,6.84,0.47,,0,0,0,2.36,2.41,0.84,0.61,0.54,0.64,0.97,54,H32,H31,,3.42,3.42,3.42,1.76,1.51,1.39,1.53,1.86,0.92,0.9,0.85,0.89,0.89,12.7,Ponte senza scalini a rampe oblique. Vegetazione sul lato esterno.
168,Ponte S. Isepo,ISEPO,0,Rio de S. Isepo,ISEP01,103,104,CS,CS,No,,,1,3,Policentrico,14,Mattoni e Pietra d'Istria,,No,No,11,10,21,13.5,2,Pietra d'Istria,45.5,3,Trachite,3.77,1.72,32.59,5.3,4.8,0,0,0,0,0,3.77,3.45,13.01,3,Trachite,3,Buone,45.6,5,Mista,19,Metallo e Pietra d'Istria,4,4,4,90.2,8.48,35,35,7.78,0.48,,0,0,0,2.41,2.44,0.64,0.68,0.63,0.67,0.65,63,H29,H28,,3.47,3.51,3.48,1.6,1.54,1.49,1.54,1.61,0.96,0.86,0.86,0.87,0.96,4.62,
169,Ponte Privato và al civico 784/A,ISEP_P1,0,Rio de S. Isepo,ISEP01,103,104,CS,CS,Yes,784,A,1,6,Sesto Ribassato,17,Legno e Metallo,,No,No,12,6,18,14,13,Vuoto,36,18,Legno e Pietra d'Istria,1.36,0.49,7.83,4.6,2.7,0,0,0,0,0,1.96,3.31,6.49,4,Legno,2,Medie,14.32,2,Vuoto Geometrico,4,Legno,15,15,15,85.4,7.99,15,15,7.69,0.48,,0,0,0,2.45,2.47,0.45,0.39,0.34,0.4,0.54,34,H30,H27,,3.22,3.25,3.24,1.28,1.25,1.21,1.27,1.38,0.83,0.86,0.87,0.87,0.84,2.27,I primi tre gradini della rampa nord sono in pietra d'Istria.
170,Ponte Privato và al civico 787/N,ISEP_P2,0,Rio de S. Isepo,ISEP01,103,104,CS,CS,Yes,787,A,1,8,Trapezoidale,6,Metallo,,No,No,11,9,20,14,2,Pietra d'Istria,35,8,Asfalto,1.95,0.68,12.29,4.18,3.37,0,0,0,0,0,2.22,3.28,7.28,8,Asfalto,2,Medie,19.57,2,Vuoto Geometrico,6,Metallo,4,4,4,103,8.44,0,0,8.44,0.48,,0,0,0,2.52,2.52,0.24,0.28,0.28,0.28,0.28,24,H26,H25,,3.32,3.32,3.32,1.31,1.28,1.28,1.28,1.36,1.07,1,1,1,1.08,2.59,Struttura portante sorretta da quattro pilastri. Trave in metallo esterna alle spallette.
171,Ponte dei Giardini,GIARD2,0,Rio dei Giardini,GIAR2,104,105,CS,CS,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,"TRE SCUDI AD OVEST, TRE SCUDI AD OVEST",No,No,15,15,30,13,2,Pietra d'Istria,41.5,3,Trachite,4.31,1.79,50.08,8.9,8.7,0,0,0,0,0,4.31,3.61,15.56,3,Trachite,3,Buone,65.64,1,Piena,15,"Mattoni, Intonaco e Pietra d'Istria",30,46,38,87.6,14.85,70,1.1,14.139,0.46,,0,0,0,3.52,3.55,0.54,0.55,0.52,0.56,0.53,52,H21,H20,,4.45,4.48,4.46,1.48,1.39,1.34,1.4,1.47,0.94,0.84,0.82,0.84,0.94,5.07,"Presenza di vegetazione esterna sul lato est, ed interna sul lato ovest."
172,Ponte Privato dei Giardini della Biennale,BIENNAL,0,Rio dei Giardini,GIAR2,104,105,CS,CS,Yes,,,1,7,Sesto Super Ribassato,6,Metallo,,Yes,No,5,0,5,4,2,Pietra d'Istria,163,10,Calcestruzzo,5.85,9.54,28.61,7.73,,0,0,0,0,0,5.85,12.75,74.59,4,Legno,1,Cattive,103.19,3,Vuoto Decorato,6,Metallo,3,3,3,87,14.74,1.48,1.55,14.7097,-0.33,,0,0,0,2.57,2.59,0.57,0.51,0.54,0.52,0.67,51,,,,4.32,4.34,4.29,1.44,1.38,1.41,1.39,1.54,0.87,0.87,0.87,0.87,0.87,6.27,Ipotenusa sud non rilevabile
173,Ponte de S. Elena,ELENA,0,Rio dei Giardini,GIAR2,104,105,CS,CS,No,,,1,7,Sesto Super Ribassato,23,"Metallo, Pietra d'Istria e Mattoni",,No,No,10,,,14,2,Pietra d'Istria,40,3,Trachite,2.51,1,,3.3,7.5,0,0,0,0,0,2.86,12.65,36.18,4,Legno,2,Medie,,3,Vuoto Decorato,6,Metallo,4,4,4,86.4,16.14,3.3,1.56,16.0914,0.48,,0,0,0,2.74,2.8,0.41,0.35,0.33,0.38,0.4,33,H24,H23,,3.56,3.56,3.5,1.27,1.21,1.2,1.24,1.27,0.86,0.86,0.87,0.86,0.87,3.24,"Tubature su entrambi i lati, vegetazione sulle sponde ad est, sul lato nord la sommita' e' preceduta da una piattaforma in trachite."
