Numero Zucchetta,Name of Bridge,Bridge Code,Year Constructed,Crossing River,Segment Code,Number of Islands on the North Side,Number of Islands on the South Side,Northern District,Southern Districts,Private,Civic,Civic Letter,Numero Campate,Arc Style Code,Arc Style,Construction Material Code,Construction Material,Decorations,Handicapped Accessible,Additional Handrail,Number of Steps North,Number of Steps South,Total Number of Steps,Height,Codice Materiale Alzata,Materiale Alzata,Pedata,Codice Materiale Pedata,Material Paving Steps,Minimum Step Width,Superficie Gradino Tipo (Min),Superficie Totale Gradini,Ipotenusa N,Ipotenusa S,Cateto N,Cateto S,Inclination N,Inclination S,Maximum Inclination,Summit Width,Summit Length,Area of Summit,Material Code of Summit,Flooring Material at Summit,Condition of Pavement at Summit,Description of the Condition of Pavement at Summit,Area of Pavement,Codice Tipologia Spalletta,Tipologia spalletta,Codice Materiale Spalletta,Materiale Spalletta,Larghezza Spalletta Est,Larghezza Spalletta Ovest,Larghezza Media Spallette,Altezza Media Spalletta,Width of River,Sporgenza N,Sporgenza S,Effective Lighting,Tide Level,Water Altitude,Freccia N1,Freccia C,Freccia S1,Freccia Minima,Freccia Media,Spessore N2,Spessore N1,Spessore C,Spessore S1,Spessore S2,Spessore Minimo,Photo Number of Arc,Photo Number of Ramp,Numero Foto Punto Quotato,H-N1,H-C,H-S1,SE-N2,SE-N1,SE-C,SE-S1,SE-S2,SI-N2,SI-N1,SI-C,SI-S1,SI-S2,Overall Width,Note:
184,Ponte S.G.Grisostomo,GRISOS,0,Rio de S.Giovanni Grisostomo,GRIS1,69,71,CN,CN,No,,,,2,Piano,,,,No,No,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,6.42,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Dati non rilevabili causa lavori in corso.
185,Ponte Privato Teatro Malibran 1,GRIS_ P1,0,Rio de S.Giovanni Grisostomo,GRIS2,69,71,CN,CN,Yes,,,1,2,Piano,6,Metallo,,No,No,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,2,Vuoto Geometrico,4,Legno,,,,,5.56,0,0,5.56,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Ponte inacessibile e pericolante.
186,Ponte Privato Teatro Malibran 2,GRIS_P2,0,Rio de S.Giovanni Grisostomo,GRIS2,69,71,CN,CN,Yes,,,1,6,Sesto Ribassato,10,Calcestruzzo,,No,No,13,0,13,13,10,Calcestruzzo,38,10,Calcestruzzo,1.31,0.5,5.48,5.07,0,0,0,0,0,0,1.5,2.5,3.75,10,Calcestruzzo,1,Cattive,9.23,5,Mista,19,Metallo e Pietra d'Istria,3,3,3,,4.09,15,15,3.79,0.48,,0,0,0,2.33,2.44,,0.41,0.44,0.68,,,,,,3.27,3.32,3.34,,1.3,1.26,1.49,,,0.89,0.82,0.81,,1.99,
187,Ponte dei Miracoli,MIRACO,0,Rio dei Miracoli,MIRA,69,70,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,Yes,11,11,22,12,2,Pietra d'Istria,43,3,Trachite,1.48,0.64,12.73,6.83,6.18,0,0,0,0,0,7.32,6.4,46.85,3,Trachite,3,Buone,59.58,1,Piena,14,Mattoni e Pietra d'Istria,29,29,29,92.4,3.89,0,0,3.89,0.31,,0,0,0,2.04,2.2,0.62,0.51,0.4,0.69,1.01,40,F15,F16,,3.32,3.32,3.33,1.6,1.41,1.29,1.6,1.95,0.98,0.9,0.89,0.91,0.94,7.9,N2 e' per circa 37 cm in ferro decorato sul lato nord-est.
188,Ponte S. Maria Nova,MARNOV,0,Rio dei Miracoli,MIRA,69,70,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,TRE SCUDI,No,Yes,11,12,23,13,2,Pietra d'Istria,40,3,Trachite,2.11,0.84,17.72,4.36,6.24,0,0,0,0,0,2.12,2.32,4.92,3,Trachite,3,Buone,22.64,1,Piena,14,Mattoni e Pietra d'Istria,25.5,25.5,25.5,85.8,6.94,50,30,6.14,0.36,,0,0,0,2.26,2.37,0.53,0.49,0.39,0.58,0.73,39,F13,F14,,3.34,3.34,3.34,1.41,1.34,1.22,1.44,1.6,0.88,0.85,0.83,0.86,0.87,2.66,
189,Ponte del Piovan o del Volto,PIOVAN,0,Rio Widman,WIDM2,61,69,CN,CN,No,,,1,6,Sesto Ribassato,15,"Mattoni, Intonaco e Pietra d'Istria",,No,No,9,8,17,13,2,Pietra d'Istria,43,3,Trachite,2.06,0.89,13.29,6.73,5.23,0,0,0,0,0,3.33,2.87,9.56,3,Trachite,3,Buone,22.84,3,Vuoto Decorato,6,Metallo,3,3,3,103.4,6.04,15,0,5.89,0.4,,0,0,0,2.3,2.37,0.55,0.42,0.36,0.44,0.55,36,F6,F5s,,3.36,3.36,3.32,1.68,1.42,1.3,1.42,1.67,1.13,1,0.94,0.98,1.12,3.94,
190,Ponte Widmann,WIDMAN,0,Rio Widman,WIDM1,61,69,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,Yes,11,11,22,13.5,2,Pietra d'Istria,39,8,Asfalto,1.51,0.59,11.78,4.29,6.65,0,0,0,0,0,2.98,2.41,7.18,8,Asfalto,2,Medie,18.96,1,Piena,14,Mattoni e Pietra d'Istria,26,26,26,95.4,6.8,30,30,6.2,0.51,,0,0,0,2.55,2.62,0.41,0.53,0.38,0.55,0.62,38,F7,F8s,,3.5,3.5,3.5,1.46,1.44,1.28,1.46,1.62,1.05,0.91,0.9,0.91,1,3.59,"A nord c'e' una colonna al centro del ponte, la larghezza minima scalini e' misurata tra la colonna ed il lato piu' vicino."
191,Ponte Privato và al civico 5514,WIDM1_P1,0,Rio Widman,WIDM1,61,69,CN,CN,Yes,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,DUE SCUDI,No,No,6,8,14,13,2,Pietra d'Istria,55,3,Trachite,1.61,0.89,10.63,3.23,4.34,0,0,0,0,0,2.04,3.2,6.53,3,Trachite,1,Cattive,17.15,1,Piena,14,Mattoni e Pietra d'Istria,20,20,20,97.4,7.5,0,0,7.5,0.48,,0,0,0,2.23,2.33,0.42,0.35,0.3,0.48,0.61,30,F9,F10s,,3.13,3.21,3.21,1.4,1.3,1.23,1.46,1.64,0.98,0.95,0.93,0.98,1.03,2.5,
192,Ponte Noris,NORIS,0,Rio Widman,WIDM1,61,69,CN,CN,No,,,1,7,Sesto Super Ribassato,6,Metallo,,No,No,11,11,22,10,19,Metallo e Pietra d'Istria,47.5,21,Metallo e Asfalto,1.15,0.55,10.93,9,7.75,0,0,0,0,0,1.32,3.8,5.02,8,Asfalto,2,Medie,15.94,2,Vuoto Geometrico,6,Metallo,3.5,3.5,3.5,95.2,6.09,0,0,6.09,0.44,,0,0,0,2.54,2.58,0.35,0.26,0.24,0.26,0.19,19,F11,F12,,3.34,3.32,3.28,1.27,1.18,1.16,1.18,1.27,0.92,0.92,0.92,0.92,1.08,1.4,Rampa sud: 7 scalini in asfalto e pietra d'Istria e 4 scalini in ferro e asfalto. Rampa nord: 7 scalini in asfalto e pietra d'Istria e 4 scalini in ferro e asfalto.
193,Ponte SS.Apostoli,APOSTO,0,Rio dei Ss. Apostoli,APOS4,64,69,CN,CN,No,,,1,7,Sesto Super Ribassato,14,Mattoni e Pietra d'Istria,TRE SCUDI,No,No,10,12,22,12.5,2,Pietra d'Istria,49.5,3,Trachite,1.37,0.68,13.56,6.6,6.3,0,0,0,0,0,4.72,3.14,14.82,3,Trachite,3,Buone,28.38,5,Mista,19,Metallo e Pietra d'Istria,4,4,4,88.2,5.03,2.8,0,5.002,0.51,,0,0,0,2.52,2.57,0.67,0.69,0.66,0.74,0.59,59,G1,G2,,3.6,3.6,3.58,1.55,1.52,1.5,1.57,1.62,0.88,0.83,0.84,0.83,1.03,5.5,Colonna a meta' lato sud che crea impedimento.
194,Ponte S.Canzian,CANZIA,0,Rio dei Ss. Apostoli,APOS3,64,69,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,13,13,26,11,2,Pietra d'Istria,48,8,Asfalto,1.88,0.9,21.66,9.1,7.82,0,0,0,0,0,3.06,3.53,10.8,8,Asfalto,2,Medie,32.46,5,Mista,19,Metallo e Pietra d'Istria,4,4,4,97,3.65,50,8,3.07,0.14,,0,0,0,2.59,2.65,0.74,0.54,0.4,0.53,0.72,40,F21,F22,,3.92,3.95,3.93,1.75,1.47,1.34,1.47,1.75,1.01,0.93,0.94,0.94,1.03,3.66,
195,Ponte Giustinian,GIUSTN,0,Rio dei Ss. Apostoli,APOS2,64,61,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,Yes,15,14,29,14,2,Pietra d'Istria,37,3,Trachite,1.51,0.56,15.08,6.1,5.8,0,0,0,0,0,1.52,2.4,3.65,3,Trachite,4,Ottime,18.73,1,Piena,14,Mattoni e Pietra d'Istria,29,20,24.5,90.8,8.1,50,43,7.17,-0.29,-29,0,0,0,2.66,2.7,0.64,0.66,0.555,0.66,0.5,50,A34,A25,A24,4.5,4.47,4.5,1.53,1.54,1.425,1.55,1.51,0.89,0.88,0.87,0.89,1.01,2.06,
196,Ponte de l'Acquavita,AQUAVI,0,Rio dei Gesuiti,GESU2,60,61,CN,CN,No,,,1,7,Sesto Super Ribassato,6,Metallo,SCRITTA,No,No,13,13,26,14,19,Metallo e Pietra d'Istria,45,8,Asfalto,1.88,0.85,20.3,6.15,5.16,0,0,0,0,0,1.88,3.6,6.77,8,Asfalto,1,Cattive,27.07,3,Vuoto Decorato,6,Metallo,7,7,7,101.8,10.16,34,42,9.4,0.27,27,0,0,0,2.66,2.7,0.26,0.3,0.26,0.3,0.25,25,A26,A33,A35,3.68,3.72,3.7,1.32,1.29,1.25,1.28,1.32,1.06,0.99,0.99,0.98,1.07,2.02,Le prime rampe a nord e sud sono in asfalto e pietra d'Istria.
197,Ponte Donà,DONA,0,Rio dei Gesuiti,GESU1,57,61,CN,CN,No,,,1,3,Policentrico,14,Mattoni e Pietra d'Istria,,No,No,25,25,50,15,2,Pietra d'Istria,34,2,Pietra d'Istria,5.8,1.97,94.66,9.6,7.67,0,0,0,0,0,5.5,9.27,50.99,3,Trachite,3,Buone,145.64,1,Piena,14,Mattoni e Pietra d'Istria,39,40,39.5,92.4,18.04,50,50,17.04,0.56,,0,0,0,4.48,4.51,1.29,1.29,1.25,1.25,1.27,125,,F1,,6.12,6.15,6.13,2.2,2.2,2.17,2.18,2.22,0.91,0.91,0.92,0.93,0.95,6.33,
198,Ponte dei Gesuiti,GESUIT,0,Rio de S. Caterina,CATE3,57,60,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,Yes,15,16,31,11,2,Pietra d'Istria,44,8,Asfalto,4.1,1.8,52.32,10.2,10.15,0,0,0,0,0,4.8,4.1,19.68,8,Asfalto,2,Medie,72,1,Piena,14,Mattoni e Pietra d'Istria,36,36,36,85,11.27,43,56,10.28,-0.28,28,0,0,0,3.1,3.15,0.7,0.52,0.43,0.5,0.65,43,A31,A32,A30,4.73,4.75,4.73,1.6,1.35,1.25,1.32,1.53,0.9,0.83,0.82,0.82,0.88,5.53,
199,Ponte S.Caterina,CATERI,0,Rio de S. Caterina,CATE2,57,59,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,TRE SCUDI,No,No,14,14,28,14,2,Pietra d'Istria,40,8,Asfalto,2.07,0.83,21.53,7.15,7,0,0,0,0,0,3.12,3.06,9.55,8,Asfalto,1,Cattive,31.08,1,Piena,15,"Mattoni, Intonaco e Pietra d'Istria",28,28,28,89.3,10.73,55,30,9.88,0.31,31,0,0,0,2.76,2.79,0.63,0.56,0.495,0.54,0.41,41,A36 s,A38,A38,3.89,3.87,3.85,1.53,1.43,1.33,1.4,1.41,0.9,0.87,0.835,0.86,1,3.64,
200,Ponte Molin de la Racheta,MOLIN,0,Rio de S. Caterina,CATE1,57,58,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,TRE SCUDI,No,Yes,16,15,31,13,2,Pietra d'Istria,40,8,Asfalto,2.35,0.94,27.26,7.87,7.8,0,0,0,0,0,4.8,2.41,11.57,8,Asfalto,0,Pessime,38.83,1,Piena,14,Mattoni e Pietra d'Istria,27,27,27,77.8,8.92,35,55,8.02,0.35,35,0,0,0,-0.28,-0.23,0.58,0.65,0.6,0.71,0.76,58,A39,A40,B1,0.82,0.85,0.87,1.36,1.41,1.36,1.5,1.56,0.78,0.76,0.76,0.79,0.8,5.38,
201,Ponte dei Sartori,SARTRI,0,Rio del Gozzi,GOZZ,60,64,CN,CN,No,,,1,8,Trapezoidale,6,Metallo,,No,Yes,11,11,22,14,6,Metallo,46,8,Asfalto,2,0.92,18.4,2.8,8.1,0,0,0,0,0,2.04,2.32,4.73,8,Asfalto,2,Medie,23.13,3,Vuoto Decorato,6,Metallo,4,4,4,88.8,6.15,-50,-32,6.97,-0.25,-31,0,0,0,2.54,2.58,0.37,0.36,0.3,0.35,0.35,30,A27,A29,A28,4.05,4.08,4.03,1.27,1.24,1.18,1.24,1.24,0.9,0.88,0.88,0.89,0.89,2.2,Le prime rampe a nord e sud sono in pietra d'Istria e asfalto
202,Ponte S. Andrea,ANDREA,0,Rio de S. Andrea,ANDR2,59,63,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,TRE SCUDI A NORD E OVEST,No,No,9,12,21,11,2,Pietra d'Istria,43,32,Pietra d'Istria e Asfalto,2.39,1.03,19.53,4.86,6.16,0,0,0,0,0,2.39,2.29,5.47,8,Asfalto,2,Medie,25,1,Piena,15,"Mattoni, Intonaco e Pietra d'Istria",24,24,24,88.4,8.68,0,-30,8.98,-0.33,,0,0,0,2.41,2.47,0.38,0.4,0.35,0.46,0.46,35,E21,E22,,4.09,4.09,4.1,1.25,1.3,1.23,1.36,1.33,0.87,0.9,0.88,0.9,0.87,2.86,
203,Ponte Corrente,CORREN,0,Rio de S. Andrea,ANDR1,59,62,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,TRE SCUDI,No,No,1.82,11,13,14,2,Pietra d'Istria,41,28,Trachite e Pietra d'Istria,10,4.1,45.1,4.35,4.59,0,0,0,0,0,1.82,2.48,4.51,3,Trachite,2,Medie,49.61,1,Piena,15,"Mattoni, Intonaco e Pietra d'Istria",26,26,26,76.6,6.87,20,20,6.47,-0.33,,0,0,0,2.11,2.21,0.55,0.55,0.44,0.55,0.59,44,E23,E24s,,3.8,3.79,3.76,1.33,1.26,1.14,1.32,1.46,0.78,0.71,0.7,0.77,0.87,2.48,
204,Ponte Priuli,PRIUL2,0,Rio Priuli,PRIU2,62,64,CN,CN,No,,,1,6,Sesto Ribassato,6,Metallo,,No,No,11,10,21,15,6,Metallo,45,8,Asfalto,2.3,1.04,19.67,5.1,4.6,0,0,0,0,0,2.46,2.95,7.26,8,Asfalto,1,Cattive,26.92,3,Vuoto Decorato,6,Metallo,7,7,7,94.8,8.79,79,52,7.48,0.4,40,0,0,0,2.69,2.72,0.18,0.3,0.26,0.3,0.14,14,A3,A2,A1,3.5,3.54,3.49,1.18,1.2,1.16,1.2,1.18,1,0.9,0.9,0.9,1.04,2.46,Primo gradino della rampa a nord in pietra e asfalto. Scritta:E.C.Neville e Cº.Venezia 1868.
205,Ponte de le Vele,VELE,0,Rio Priuli,PRIU2,62,64,CN,CN,No,,,2,8,Trapezoidale,4,Legno,,No,Yes,11,12,23,14,6,Metallo,37,4,Legno,1.82,0.67,14.14,3.95,4.3,0,0,0,0,0,1.99,7.65,15.22,4,Legno,1,Cattive,29.36,2,Vuoto Geometrico,4,Legno,9,9,9,90,9.49,17,17,9.15,0.41,41,0,0,0,0.11,1.7,0.29,0.3,0.3,0.3,0.3,29,A4,A5,A9,0.9,3.28,3.28,1.19,1.2,1.2,1.2,1.2,0.9,0.9,0.9,0.9,0.9,2.09,I primi due gradini della rampa a nord sono in pietra e asfalto.
206,Ponte Priuli,PRIULI,0,Rio Priuli,PRIU1,58,64,CN,CN,No,,,1,8,Trapezoidale,6,Metallo,,No,No,10,11,21,15,6,Metallo,46,6,Metallo,2.26,1.04,19.75,4.66,5.25,0,0,0,0,0,2.31,2.93,6.77,8,Asfalto,2,Medie,26.52,3,Vuoto Decorato,6,Metallo,7,7,7,95,7.87,24,0,7.63,0.23,23,0,0,0,2.68,2.7,0.18,0.3,0.34,0.34,0.17,17,A8,A16,A12,3.7,3.73,3.7,1.2,1.21,1.25,1.25,1.17,1.02,0.91,0.91,0.91,1,2.45,Il primo gradino a sud e' in pietra. Scritta: Fonderia veneta. Sn.1868.
207,Ponte Piano (senza nome) va in Ruga,2POZZI,0,Rio Priuli,PRIU2,62,63,CN,CN,No,,,1,2,Piano,14,Mattoni e Pietra d'Istria,,No,No,3,2,5,13.5,2,Pietra d'Istria,48,1,Mattoni,2.44,1.17,3.51,1.4,0.88,0,0,0,0,0,2.5,4.95,12.38,1,Mattoni,2,Medie,15.89,2,Vuoto Geometrico,6,Metallo,3,3,3,100.2,4.9,42,42,4.06,0.41,41,0,0,0,0.96,0.96,0.42,0.42,0.43,0.42,0.4,40,A7,A6,A9,1.97,1.97,1.98,1.43,1.42,1.42,1.42,1.41,1.01,1,0.99,1,1.01,3.01,Non si passa sotto.
208,Ponte Privato và al civico 3777/A,RACH1_P1,0,Rio de la Racheta,RACH1,58,59,CN,CN,Yes,3777,A,1,2,Piano,4,Legno,,No,No,11,0,11,16,4,Legno,31,4,Legno,1.26,0.39,3.52,3.69,0,0,0,0,0,0,1.32,4.57,6.03,4,Legno,2,Medie,9.55,2,Vuoto Geometrico,4,Legno,8,8,8,89,4.08,0,0,4.08,0.35,36,0,0,0,2.42,2.43,0.25,0.25,0.25,0.25,0.28,25,B2,B3,B4,3.22,3.22,3.21,1.14,1.14,1.14,1.14,1.17,0.89,0.89,0.89,0.89,0.89,1.475,Presenza di un tubo del gas a fianco del piano di calpestio verso ovest. Presenza di un tubo dell'acqua a fianco del piano di calpestio verso est.
209,Ponte Novo S.Felice,FELICE,0,Rio de S. Felice,FELI2,18,64,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,10,8,18,11,2,Pietra d'Istria,45,32,Pietra d'Istria e Asfalto,6.12,2.75,44.06,7.7,6.07,0,0,0,0,0,6.12,5.4,33.05,8,Asfalto,2,Medie,77.11,5,Mista,19,Metallo e Pietra d'Istria,4,4,4,93.8,4.73,10,0,4.63,-0.34,,0,0,0,2.24,2.32,1.1,0.64,0.47,0.59,0.97,47,E18,E17,,4.16,4.16,4.16,2.04,1.58,1.4,1.52,1.92,0.94,0.94,0.93,0.93,0.95,7.02,
210,Ponte Ubaldo Belli,BELLI,0,Rio de S. Felice,FELI2,18,64,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,10,10,20,12,2,Pietra d'Istria,47,8,Asfalto,1.69,0.79,14.3,4.97,6.7,0,0,0,0,0,3.49,2.5,8.73,8,Asfalto,2,Medie,23.02,5,Mista,19,Metallo e Pietra d'Istria,4,4,4,86.8,6.44,0,10,6.34,-0.34,,0,0,0,2.21,2.29,0.57,0.56,0.51,0.61,0.64,51,E19,E20s,,4.03,4.03,4,1.49,1.4,1.33,1.45,1.56,0.92,0.84,0.82,0.84,0.92,4.29,
211,Ponte de la Racheta,RACHET,0,Rio de S. Felice,FELI1,18,64,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,12,12,24,13,2,Pietra d'Istria,38,3,Trachite,1.4,0.53,11.7,4.83,4.87,0,0,0,0,0,1.73,2.64,4.57,3,Trachite,4,Ottime,16.27,1,Piena,14,Mattoni e Pietra d'Istria,27,41,34,74.2,9.39,57,33,8.49,0.27,27,0,0,0,2.38,2.41,0.45,0.51,0.43,0.5,0.49,43,A14,A15 s,A17,3.34,3.35,3.34,1.22,1.23,1.15,1.23,1.26,0.77,0.72,0.72,0.73,0.77,2.43,Cartello: Divieto di Transito esclusi mezzi di trasporto e natanti a remi. Scritte spray.
212,"Ponte Privato, 3750 (P. Chiodo)",CHIODO,0,Rio de S. Felice,FELI1,18,64,CN,CN,Yes,3750,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,8,7,15,21,36,Pietra d'Istria e Rosso di Verona,27,10,Calcestruzzo,1.81,0.49,6.35,5.2,,0,0,0,0,0,1.85,2.95,5.46,10,Calcestruzzo,1,Cattive,11.81,1,Piena,36,Pietra d'Istria e Rosso di Verona,29,29,29,13.2,7.81,20,101,6.6,0.34,34,0,0,0,2.19,2.25,0.54,0.55,0.48,0.59,0.62,48,A20,A19,A18,2.6,2.77,2.63,0.54,0.73,0.77,0.78,0.62,0,0.18,0.29,0.19,0,2.43,Spalletta solo in sommita'. Gradini di varie dimensioni. Ipotenusa sud non rilevabile.
213,Ponte Pasqualigo,PASQU2,0,Rio de Noal,NOAL4,17,18,CN,CN,No,,,1,7,Sesto Super Ribassato,14,Mattoni e Pietra d'Istria,,No,No,15,15,30,12,2,Pietra d'Istria,45,8,Asfalto,6.28,2.83,79.13,10.58,10.58,0,0,0,0,0,6.28,6.15,38.62,8,Asfalto,2,Medie,117.75,5,Mista,19,Metallo e Pietra d'Istria,3,3,3,98.6,10.62,100,85,8.77,-0.33,,0,0,0,2.32,2.55,0.69,0.71,0.86,1.12,1.43,69,E16,E15,,4.76,4.77,4.75,1.67,1.7,1.84,2.1,2.43,0.98,0.99,0.98,0.98,1,7.4,
214,Ponte de la Misericodia,MISERI,0,Rio de Noal,NOAL1,9,18,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,9,16,25,14,2,Pietra d'Istria,45,8,Asfalto,2.25,1.01,23.29,6.1,10,0,0,0,0,0,4.94,5.05,24.95,8,Asfalto,1,Cattive,48.23,5,Mista,19,Metallo e Pietra d'Istria,7,7,7,93.6,12.94,140,150,10.04,0.38,38,0,0,0,2.99,3.03,0.89,0.65,0.56,0.63,0.84,56,A23,A22,A21,4.2,4.18,4.2,1.82,1.59,1.49,1.56,1.79,0.93,0.94,0.93,0.93,0.95,5.55,
215,Ponte de l'Ogio,OGIO,0,Rio de la Madalena,MADA02,16,17,CN,CN,No,,,3,8,Trapezoidale,4,Legno,,No,Yes,9,9,18,14,13,Vuoto,31,4,Legno,1.19,0.37,5.9,2.75,3.08,0,0,0,0,0,1.19,3.98,4.74,4,Legno,3,Buone,10.64,2,Vuoto Geometrico,4,Legno,9,9,9,98.2,6.33,1.4,1.8,6.298,-0.26,,0,0,0,2.14,2.14,0.42,0.25,0.24,0.25,0.4,24,E13,E12s,,3.65,3.65,3.65,1.37,1.25,1.24,1.25,1.36,0.95,1,1,1,0.96,1.37,"I primi due scalini della rampa sud sono in trachite e pietra d'Istria, i primi 4 scalini della rampa nord sono in trachite e pietra d'Istria."
216,Ponte Correr,CORRER,0,Rio de la Madalena,MADA02,17,16,CN,CN,No,,,1,4,Sesto Acuto,14,Mattoni e Pietra d'Istria,,No,No,9,9,18,13,2,Pietra d'Istria,45,3,Trachite,1.36,0.61,9.79,4.33,4.28,0,0,0,0,0,1.55,2.39,3.7,3,Trachite,3,Buone,13.5,3,Vuoto Decorato,6,Metallo,2.5,2.5,2.5,86.2,4.87,0,0,4.87,-0.29,,0,0,0,2.08,2.17,0.8,0.58,0.42,0.61,0.93,42,E10,E11,,3.81,3.84,3.83,1.74,1.44,1.23,1.44,1.8,0.94,0.86,0.81,0.83,0.87,2.15,
217,Ponte Privato và al civico 2205,MADA_P1,0,Rio de la Madalena,MADA02,17,16,CN,CN,Yes,2205,,1,7,Sesto Super Ribassato,19,Metallo e Pietra d'Istria,,No,No,7,8,15,14,2,Pietra d'Istria,36,2,Pietra d'Istria,1.55,0.56,7.25,2.4,2.62,0,0,0,0,0,1.55,3.2,4.96,2,Pietra d'Istria,2,Medie,12.21,3,Vuoto Decorato,6,Metallo,3.5,3.5,3.5,91.8,5.94,0,0,5.94,-0.3,,0,0,0,2.13,2.18,0.25,0.3,0.25,0.29,0.21,21,E8,E9,,3.65,3.67,3.61,1.2,1.18,1.12,1.18,1.21,0.95,0.88,0.87,0.89,1,1.74,
218,Ponte S. Antonio,ANTONO,0,Rio de la Madalena,MADA01,16,17,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,10,10,20,13,2,Pietra d'Istria,48,32,Pietra d'Istria e Asfalto,4.22,2.03,36.46,5.1,10.65,0,0,0,0,0,4.24,4.5,19.08,8,Asfalto,2,Medie,55.54,1,Piena,15,"Mattoni, Intonaco e Pietra d'Istria",30,30,30,83.6,4.37,100,185,1.52,-0.32,,0,0,0,2.07,2.12,0.8,0.64,0.59,0.67,0.62,59,E1,E14,,3.88,3.89,3.9,1.6,1.44,1.41,1.51,1.54,0.8,0.8,0.82,0.84,0.92,4.63,
219,Ponte S.Fosca,FOSCA,0,Rio de S. Fosca,FOSC3,14,17,CN,CN,No,,,1,7,Sesto Super Ribassato,14,Mattoni e Pietra d'Istria,,No,No,14,11,25,13,2,Pietra d'Istria,52,28,Trachite e Pietra d'Istria,4.26,2.22,50.95,10,5.87,0,0,0,0,0,4.26,4.32,18.4,3,Trachite,3,Buone,69.35,5,Mista,19,Metallo e Pietra d'Istria,3,3,3,86.2,9.65,50,50,8.65,0.16,,0,0,0,2.45,2.5,0.74,0.62,0.57,0.68,0.8,57,D35,D32,,3.81,3.83,3.83,1.6,1.48,1.44,1.54,1.66,0.86,0.86,0.87,0.86,0.86,4.95,
220,Ponte Vendramin,VENDRA,0,Rio de S. Fosca,FOSC3,14,17,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,DUE SCUDI,No,No,13,13,26,15,2,Pietra d'Istria,38,28,Trachite e Pietra d'Istria,1.99,0.76,18.15,5.42,5.4,0,0,0,0,0,1.99,3.1,6.17,3,Trachite,3,Buone,24.32,1,Piena,14,Mattoni e Pietra d'Istria,27,27,27,77.8,10.47,100,36,9.11,0.13,,0,0,0,2.45,2.52,0.49,0.44,0.43,0.47,0.4,40,E2,E3s,,3.6,3.65,3.55,1.22,1.2,1.21,1.23,1.26,0.73,0.76,0.78,0.76,0.86,2.53,
221,Ponte Diedo,DIEDO,0,Rio Grimani,GRIM2,12,14,CN,CN,No,,,1,6,Sesto Ribassato,15,"Mattoni, Intonaco e Pietra d'Istria",,No,No,13,13,26,13,2,Pietra d'Istria,42,32,Pietra d'Istria e Asfalto,2.65,1.11,26.71,8.21,7.39,0,0,0,0,0,2.91,2.93,8.53,8,Asfalto,2,Medie,35.24,1,Piena,15,"Mattoni, Intonaco e Pietra d'Istria",25,27,26,86.4,5.48,0,0,5.48,0.2,,0,0,0,2.08,2.22,0.89,0.61,0.51,0.75,1.41,51,D33,D36,,3.48,3.47,3.46,1.74,1.44,1.32,1.58,2.41,0.85,0.83,0.81,0.83,1,3.45,
222,Ponte Moro,MORO,0,Rio Grimani,GRIM1,12,13,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,9,11,20,17,2,Pietra d'Istria,37,3,Trachite,2.56,0.95,17.05,3.85,4.54,0,0,0,0,0,2.6,2.35,6.11,3,Trachite,3,Buone,23.16,1,Piena,15,"Mattoni, Intonaco e Pietra d'Istria",24,24,24,86.2,5.37,5,15,5.17,0.22,,0,0,0,2.32,2.41,0.62,0.48,0.33,0.53,0.67,33,D34,D31s,,3.5,3.49,3.5,1.45,1.35,1.17,1.4,1.57,0.83,0.87,0.84,0.87,0.9,3.08,
