Codice_Ponte,Numero_Zucchetta,Nome_Ponte,Segmento,Nome_Rio,Isola_Nord,Isola_Sud,Sestiere_Nord,Sestiere_Sud
CANO_P2,70,Ponte Privato v‡ ai civico 4342,CANO,Rio de la Canonica o de Palazzo,93,92,CS,SM
CANO_P1,71,Ponte Privato v‡ ai civico 4328,CANO,Rio de la Canonica o de Palazzo,93,92,CS,SM
REMEDI,72,Ponte del Remedio,CANO,Rio de la Canonica o de Palazzo,93,92,CS,SM
ANZOLO,73,Ponte de l'Anzolo,ZULI,Rio de S. Zulian,78,92,CS,SM
GUERRA,74,Ponte de la Guerra,ZULI,Rio de S. Zulian,78,92,CS,SM
BALBI,75,Ponte de Ca' Balbi,ZULI,Rio de S. Zulian,78,92,CS,SM
MALVA2,76,Ponte de la Malvasia,ZULI,Rio de S. Zulian,78,92,CS,SM
FAVA,77,Ponte de la Fava,FAVA,Rio de la Fava,77,78,SM,CS
ANTON2,78,Ponte S. Antonio,FAVA,Rio de la Fava,77,78,SM,CS
MPOLO,79,Ponte del Teatro o Marco Polo,LIO,Rio de S. Lio,71,72,CN,CS
CRISTO,80,Ponte del Cristo,MARI1,Rio de la Panada,70,72,CN,CS
ROSSO2,81,Ponte Rosso,MEND,Rio dei Mendicanti o de S. Zanipolo,65,66,CN,CS
CAVALLO,82,Ponte Cavallo,MEND,Rio dei Mendicanti o de S. Zanipolo,65,66,CN,CS
CAVOSP2,83,Ponte della cavana dell'Ospedale,MEND,,66,66,CS,CS
MENDIC,84,Ponte dei Mendicanti,FNUO6,Rio dei Mendicanti o de S. Zanipolo,65,66,CN,CS
VIN,85,Ponte del Vin,VIN,Rio del Vin,94,93,CS,CS
PROVOL,87,Ponte S. Provolo,VIN,Rio del Vin,93,94,CS,CS
CARMINI,88,Ponte dei Carmini,PROV2,Rio de S. Provolo o de l'Osmarin,79,94,CS,CS
DIAVOL,89,Ponte del Diavolo,PROV1,Rio de S. Provolo o de l'Osmarin,76,94,CS,CS
OSMARI,90,Ponte de l'Osmarin,LORE2,Rio de S. Lorenzo,76,94,CS,CS
CORONA,91,Ponte de la Corona,ZANI,Rio de S. Zaninovo e del Remedio,79,93,CS,CS
STORT6,92,Ponte Storto,ZANI,Rio de S. Zaninovo e del Remedio,72,93,CS,CS
ZANI_P3,93,Ponte Privato v‡ al civico 4429,ZANI,Rio de S. Zaninovo e del Remedio,79,93,CS,CS
ZANI_P2,94,Ponte Privato v‡ al civico 4428,ZANI,Rio de S. Zaninovo e del Remedio,79,93,CS,CS
ZANI_P1,95,Ponte Privato v‡ al civico 4428,ZANI,Rio de S. Zaninovo e del Remedio,79,93,CS,CS
PASQUA,96,Ponte Pasqualigo,ZANI,Rio de S.M. Formosa,79,93,CS,CS
AVOGAD,97,Ponte Avogadro,MOND2,Rio de S.M. Formosa,74,79,CS,CS
QUERIN,98,Ponte Querini,FORM,Rio de S.M. Formosa,74,79,CS,CS
FORM_P4,99,Ponte Privato Fond. Sc. Querini Stampalia,FORM,Rio de S.M. Formosa,74,79,CS,CS
FORM_P3,100,Ponte Privato va al civico 5252,FORM,Rio de S.M. Formosa,74,79,CS,CS
FORM_P2,101,Ponte Privato va al civico 5251,FORM,Rio de S.M. Formosa,74,79,CS,CS
FORM_P1,102,Ponte Privato va al civico 5250,FORM,Rio de S.M. Formosa,74,79,CS,CS
GIUFFA,103,Ponte de Ruga Giuffa,FORM,Rio de S.M. Formosa,74,79,CS,CS
MOND2_P1,104,Ponte Privato v‡ al civico 4425,MOND2,Rio del Mondo Novo,74,78,CS,CS
BANDE,105,Ponte de le Bande o de S. Barb,MOND2,Rio del Mondo Novo,74,78,CS,CS
MONDON,106,Ponte del Mondo Novo,MOND2,Rio del Mondo Novo,74,78,CS,CS
PARAD2,107,Ponte del Paradiso,MOND2,Rio del Mondo Novo,73,78,CS,CS
MARCEL,108,Ponte Marcello,PIOM1,Rio del Piombo,72,73,CS,CS
PIOM2_P3,109,Ponte Privato v‡ al civico 5964,PIOM2,Rio del Piombo,72,78,CS,CS
PIOM2_P2,110,Ponte Privato v‡ al civico 5681,PIOM2,Rio del Piombo,72,78,CS,CS
PIOM2_P1,111,Ponte Privato v‡ al civico 5671,PIOM2,Rio del Piombo,72,78,CS,CS
PISTOR,112,Ponte del Pistor,PIOM2,Rio del Piombo,72,78,CS,CS
PRETI,113,Ponte Preti,MOND2,Rio del Pestrin,73,74,CS,CS
BORGOL,114,Ponte Borgoloco,PEST,Rio del Pestrin,73,74,CS,CS
MINICH,115,Ponte Minich,MARI5,Rio del Pestrin,66,74,CS,CS
CFELZI,116,Ponte dei Consafelzi,TETT1,Rio del Pestrin,66,74,CS,CS
OSPEDA,117,Ponte de l'Ospedaletto,LATE1,Rio de S. Giovanni Laterano,66,75,CS,CS
LATE1_P1,118,Ponte Privato v‡ al civico 6396,LATE1,Rio de S. Giovanni Laterano,66,75,CS,CS
MUAZZO,119,Ponte Muazzo,LATE1,Rio de S. Giovanni Laterano,66,75,CS,CS
TETTA,120,Ponte Tetta,TETT1,Rio de la Tetta,75,74,CS,CS
CAPPEL,121,Ponte Cappello,TETT2,Rio de la Tetta,75,76,CS,CS
SEVERO,122,Ponte S. Severo,SEVE2,Rio de S. Severo,76,79,CS,CS
NOVOSEV,123,Ponte Novo de San Severo,SEVE2,Rio de S. Severo,76,79,CS,CS
CAVAGN,124,Ponte Cavagnis,SEVE1,Rio de S. Severo,74,76,CS,CS
PIETA,125,Ponte de la Piet‡,GREC,Rio dei Greci,94,95,CS,CS
GRECI,126,Ponte dei Greci,LORE2,Rio de S. Lorenzo,95,76,CS,CS
LION,127,Ponte Lion,LORE2,Rio de S. Lorenzo,95,76,CS,CS
LORENZ,128,Ponte S. Lorenzo,LORE2,Rio de S. Lorenzo,95,76,CS,CS
