SEPOLC,
SEVERO,
SMMAGG,
SOCCOR,
SOSPIR,
SQUART,
SQUERO,
STADIO1,
STADIO2,
STIN,
STORT1,
STORT2,
STORT3,
STORT4,
STORT5,
STORT6,
STORT7,
SUFFRA,
TABACC,
TANA,
TEATRO,
TENT_P1,
TENTOR,
TERE_P1,
TERESE,
TETTA,
TETTE,
TOLENT,
TOLETT,
TOMA,
TORETE,
TRAGHE,
TRASTI,
TRAVER,
TREP3_P1,
TREVIS,
TRON,
TROVAS,
TURCHE,
TURLON,
UMILTA,
VECIA,
VELE,
VENDRA,
VENETA,
VERONA,
VESTE,
VIGN_P1,
VIGN1_P2,VIGN1_P1
VIN,
VINANT,
VITTOR,
WIDM1_P1,
WIDMAN,
X1_P1,
ZAGURI,
ZANCAN,
ZANDEG,
ZANI_P1,
ZANI_P2,
ZANI_P3,
ZECA,
ZECA_P1,
ZUAN_P1,
ZUCCAT,
GIARD2,
