"id","polygon"
"2056","LINESTRING (12.33917095619601 45.4423076735912, 12.339068502173507 45.44202571052044)"
"2057","LINESTRING (12.337806328901634 45.44212635525215, 12.338102651053886 45.44207952383017)"
"2058","LINESTRING (12.340495699542819 45.43855547386379, 12.340202944857404 45.43862100777994)"
"2059","LINESTRING (12.340089302306524 45.4386458194729, 12.33979816878108 45.43871821609135)"
"2060","LINESTRING (12.33984109950257 45.438988056699706, 12.339860233918118 45.43928744586808)"
"2061","LINESTRING (12.34067525617141 45.43851764415842, 12.340971222629461 45.438468615027205)"
"2062","LINESTRING (12.341465795298108 45.43841243373882, 12.34176403093859 45.438379945237074)"
"2063","LINESTRING (12.342308064233354 45.4382748484884, 12.342563301825987 45.43811719769929)"
"2064","LINESTRING (12.342593782573902 45.43783976570938, 12.342515913008524 45.4375500480351)"
"2065","LINESTRING (12.34172212887442 45.43694779899361, 12.341455770052416 45.43680976646868)"
"2066","LINESTRING (12.339987656847704 45.4375516333015, 12.339727869573558 45.437701668538004)"
"2067","LINESTRING (12.33979966450326 45.438060204064556, 12.339922003207207 45.438334126027016)"
"2068","LINESTRING (12.340428623501943 45.43788059191666, 12.340641108267576 45.43809237063224)"
"2069","LINESTRING (12.340257967186027 45.436061382567615, 12.340492963619067 45.436247867624544)"
"2070","LINESTRING (12.342905843220956 45.435540789574134, 12.343199220528204 45.43560347733683)"
"2071","LINESTRING (12.343361994922478 45.437797389481176, 12.343643097078587 45.437692596457396)"
"2072","LINESTRING (12.344382974521492 45.43752296571053, 12.344477207244262 45.43780778178093)"
"2073","LINESTRING (12.343510673746836 45.43808884074648, 12.343215782077193 45.4381439669941)"
"2074","LINESTRING (12.337024479245603 45.435671336892646, 12.337300844467617 45.43578805134789)"
"2075","LINESTRING (12.337519138232105 45.43603067969425, 12.337734068020152 45.43623997657958)"
"2076","LINESTRING (12.337325091346862 45.43573360754061, 12.337603722082232 45.43562240990886)"
"2077","LINESTRING (12.336217829771151 45.43511486967121, 12.335986284181917 45.434924116846574)"
"2078","LINESTRING (12.334207489609236 45.43473881337931, 12.334449804424198 45.43456194187101)"
"2079","LINESTRING (12.333102957608416 45.43322471735077, 12.333396044269636 45.43316068447628)"
"2080","LINESTRING (12.337548414291577 45.432606775628805, 12.337437211301724 45.43288540422578)"
"2081","LINESTRING (12.337999420003488 45.433184848330185, 12.338291443531734 45.43325356702452)"
"2082","LINESTRING (12.338954355839126 45.433303911447545, 12.339068745705065 45.43302657598539)"
"2083","LINESTRING (12.344357930125073 45.43671567304085, 12.344360552925847 45.436415684506215)"
"2084","LINESTRING (12.34438131243944 45.43490757138425, 12.344386791304698 45.43460762141836)"
"2085","LINESTRING (12.343991274017643 45.43567632832899, 12.34369202357668 45.43565513461335)"
"2086","LINESTRING (12.344961209495766 45.437883090463586, 12.34526093944102 45.437870364116165)"
"2087","LINESTRING (12.348630395874896 45.434857360965125, 12.34892985827911 45.43487531280239)"
"2088","LINESTRING (12.34942209268336 45.43484647334971, 12.349721484701364 45.43482738357349)"
"2089","LINESTRING (12.350267291513298 45.435006140149305, 12.350367680020884 45.43528884520328)"
"2090","LINESTRING (12.350781259578445 45.435417030617735, 12.35107313449513 45.435347683425924)"
"2091","LINESTRING (12.345906297687446 45.43872303915071, 12.34597101725225 45.43901597494219)"
"2092","LINESTRING (12.355887020959608 45.43294140029493, 12.355906880512114 45.432642058353046)"
"2093","LINESTRING (12.355879054881592 45.43249984031708, 12.355579399170951 45.432485471772296)"
"2094","LINESTRING (12.35646495579784 45.43253543266891, 12.356764387965768 45.43255388197266)"
"2095","LINESTRING (12.357740240479345 45.43268370900423, 12.358032935224056 45.43274951011683)"
"2096","LINESTRING (12.357072665227877 45.43520515621288, 12.356787016969568 45.4352968353955)"
"2097","LINESTRING (12.357674934991849 45.434972215593724, 12.357951168394877 45.43485518949813)"
"2098","LINESTRING (12.358388637979257 45.433918262427355, 12.358408559194537 45.4336189245828)"
"2099","LINESTRING (12.358698357766126 45.432558926878365, 12.358890173456022 45.43232826101373)"
"2100","LINESTRING (12.36017918050832 45.432481547463276, 12.360455906584844 45.4325974037474)"
"2101","LINESTRING (12.358811601174418 45.435081608537196, 12.35904336297355 45.43527209861164)"
"3015","LINESTRING (12.354714301079913 45.46106507674805, 12.354810911827318 45.46134909499303)"
"3016","LINESTRING (12.356152164753425 45.45480368984845, 12.356163471767097 45.454503903005104)"
"3017","LINESTRING (12.415015311817925 45.48506319338425, 12.415227913519132 45.48527485470959)"
"3018","LINESTRING (12.368032110940206 45.413678288370924, 12.367734144874632 45.41371316277081)"
"3019","LINESTRING (12.366930003724645 45.41232103480525, 12.36663723417521 45.41238650228515)"
