link,node1,node2
2457,128,403
2458,159,403
2459,170,182
2460,187,194
2461,185,428
2462,180,428
2463,153,405
2464,206,405
2465,168,315
2466,168,201
2467,177,319
2468,177,188
2469,176,407
2470,407,408
2471,109,408
2472,179,410
2473,410,411
2474,411,412
2475,412,413
2476,190,406
2477,229,406
2478,156,413
2479,326,344
2480,239,344
2481,239,241
2482,239,414
2483,234,414
2484,254,257
2485,244,254
2486,254,256
2487,256,359
2488,264,415
2489,266,415
2490,94,97
2491,76,292
2492,196,330
2493,107,430
2494,376,430
2495,195,376
2496,61,429
2497,80,429
2498,64,69
2499,58,64
2500,69,75
2501,180,192
2502,183,192
2503,139,362
2504,205,431
2505,75,77
