id,lung,sup,rtr,id_nodo1,id_nodo2,venezia,cementificato,prof_md1,data1,prof_md2,data2,prof_md3,data3
2054,163.97,1730.56,F,41,50,T,F,-1.19,1998/09/01,-1.58,2002/12/18,0.00,
2055,134.07,2399.80,F,34,50,T,F,-1.43,1999/04/19,-1.41,2002/12/18,0.00,
2056,53.81,537.71,F,50,58,T,F,-1.66,1999/04/19,-1.71,2002/12/18,0.00,
2057,172.74,1208.20,F,52,58,T,F,-1.46,1999/04/19,-1.29,2002/12/18,0.00,
2058,46.73,512.18,F,98,102,T,F,-1.21,1998/01/06,-1.61,2002/12/18,0.00,
2059,19.91,211.39,F,97,98,T,F,-1.24,1998/01/06,-1.60,2002/12/18,0.00,
2060,94.79,604.39,F,82,97,T,F,-0.88,1999/04/17,-1.00,2002/12/18,0.00,
2061,30.24,508.86,F,102,104,T,F,-1.34,1998/01/06,0.00,,0.00,
2062,95.23,887.76,F,104,110,T,F,-0.93,1998/01/06,-1.48,2002/12/18,0.00,
2063,45.26,331.63,F,110,114,T,F,-1.11,,-1.44,2002/12/18,0.00,
2064,82.97,510.94,F,114,131,T,F,-0.97,,-1.70,2002/12/18,0.00,
2065,168.26,1080.75,F,131,145,T,F,-0.71,,-1.54,2002/12/18,0.00,
2066,40.44,231.21,F,119,126,T,F,-0.09,,0.00,,0.00,
2067,106.02,403.77,F,98,119,T,F,-0.41,,0.00,,0.00,
2068,129.30,985.65,F,104,126,T,F,-1.66,2000/03/30,-1.64,2002/12/18,0.00,
2069,81.54,551.61,F,153,145,T,F,-1.66,1998/01/01,-1.61,2002/12/18,0.00,
2070,43.06,181.35,F,164,166,T,F,-0.74,1998/09/01,0.00,,0.00,
2071,150.04,1148.35,F,130,114,T,F,-0.96,1998/09/30,-1.52,2002/12/18,0.00,
2072,54.09,519.47,F,118,130,T,F,-1.55,1997/04/30,0.00,,0.00,
2073,184.94,1322.49,F,118,114,T,F,-0.71,,-1.43,2002/12/18,0.00,
2074,15.24,86.11,F,157,159,T,F,-1.59,2000/10/20,0.00,,0.00,
2075,101.50,701.30,F,157,143,T,F,-1.34,2000/10/20,-1.31,2003/02/20,0.00,
2076,39.15,198.56,F,157,160,T,F,-1.10,2000/10/20,-1.21,2003/02/20,0.00,
2077,29.88,238.27,F,174,180,T,F,-1.53,2000/10/20,-1.26,2003/02/20,0.00,
2078,33.82,189.99,F,182,185,T,T,-1.44,1995/01/26,-1.69,2003/02/20,0.00,
2079,37.83,433.38,F,208,211,T,T,-1.22,1995/09/08,-1.52,2003/02/20,0.00,
2080,67.46,507.34,F,213,226,T,F,-1.69,2000/11/11,-1.68,2003/02/20,0.00,
2081,126.61,892.28,F,205,213,T,F,-1.40,2000/11/15,-1.27,2003/02/20,0.00,
2082,54.40,468.83,F,205,215,T,F,-1.44,2000/11/15,-1.39,2003/02/20,0.00,
2083,191.87,2495.34,F,130,162,T,F,-1.40,1997/04/30,0.00,,0.00,
2084,210.25,2719.06,F,162,200,T,F,-1.50,1997/04/30,0.00,,0.00,
2085,82.36,424.50,F,162,164,T,F,-1.26,1997/04/30,0.00,,0.00,
2086,94.20,1000.37,F,118,121,T,F,-1.38,1997/04/30,0.00,,0.00,
2087,26.67,124.24,F,186,188,T,F,-1.47,1999/03/31,-1.48,2002/12/18,0.00,
2088,97.36,336.77,F,186,190,T,F,-1.07,1999/03/31,-1.07,2002/12/18,0.00,
2089,80.26,3293.77,F,176,190,T,F,0.00,,0.00,,0.00,
2090,79.96,1358.45,F,179,176,T,F,0.00,,0.00,,0.00,
2091,229.18,3422.17,F,81,121,T,F,-1.62,2002/02/25,0.00,,0.00,
2092,64.59,631.70,F,217,233,T,F,-1.13,2000/10/20,-1.57,2002/12/18,0.00,
2093,29.25,240.53,F,233,234,T,F,-1.40,2000/10/20,-1.37,2002/12/18,0.00,
2094,109.42,878.04,F,232,233,T,F,-1.25,2000/10/20,-1.19,2002/12/18,0.00,
