"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"0319004865_","Store 0319004865_ - (2004)","","Bakery","10.71","10.71.1","","","","","","","","","2000","2000","2004","2004","https://lh4.googleusercontent.com/-r_dmScEQDi0/TsZJBXj8zMI/AAAAAAAABiM/8Qwd7Dh6VRk/s512/IMG_2214.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005800_","Store 0319005800_ - (2004)","","Butcher","47.22","47.22.0","","","","","","","","","2000","2000","2004","2004","https://lh5.googleusercontent.com/-jL7Nj_QdmuI/TsEi7llFiEI/AAAAAAAAAj0/DFCGje_73j4/s512/IMG_1732.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001659A","Store 1600001659A - (2004)","","Closed","00.00.0","00.00.0","","","","","","","","","1990","2000","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005792_","Store 0319005792_ - (2004)","","Clothing","47.79","47.79.3","","","","","","","","","2000","2000","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319004826_","Store 0319004826_ - (2004)","","Household goods","27.51","27.51.0","","","","","","","","","1980","2000","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001590_","Store 1600001590_ - (2004)","","Restaurant","47.29","47.29.9","","","","","","","","","2000","2000","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
