"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319004865_","Store location - 0319004865_","","CS","Castello","Ruga Giuffa","4865","CS4865","Ruga Giuffa 4865","","45.43662426","12.3420271"
"0319005800_","Store location - 0319005800_","","CS","Castello","Calle Del Mondo Novo","5800","CS5800","Calle Del Mondo Novo 5800","","45.43711134","12.34028695"
"1600001659A","Store location - 1600001659A","1600001659B","SM","San Marco","Corte De Piscina De Frezzaria","1659A","SM1659A","Corte De Piscina De Frezzaria 1659A","San Marco Corte De Piscina De Frezzaria 1659 B","45.43398519","12.33532015"
"0319005792_","Store location - 0319005792_","","CS","Castello","Calle Del Mondo Novo","5792","CS5792","Calle Del Mondo Novo 5792","","45.43711311","12.34024517"
"0319004826_","Store location - 0319004826_","","CS","Castello","Ruga Giuffa","4826","CS4826","Ruga Giuffa 4826","","45.43621481","12.34233395"
"1600001590_","Store location - 1600001590_","","SM","San Marco","Calle De Le Piere Vive O Bognolo","1590","SM1590","Calle De Le Piere Vive O Bognolo 1590","","45.43391067","12.33618219"
