"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"0319006641_","Store 0319006641_ - (2004)","","Butcher","47.22","47.22.0","","","","","","","","","1995","1995","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319004867_","Store 0319004867_ - (2004)","","Clothing","47.79","47.79.3","","","","","","","","","1985","1995","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005411_","Store 0319005411_ - (2004)","","Clothing","47.79","47.79.3","","","","","","","","","1995","1995","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005470_","Store 0319005470_ - (2004)","","Clothing","47.79","47.79.3","","","","","","","","","1990","1995","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005728_","Store 0319005728_ - (ViaVai, 2004)","ViaVai","Clothing","47.79","47.79.3","","","","","","","","","1980","1995","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319006487_","Store 0319006487_ - (2004)","","Dairy","46.33","46.33.1","","","","","","","","","1940","1995","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005764A","Store 0319005764A - (2004)","","Grocery store","47.11","47.11.3","","","","","","","","","1995","1995","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319004719_","Store 0319004719_ - (2004)","","Household goods","27.51","27.51.0","","","","","","","","","1995","1995","2004","2011","https://lh5.googleusercontent.com/-5aH1-P8nrXY/TtY1CHBWbRI/AAAAAAAACrI/o5sFAYq4lbo/s512/IMG_3072.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005640_","Store 0319005640_ - (2004)","","Office supplies","31.01","31.01.2","","","","","","","","","1995","1995","2004","2011","https://lh6.googleusercontent.com/-TyQGxTvWsag/TsEk81XZn6I/AAAAAAAAArc/F_u4F445PHw/s512/IMG_1809.JPG","2011","https://lh6.googleusercontent.com/-vN83y7eTYAI/TsEk8AuYlYI/AAAAAAAAArY/vhyilzgzUnI/s512/IMG_1808.JPG","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319006490_","Store 0319006490_ - (2004)","","Produce","47.11","47.11.3","","","","","","","","","1940","1995","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005756_","Store 0319005756_ - (2004)","","Repair","33.12","33.12.1","","","","","","","","","1995","1995","2004","2011","https://lh5.googleusercontent.com/-TCVe1WlL7Pc/TsEj21XIOnI/AAAAAAAAAnM/vV3Gy3nJRRM/s512/IMG_1769.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005706_","Store 0319005706_ - (2004)","","Stationery","14.19","14.19.1","","","","","","","","","1970","1995","2004","2011","https://lh3.googleusercontent.com/-VM9Wmea06yU/TsEkdu2v-_I/AAAAAAAAApo/O-vS8JbY9Ds/s512/IMG_1791.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005380_","Store 0319005380_ - (2004)","","Toys","47.65","47.65.0","","","","","","","","","1980","1995","2004","2011","https://lh5.googleusercontent.com/-SpIYhd9hLFc/TsEnHd4qeHI/AAAAAAAAAzM/I6FMwpQHh-g/s512/IMG_1880.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005268_","Store 0319005268_ - (2004)","","Travel agency","79.11","79.11.0","","","","","","","","","1995","1995","2004","2011","https://lh5.googleusercontent.com/-CYsAjLVRd-g/TsEomzg8hsI/AAAAAAAAA4Y/CHihg5QdhIk/s512/IMG_1930.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005032_","Store 0319005032_ - (2004)","","Wine","11.02","11.02.1","","","","","","","","","1995","1995","2004","2011","https://lh6.googleusercontent.com/-EUulaDZNUMs/TsZHPLEzRfI/AAAAAAAABbo/be1cENt8jOQ/s512/IMG_2154.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
