"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"0707002748_","Store 0707002748_ - (Annelie Pizzi e Poicani, 2010)","Annelie Pizzi e Poicani","Accessories","46.42","46.42.1","","","","","","","TRUE","Sunday","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000390_","Store 1621000390_ - (Martina Boutique, 2004)","Martina Boutique","Accessories","46.42","46.42.1","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621001046_","Store 1621001046_ - (2010)","","Accessories","46.42","46.42.1","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561001162_","Store 1561001162_ - (2010)","","Antiques","47.79","47.79.2","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621001654A","Store 1621001654A - (Mostra Mercato dell' antiquariato, 2004)","Mostra Mercato dell' antiquariato","Antiques","47.79","47.79.2","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707000881_","Store 0707000881_ - (2010)","","Art","47.78","47.78.3","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707001007A","Store 0707001007A - (2010)","","Art","47.78","47.78.3","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707001044_","Store 0707001044_ - (Cartoleria Accademia, 2004)","Cartoleria Accademia","Art","47.78","47.78.3","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707002834A","Store 0707002834A - (Papuni Art, 2010)","Papuni Art","Art","47.78","47.78.3","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707002858_","Store 0707002858_ - (2004)","","Art","47.78","47.78.3","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003220_","Store 0707003220_ - (Tanghyra, 2010)","Tanghyra","Art","47.78","47.78.3","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003530_","Store 0707003530_ - (2010)","","Art","47.78","47.78.3","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000561_","Store 1621000561_ - (2010)","","Art","47.78","47.78.3","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000725_","Store 1621000725_ - (2010)","","Art","47.78","47.78.3","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000838_","Store 1621000838_ - (2010)","","Art","47.78","47.78.3","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002721_","Store 1621002721_ - (2004)","","Art","47.78","47.78.3","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621001137_","Store 1621001137_ - (2010)","","Bakery","10.71","10.71.1","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003665_","Store 0707003665_ - (2004)","","Bar","56.3","56.30.0","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003682_","Store 0707003682_ - (Chet Bar, 2010)","Chet Bar","Bar","56.3","56.30.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561000133_","Store 1561000133_ - (Bar Al Carcan, 2004)","Bar Al Carcan","Bar","56.3","56.30.0","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621001140A","Store 1621001140A - (Segafredo Zanetti, 2004)","Segafredo Zanetti","Bar","56.3","56.30.0","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002424_","Store 1621002424_ - (2010)","","Books","46.49","46.49.2","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319004268_","Store 0319004268_ - (Caffe Venice, 2010)","Caffe Venice","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","2010","https://lh4.googleusercontent.com/-3hgJyw0IA80/TspFZfuY_SI/AAAAAAAACLY/L2IPYRU48Ag/s512/IMG_2469.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707000722_","Store 0707000722_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707000728_","Store 0707000728_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707001193_","Store 0707001193_ - (Il Mondo in Miniatura, 2004)","Il Mondo in Miniatura","Closed","00.00.0","00.00.0","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707001609_","Store 0707001609_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707001768_","Store 0707001768_ - (2004)","","Closed","00.00.0","00.00.0","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707002338_","Store 0707002338_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707002611_","Store 0707002611_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707002760_","Store 0707002760_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707002860_","Store 0707002860_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707002867A","Store 0707002867A - (2004)","","Closed","00.00.0","00.00.0","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003212_","Store 0707003212_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003525_","Store 0707003525_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003964_","Store 0707003964_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561000169_","Store 1561000169_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561000295_","Store 1561000295_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561000664C","Store 1561000664C - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561001840_","Store 1561001840_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561002033_","Store 1561002033_ - (2010)","","Closed","00.00.0","00.00.0","","","","","","","","","2010","2010","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561002039_","Store 1561002039_ - (2004)","","Closed","00.00.0","00.00.0","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561002264_","Store 1561002264_ - (2004)","","Closed","00.00.0","00.00.0","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000061_","Store 1621000061_ - (2004)","","Closed","00.00.0","00.00.0","","","","","","","","","2004","2010","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
