primary_address_id,wiki_friendly_title,store_name,store_type,nace_code,ateco_code,ethnic_ownership,corporate_ownership,opening_time_am,closing_time_am,opening_time_pm,closing_time_pm,closed_for_lunch,day_closed,opened_in_year,last_known_open_year,year_data_collected,photo_year_1,photo_url_1,photo_year_2,photo_url_2,photo_year_3,photo_url_3,photo_year_4,photo_url_4,photo_year_5,photo_url_5,photo_year_6,photo_url_6,photo_year_7,photo_url_7,photo_year_8,photo_url_8,photo_year_9,photo_url_9,photo_year_10,photo_url_10,photo_year_11,photo_url_11,photo_year_12,photo_url_12,photo_year_13,photo_url_13,photo_year_14,photo_url_14,photo_year_15,photo_url_15
1600001749_,Store 1600001749_ - (2004),,Accessories,46.42,46.42.1,,,,,,,FALSE,,2004,2012,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600001758A,"Store 1600001758A - (Thousand Colors Venezia, 2009)",Thousand Colors Venezia,Accessories,46.42,46.42.1,,,,,,,,,2009,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600001806_,"Store 1600001806_ - (Bijou M@rie, 2009)",Bijou M@rie,Accessories,46.42,46.42.1,,,,,,,FALSE,,2009,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600003653_,"Store 1600003653_ - (Paolo Olbi Articoli da Regalo, 2004)",Paolo Olbi Articoli da Regalo,Accessories,46.42,46.42.1,,,,,,,FALSE,,2004,2012,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600003655_,"Store 1600003655_ - (Dijoux Chiara, 2012)",Dijoux Chiara,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600003715_,"Store 1600003715_ - (La Nuova Cortesia, 2012)",La Nuova Cortesia,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600003720B,Store 1600003720B - (2009),,Accessories,46.42,46.42.1,,,,,,,TRUE,Monday,2009,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600003721_,Store 1600003721_ - (2009),,Accessories,46.42,46.42.1,,,,,,,FALSE,,2009,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600003728_,Store 1600003728_ - (2012),,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600004371_,Store 1600004371_ - (2012),,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600004745_,"Store 1600004745_ - (Testoni, 2009)",Testoni,Accessories,46.42,46.42.1,,,,,,,FALSE,Sunday,2009,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600004813_,"Store 1600004813_ - (Bottega D'arte, 2009)",Bottega D'arte,Accessories,46.42,46.42.1,,,,,,,,,2009,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600004818_,"Store 1600004818_ - (Too Late, 2012)",Too Late,Accessories,46.42,46.42.1,,,,,,,FALSE,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600004822_,"Store 1600004822_ - (Borsalino, 2009)",Borsalino,Accessories,46.42,46.42.1,,,,,,,,,2009,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600004831_,"Store 1600004831_ - (Furla, 2009)",Furla,Accessories,46.42,46.42.1,,,,,,,FALSE,,2009,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600004918_,"Store 1600004918_ - (Tosca Blu, 2012)",Tosca Blu,Accessories,46.42,46.42.1,,,,,,,FALSE,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600004919_,"Store 1600004919_ - (Bally, 2009)",Bally,Accessories,46.42,46.42.1,,,,,,,FALSE,,2009,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600004941_,"Store 1600004941_ - (Goldenpoint, 2009)",Goldenpoint,Accessories,46.42,46.42.1,,,,,,,,,2009,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600004947_,"Store 1600004947_ - (Swatch, 2012)",Swatch,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600004957_,Store 1600004957_ - (2012),,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600004958_,"Store 1600004958_ - (Coccinelle, 2009)",Coccinelle,Accessories,46.42,46.42.1,,,,,,,FALSE,,2009,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600005332_,Store 1600005332_ - (2012),,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600005473_,"Store 1600005473_ - (Bagghy, 2012)",Bagghy,Accessories,46.42,46.42.1,,,,,,,FALSE,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600005542_,Store 1600005542_ - (2012),,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621000025_,Store 1621000025_ - (2004),,Accessories,46.42,46.42.1,,,,,,,,,2004,2012,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621000045_,Store 1621000045_ - (2012),,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621000061_,Store 1621000061_ - (2012),,Accessories,46.42,46.42.1,,,,,,,FALSE,Sunday,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621000089_,Store 1621000089_ - (2012),,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621000416_,"Store 1621000416_ - (Holuc, 2004)",Holuc,Accessories,46.42,46.42.1,,,,,,,,,2004,2012,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621000773A,"Store 1621000773A - (Francis Madel, 2010)",Francis Madel,Accessories,46.42,46.42.1,,,,,,,FALSE,,2010,2012,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621000782_,"Store 1621000782_ - (Fullspot Market, 2012)",Fullspot Market,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621000784_,Store 1621000784_ - (2012),,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621001078_,Store 1621001078_ - (2012),,Accessories,46.42,46.42.1,,,,,,,TRUE,Sunday,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621001226_,"Store 1621001226_ - (Serena Vianello, 2012)",Serena Vianello,Accessories,46.42,46.42.1,,,,,,,TRUE,Sunday,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621001590_,Store 1621001590_ - (2012),,Accessories,46.42,46.42.1,,,,,,,FALSE,Sunday,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621001595_,Store 1621001595_ - (2012),,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621002102A,Store 1621002102A - (2012),,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621002235_,"Store 1621002235_ - (Monica Bariele, 2012)",Monica Bariele,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621002398_,"Store 1621002398_ - (Tabarri Cappelli, 2012)",Tabarri Cappelli,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621002614A,Store 1621002614A - (2012),,Accessories,46.42,46.42.1,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621002768A,"Store 1621002768A - (Sabbie e Nebbie, 2012)",Sabbie e Nebbie,Accessories,46.42,46.42.1,,,,,,,TRUE,Sunday,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621002799_,Store 1621002799_ - (2012),,Accessories,46.42,46.42.1,,,,,,,,,,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621002852_,Store 1621002852_ - (2010),,Accessories,46.42,46.42.1,,,,,,,TRUE,Sunday,2010,2012,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0278001241_,Store 0278001241_ - (2012),,Antiques,47.79,47.79.2,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0278004557_,Store 0278004557_ - (2009),,Antiques,47.79,47.79.2,,,,,,,TRUE,Sunday,1990,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0278004559A,Store 0278004559A - (2012),,Antiques,47.79,47.79.2,,,,,,,,,2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0278005049A,Store 0278005049A - (2009),,Antiques,47.79,47.79.2,,,,,,,,,2009,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0278005401D,Store 0278005401D - (2012),,Antiques,47.79,47.79.2,,,,,,,TRUE,"Saturday afternoon, Sunday",2012,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0278005993_,"Store 0278005993_ - (Il Mercante dei Miracoli, 2005)",Il Mercante dei Miracoli,Antiques,47.79,47.79.2,,,,,,,,,2005,2012,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
