"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319002635B","Store location - 0319002635B","","CS","Castello","Calle Dei Scudi","2635B","CS2635B","Calle Dei Scudi 2635B","","45.4358537","12.3480452"
"0319002636_","Store location - 0319002636_","","CS","Castello","Calle Dei Scudi","2636","CS2636","Calle Dei Scudi 2636","","45.4358318","12.3480604"
"0319002669_","Store location - 0319002669_","","CS","Castello","Calle Del Mandolin","2669","CS2669","Calle Del Mandolin 2669","","45.4360331","12.3482444"
"0319002670_","Store location - 0319002670_","","CS","Castello","Calle Del Mandolin","2670","CS2670","Calle Del Mandolin 2670","","45.4360583","12.3482968"
"0319002677_","Store location - 0319002677_","","CS","Castello","Campo Dei Do Pozzi","2677","CS2677","Campo Dei Do Pozzi 2677","","45.43609","12.3483581"
"0319002678_","Store location - 0319002678_","0319002679_","CS","Castello","Campo Dei Do Pozzi","2678","CS2678","Campo Dei Do Pozzi 2678","Castello Campo Dei Do Pozzi 2679","45.4361018","12.3483814"
"0319002682_","Store location - 0319002682_","","CS","Castello","Campo Dei Do Pozzi","2682","CS2682","Campo Dei Do Pozzi 2682","","45.4361868","12.3485367"
"0319002731_","Store location - 0319002731_","","CS","Castello","Campo De La Celestia","2731","CS2731","Campo De La Celestia 2731","","45.4376895","12.3493402"
"0319002782_","Store location - 0319002782_","","CS","Castello","Campo San Francesco","2782","CS2782","Campo San Francesco 2782","","45.4378715","12.3480098"
"0319002860_","Store location - 0319002860_","","CS","Castello","Salizada Santa Giustina","2860","CS2860","Salizada Santa Giustina 2860","","45.4374091","12.3463345"
"0319002907A","Store location - 0319002907A","","CS","Castello","Salizada Santa Giustina","2907A","CS2907A","Salizada Santa Giustina 2907A","","45.43743499","12.34642762"
"0319002916_","Store location - 0319002916_","","CS","Castello","Salizada Santa Giustina","2916","CS2916","Salizada Santa Giustina 2916","","45.4374199","12.3466174"
"0319002918_","Store location - 0319002918_","","CS","Castello","Salizada Santa Giustina","2918","CS2918","Salizada Santa Giustina 2918","","45.43737601","12.34665269"
"0319002929_","Store location - 0319002929_","","CS","Castello","Salizada Santa Giustina","2929","CS2929","Salizada Santa Giustina 2929","","45.43739014","12.34692588"
"0319003004_","Store location - 0319003004_","0319003005_;0319003006_","CS","Castello","Calle De L'Ogio","3004","CS3004","Calle De L'Ogio 3004","Castello Calle De L'Ogio 3005;Castello Ramo Corte De La Vida 3006","45.4369054","12.34794373"
"0319003042_","Store location - 0319003042_","0319003042A;0319003043_;0319003043A","CS","Castello","Ramo Corte De La Vida","3042","CS3042","Ramo Corte De La Vida 3042","Castello Ramo Corte De La Vida 3042 A;Castello Calle De L'Ogio 3043;Castello Calle De L'Ogio 3043 A","45.4369708","12.3480215"
"0319003054_","Store location - 0319003054_","","CS","Castello","Campo Santa Ternita","3054","CS3054","Campo Santa Ternita 3054","","45.4372724","12.3486093"
"0319003063_","Store location - 0319003063_","","CS","Castello","Campo A Fianco La Chiesa","3063","CS3063","Campo A Fianco La Chiesa 3063","","45.4371077","12.3488194"
"0319003083_","Store location - 0319003083_","0319003084_","CS","Castello","Corte Baffo","3083","CS3083","Corte Baffo 3083","Castello Calle De L'Ogio 3084","45.4369187","12.348657"
"0319003140_","Store location - 0319003140_","","CS","Castello","Salizada De Le Gatte","3140","CS3140","Salizada De Le Gatte 3140","","45.43687542","12.34747454"
"0319003141_","Store location - 0319003141_","","CS","Castello","Salizada De Le Gatte","3141","CS3141","Salizada De Le Gatte 3141","","45.4368868","12.3474736"
"0319003146_","Store location - 0319003146_","","CS","Castello","Salizada San Francesco","3146","CS3146","Salizada San Francesco 3146","","45.43697511","12.34735147"
"0319003161_","Store location - 0319003161_","","CS","Castello","Salizada San Francesco","3161","CS3161","Salizada San Francesco 3161","","45.43718645","12.34724625"
"0319003190_","Store location - 0319003190_","","CS","Castello","Salizada De Le Gatte","3190","CS3190","Salizada De Le Gatte 3190","","45.43667855","12.34755978"
"0319003191_","Store location - 0319003191_","","CS","Castello","Salizada De Le Gatte","3191","CS3191","Salizada De Le Gatte 3191","","45.43666213","12.34756772"
"0319003193_","Store location - 0319003193_","","CS","Castello","Salizada De Le Gatte","3193","CS3193","Salizada De Le Gatte 3193","","45.43664068","12.34758365"
"0319003197_","Store location - 0319003197_","","CS","Castello","Salizada De Le Gatte","3197","CS3197","Salizada De Le Gatte 3197","","45.43656702","12.34762421"
"0319003206_","Store location - 0319003206_","","CS","Castello","Campo De Le Gatte","3206","CS3206","Campo De Le Gatte 3206","","45.43640028","12.34761373"
"0319003210_","Store location - 0319003210_","0319003209_","CS","Castello","Campo De Le Gatte","3210","CS3210","Campo De Le Gatte 3210","Castello Calle Dei Scudi 3209","45.43633435","12.34758266"
"0319003213_","Store location - 0319003213_","","CS","Castello","Campo De Le Gatte","3213","CS3213","Campo De Le Gatte 3213","","45.43628499","12.34737517"
"0319003220_","Store location - 0319003220_","","CS","Castello","Campo De Le Gatte","3220","CS3220","Campo De Le Gatte 3220","","45.43642049","12.34750741"
"0319003222_","Store location - 0319003222_","","CS","Castello","Campo De Le Gatte","3222","CS3222","Campo De Le Gatte 3222","","45.4364043","12.3474266"
"0319003225_","Store location - 0319003225_","","CS","Castello","Campo De Le Gatte","3225","CS3225","Campo De Le Gatte 3225","","45.43624854","12.34721278"
"0319003227_","Store location - 0319003227_","","CS","Castello","Calle Dei Furlani","3227","CS3227","Calle Dei Furlani 3227","","45.4361849","12.3471801"
"0319003229_","Store location - 0319003229_","","CS","Castello","Calle Dei Furlani","3229","CS3229","Calle Dei Furlani 3229","","45.4361827","12.3470848"
"0319003230_","Store location - 0319003230_","","CS","Castello","Calle Dei Furlani","3230","CS3230","Calle Dei Furlani 3230","","45.43618207","12.34702818"
"0319003232_","Store location - 0319003232_","","CS","Castello","Calle Dei Furlani","3232","CS3232","Calle Dei Furlani 3232","","45.4361791","12.346946"
"0319003235_","Store location - 0319003235_","","CS","Castello","Calle Dei Furlani","3235","CS3235","Calle Dei Furlani 3235","","45.4361738","12.3467967"
"0319003266A","Store location - 0319003266A","","CS","Castello","Calle Dei Furlani","3266A","CS3266A","Calle Dei Furlani 3266A","","45.4361395","12.3471581"
"0319003275_","Store location - 0319003275_","","CS","Castello","Calle Dei Furlani","3275","CS3275","Calle Dei Furlani 3275","","45.4361327","12.346613"
"0319003276_","Store location - 0319003276_","","CS","Castello","Calle Dei Furlani","3276","CS3276","Calle Dei Furlani 3276","","45.43612967","12.34656279"
"0319003278_","Store location - 0319003278_","","CS","Castello","Calle Dei Furlani","3278","CS3278","Calle Dei Furlani 3278","","45.43612899","12.34645792"
"0319003279_","Store location - 0319003279_","","CS","Castello","Calle Dei Furlani","3279","CS3279","Calle Dei Furlani 3279","","45.4361287","12.3464125"
"0319003281_","Store location - 0319003281_","","CS","Castello","Calle Dei Furlani","3281","CS3281","Calle Dei Furlani 3281","","45.4361264","12.3462931"
"0319003301_","Store location - 0319003301_","","CS","Castello","Fondamenta Dei Furlani","3301","CS3301","Fondamenta Dei Furlani 3301","","45.43573872","12.34613442"
"0319003346_","Store location - 0319003346_","","CS","Castello","Calle Del Magazen","3346","CS3346","Calle Del Magazen 3346","","45.4357711","12.3454312"
"0319003349A","Store location - 0319003349A","","CS","Castello","Calle Coppo","3349A","CS3349A","Calle Coppo 3349A","","45.4358686","12.3453363"
"0319003386A","Store location - 0319003386A","","CS","Castello","Calle Lion","3386A","CS3386A","Calle Lion 3386A","","45.4362059","12.3450154"
"0319003468_","Store location - 0319003468_","","CS","Castello","Salizada Dei Greci","3468","CS3468","Salizada Dei Greci 3468","","45.4355701","12.3458327"
"0319003484_","Store location - 0319003484_","","CS","Castello","Salizada Sant'Antonin","3484","CS3484","Salizada Sant'Antonin 3484","","45.4352536","12.3467649"
"0319003487_","Store location - 0319003487_","0319003487A","CS","Castello","Salizada Sant'Antonin","3487","CS3487","Salizada Sant'Antonin 3487","Castello Salizada Sant'Antonin 3487 A","45.4351757","12.3467964"
"0319003488_","Store location - 0319003488_","","CS","Castello","Salizada Sant'Antonin","3488","CS3488","Salizada Sant'Antonin 3488","","45.43513078","12.34680968"
"0319003490_","Store location - 0319003490_","0319003491_;0319003492_","CS","Castello","Salizada Sant'Antonin","3490","CS3490","Salizada Sant'Antonin 3490","Castello Calle De La Morte 3491;Castello Calle De La Morte 3492","45.43504399","12.34684311"
"0319003508_","Store location - 0319003508_","","CS","Castello","Calle De L'Arco","3508","CS3508","Calle De L'Arco 3508","","45.4354217","12.3470272"
"0319003510_","Store location - 0319003510_","","CS","Castello","Calle De L'Arco","3510","CS3510","Calle De L'Arco 3510","","45.4354386","12.3471046"
"0319003549_","Store location - 0319003549_","","CS","Castello","Salizada Del Pignater","3549","CS3549","Salizada Del Pignater 3549","","45.4350109","12.3472981"
"0319003550_","Store location - 0319003550_","","CS","Castello","Salizada Del Pignater","3550","CS3550","Salizada Del Pignater 3550","","45.4350218","12.3473461"
"0319003583_","Store location - 0319003583_","","CS","Castello","Salizada Del Pignater","3583","CS3583","Salizada Del Pignater 3583","","45.4349955","12.3475386"
"0319003585_","Store location - 0319003585_","","CS","Castello","Salizada Del Pignater","3585","CS3585","Salizada Del Pignater 3585","","45.4349712","12.3474563"
"0319003587A","Store location - 0319003587A","","CS","Castello","Salizada Del Pignater","3587A","CS3587A","Salizada Del Pignater 3587A","","45.43494803","12.34737443"
"0319003591_","Store location - 0319003591_","","CS","Castello","Salizada Del Pignater","3591","CS3591","Salizada Del Pignater 3591","","45.434925","12.3472846"
"0319003592_","Store location - 0319003592_","","CS","Castello","Salizada Del Pignater","3592","CS3592","Salizada Del Pignater 3592","","45.4349167","12.347254"
"0319003595_","Store location - 0319003595_","","CS","Castello","Calle Dei Preti","3595","CS3595","Calle Dei Preti 3595","","45.4348073","12.3471994"
"0319003600C","Store location - 0319003600C","","CS","Castello","Salizada Del Pignater","3600C","CS3600C","Salizada Del Pignater 3600C","","45.4348698","12.3470797"
"0319003683_","Store location - 0319003683_","","CS","Castello","Calle Bosello","3683","CS3683","Calle Bosello 3683","","45.43506699","12.34508391"
"0319003728_","Store location - 0319003728_","","CS","Castello","Calle Del Dose","3728","CS3728","Calle Del Dose 3728","","45.4343869","12.3463557"
"0319003728A","Store location - 0319003728A","","CS","Castello","Calle Del Dose","3728A","CS3728A","Calle Del Dose 3728A","","45.43436","12.3463534"
"0319003741_","Store location - 0319003741_","","CS","Castello","Calle Del Dose","3741","CS3741","Calle Del Dose 3741","","45.43421531","12.34636716"
"0319003829_","Store location - 0319003829_","","CS","Castello","Calle Dei Corazzieri","3829","CS3829","Calle Dei Corazzieri 3829","","45.4347212","12.3477539"
"0319003839_","Store location - 0319003839_","0319005582_","CS","Castello","Calle Dei Corazzieri","3839","CS3839","Calle Dei Corazzieri 3839","Castello Calle Seconda De La Fava 5582","45.4350182","12.34759043"
"0319003882_","Store location - 0319003882_","","CS","Castello","Calle Del Pestrin","3882","CS3882","Calle Del Pestrin 3882","","45.4348761","12.3480184"
"0319003903_","Store location - 0319003903_","","CS","Castello","Calle Crosera","3903","CS3903","Calle Crosera 3903","","45.4345892","12.3472477"
"0319003960A","Store location - 0319003960A","","CS","Castello","Calle Crosera","3960A","CS3960A","Calle Crosera 3960A","","45.4343996","12.347604"
"0319003962A","Store location - 0319003962A","","CS","Castello","Calle Crosera","3962A","CS3962A","Calle Crosera 3962A","","45.43434081","12.3476411"
"0319003976_","Store location - 0319003976_","","CS","Castello","Calle De La Pescaria","3976","CS3976","Calle De La Pescaria 3976","","45.4338822","12.34750451"
"0319004118_","Store location - 0319004118_","","CS","Castello","Riva Dei Schiavoni","4118","CS4118","Riva Dei Schiavoni 4118","","45.43375118","12.34749537"
