"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"1600003211_","Store location - 1600003211_","","SM","San Marco","Salizada Malipiero","3211","SM3211","Salizada Malipiero 3211","","45.4337092","12.3287874"
"1621001069_","Store location - 1621001069_","","SP","San Polo","Calle De L'Ogio O De La Rugheta","1069","SP1069","Calle De L'Ogio O De La Rugheta 1069","","45.437931","12.3328632"
"1600002511B","Store location - 1600002511B","","SM","San Marco","Campiello De La Feltrina","2511B","SM2511B","Campiello De La Feltrina 2511B","","45.4325807","12.3324635"
"0278001424_","Store location - 0278001424_","","CN","Cannaregio","Calleselle","1424","CN1424","Calleselle 1424","","45.4445599","12.3283754"
