"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319006672_","Store location - 0319006672_","","CS","Castello","Barbaria De Le Tole","6672","CS6672","Barbaria De Le Tole 6672","","45.43865537","12.34353203"
"0319005612_","Store location - 0319005612_","","CS","Castello","Ponte Sant'Antonio","5612","CS5612","Ponte Sant'Antonio 5612","","45.43761151","12.33785315"
"0319005543_","Store location - 0319005543_","","CS","Castello","Salizada San Lio","5543","CS5543","Salizada San Lio 5543","","45.43732477","12.33890235"
