"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"0278000126_","Store 0278000126_ - (2009)","","Accessories","46.42","46.42.1","","","","","","","","","1975","2009","2009","2009","https://lh3.googleusercontent.com/-MVKqrRmDylA/UJgA-YnR6DI/AAAAAAAABzM/oecsOdBmXA4/s640/CN_126.JPG?gl=US","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278003686_","Store 0278003686_ - (2009)","","Accessories","46.42","46.42.1","","","","","","","","","2009","2009","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001339_","Store 1600001339_ - (Macri, 2009)","Macri","Accessories","46.42","46.42.1","","","","","","","","","2009","2009","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001491_","Store 1600001491_ - (Donna Carolina, 2009)","Donna Carolina","Accessories","46.42","46.42.1","","","","","","","","","2009","2009","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600002253_","Store 1600002253_ - (You & Me, 2009)","You & Me","Accessories","46.42","46.42.1","","","","","","","","","2009","2009","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600002511_","Store 1600002511_ - (2009)","","Accessories","46.42","46.42.1","","","","","","","","","2009","2009","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600002806A","Store 1600002806A - (Fiorella gallery, 2009)","Fiorella gallery","Accessories","46.42","46.42.1","","","","","","","","","2009","2009","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003715_","Store 1600003715_ - (2009)","","Accessories","46.42","46.42.1","","","","","","","","","2009","2009","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004365_","Store 1600004365_ - (2009)","","Accessories","46.42","46.42.1","","","","","","","","","2009","2009","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004944_","Store 1600004944_ - (Accessorize, 2009)","Accessorize","Accessories","46.42","46.42.1","","","","","","","","","2009","2009","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
