"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"0319001592_","Store 0319001592_ - (2004)","","Bakery","10.71","10.71.1","","","","","","","","","1985","1985","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005237_","Store 0319005237_ - (2004)","","Clothing","47.79","47.79.3","","","","","","","","","1985","1985","2004","2004","https://lh5.googleusercontent.com/-Ktmszf5_Bhc/TsEo4lNN-2I/AAAAAAAAA5o/B3u667xmaUg/s512/IMG_1941.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319001795_","Store 0319001795_ - (2004)","","Dairy","46.33","46.33.1","","","","","","","","","1985","1985","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005183_","Store 0319005183_ - (2004)","","Dry cleaner","96.01","96.01.2","","","","","","","","","1985","1985","2004","2004","https://lh6.googleusercontent.com/-DotTIy_Sr58/TsEpYhPu_6I/AAAAAAAAA7Y/ximyMAufb4w/s512/IMG_1960.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319001132_","Store 0319001132_ - (2004)","","Grocery store","47.11","47.11.3","","","","","","","","","1985","1985","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319001823_","Store 0319001823_ - (2004)","","Grocery store","47.11","47.11.3","","","","","","","","","1985","1985","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005356_","Store 0319005356_ - (2004)","","Office supplies","31.01","31.01.2","","","","","","","","","1985","1985","2004","2011","https://lh3.googleusercontent.com/-SSjIU-Y9qW8/TsEnfjIDRVI/AAAAAAAAA0o/D3e-J8OCoGM/s512/IMG_1895.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319004968_","Store 0319004968_ - (2004)","","Photo store","47.78","47.78.2","","","","","","","","","1985","1985","2004","2011","https://lh3.googleusercontent.com/-Spd1POcacWw/TsZIICasdeI/AAAAAAAABfE/WQKnG0hQlWc/s512/IMG_2183.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319001535_","Store 0319001535_ - (2004)","","Produce","47.11","47.11.3","","","","","","","","","1985","1985","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005352_","Store 0319005352_ - (2004)","","Shoes","46.16","46.16.0","","","","","","","","","1985","1985","2004","2011","https://lh6.googleusercontent.com/-9uNigwgZ7hw/TsEnkauDhdI/AAAAAAAAA04/h7uO_Heri3o/s512/IMG_1898.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005727_","Store 0319005727_ - (2004)","","Shoes","46.16","46.16.0","","","","","","","","","1985","1985","2004","2011","https://lh5.googleusercontent.com/-3RHIqdGALTg/TsEkYwUoKmI/AAAAAAAAApQ/O8-DM4bDWWQ/s512/IMG_1787.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005760_","Store 0319005760_ - (2004)","","Wood work","16.23","16.23.1","","","","","","","","","1985","1985","2004","2011","https://lh4.googleusercontent.com/-wa2HWRtETfI/TsEjw6Ov8bI/AAAAAAAAAm4/pebhMTf27M4/s512/IMG_1767.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
