"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0278000126_","Store location - 0278000126_","","CN","Cannaregio","Rio Tera' Lista De Spagna","126","CN126","Rio Tera' Lista De Spagna 126","","45.4418541","12.32297062"
"0278003686_","Store location - 0278003686_","","CN","Cannaregio","Campo San Felice","3686","CN3686","Campo San Felice 3686","","45.44176871","12.3330655"
"1600001339_","Store location - 1600001339_","1600001340_","SM","San Marco","Calle Vallaresso","1339","SM1339","Calle Vallaresso 1339","San Marco Calle Vallaresso 1340","45.43296496","12.33686579"
"1600001491_","Store location - 1600001491_","","SM","San Marco","Salizada San Moise'","1491","SM1491","Salizada San Moise' 1491","","45.43329718","12.33639482"
"1600002253_","Store location - 1600002253_","","SM","San Marco","Calle Larga Ventidue Marzo","2253","SM2253","Calle Larga Ventidue Marzo 2253","","45.43283739","12.33446122"
"1600002511_","Store location - 1600002511_","","SM","San Marco","Campiello De La Feltrina","2511","SM2511","Campiello De La Feltrina 2511","","45.43259152","12.33240577"
"1600002806A","Store location - 1600002806A","1600002806_;1600002806C","SM","San Marco","Campo Santo Stefano","2806A","SM2806A","Campo Santo Stefano 2806A","San Marco Campo Santo Stefano 2806;San Marco Campo Santo Stefano 2806 C","45.43284584","12.33031851"
"1600003715_","Store location - 1600003715_","","SM","San Marco","Calle De La Cortesia","3715","SM3715","Calle De La Cortesia 3715","","45.43498352","12.33339494"
"1600004365_","Store location - 1600004365_","","SM","San Marco","Calle Dei Fuseri","4365","SM4365","Calle Dei Fuseri 4365","","45.43480491","12.33531608"
"1600004944_","Store location - 1600004944_","","SM","San Marco","Marzaria Del Capitelo","4944","SM4944","Marzaria Del Capitelo 4944","","45.43623916","12.33750416"
"1600004954_","Store location - 1600004954_","1600004955_;1600004956_","SM","San Marco","Marzaria Del Capitelo","4954","SM4954","Marzaria Del Capitelo 4954","San Marco Marzaria Del Capitelo 4955;Ramo Marzaria San Salvador 4956","45.43648925","12.33702328"
"0278001889D","Store location - 0278001889D","","CN","Cannaregio","Calle De L'Aseo","1889D","CN1889D","Calle De L'Aseo 1889D","","45.44425932","12.32931387"
"0278005404B","Store location - 0278005404B","","CN","Cannaregio","Campiello Widmann Gia' Biri","5404B","CN5404B","Campiello Widmann Gia' Biri 5404B","","45.44054553","12.33986092"
"1600003965_","Store location - 1600003965_","","SM","San Marco","Salizada Del Teatro","3965","SM3965","Salizada Del Teatro 3965","","45.43526405","12.33277129"
"1600004280_","Store location - 1600004280_","","SM","San Marco","Calle Dei Fuseri","4280","SM4280","Calle Dei Fuseri 4280","","45.43530591","12.33530187"
"1600000044_","Store location - 1600000044_","","SM","San Marco","Piazza San Marco","44","SM44","Piazza San Marco 44","","45.43382972","12.3389588"
"1600002360A","Store location - 1600002360A","","SM","San Marco","Calle De Le Ostreghe","2360A","SM2360A","Calle De Le Ostreghe 2360A","","45.43267982","12.3338068"
