"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"0319006231_","Store 0319006231_ - (2004)","","Clothing","47.79","47.79.3","","","","","","","","","2002","2002","2004","2004","https://lh3.googleusercontent.com/-Ja7crqpDD0s/TsEeYxI-DqI/AAAAAAAAATI/xoDDI9Q43io/s512/IMG_1590.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005378_","Store 0319005378_ - (2004)","","Hardware store","46.74","46.74.1","","","","","","","","","1980","2002","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005374_","Store 0319005374_ - (2004)","","Household goods","27.51","27.51.0","","","","","","","","","2002","2002","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005758_","Store 0319005758_ - (2004)","","Household goods","27.51","27.51.0","","","","","","","","","2002","2002","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005377_","Store 0319005377_ - (2004)","","Souvenirs","46.42","46.42.1","","","","","","","","","1980","2002","2004","2011","https://lh4.googleusercontent.com/-IMSTWpujouI/TsEnMmSAnmI/AAAAAAAAAzg/VuZn0LW5_js/s512/IMG_1882.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
