"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0707002748_","Store location - 0707002748_","","DD","Dorsoduro","Calle Longa De San Barnaba","2748","DD2748","Calle Longa De San Barnaba 2748","","45.43274526","12.32442258"
"1621000390_","Store location - 1621000390_","","SP","San Polo","Ruga Vechia San Giovanni","390","SP390","Ruga Vechia San Giovanni 390","","45.43891676","12.3344312"
"1621001046_","Store location - 1621001046_","","SP","San Polo","Rugheta Ravano","1046","SP1046","Rugheta Ravano 1046","","45.4380963","12.333321"
"1561001162_","Store location - 1561001162_","","SC","Santa Croce","Calle Larga Dei Bari","1162","SC1162","Calle Larga Dei Bari 1162","","45.44073984","12.32495505"
"1621001654A","Store location - 1621001654A","","SP","San Polo","Calle Dei Boteri","1654A","SP1654A","Calle Dei Boteri 1654A","","45.43979691","12.33304136"
"0707000881_","Store location - 0707000881_","","DD","Dorsoduro","Rio Tera' Foscarini","881","DD881","Rio Tera' Foscarini 881","","45.43066378","12.32844287"
"0707001007A","Store location - 0707001007A","","DD","Dorsoduro","Fondamenta Priuli","1007A","DD1007A","Fondamenta Priuli 1007A","","45.43111315","12.32669619"
"0707001044_","Store location - 0707001044_","","DD","Dorsoduro","Campiello Calbo","1044","DD1044","Campiello Calbo 1044","","45.43092998","12.32749639"
"0707002834A","Store location - 0707002834A","","DD","Dorsoduro","Fondamenta Girardini","2834A","DD2834A","Fondamenta Girardini 2834A","","45.43307431","12.3242434"
"0707002858_","Store location - 0707002858_","","DD","Dorsoduro","Calle Longa De San Barnaba","2858","DD2858","Calle Longa De San Barnaba 2858","","45.43277122","12.32443975"
"0707003220_","Store location - 0707003220_","","DD","Dorsoduro","Calle Del Capeler","3220","DD3220","Calle Del Capeler 3220","","45.43398493","12.32554105"
"0707003530_","Store location - 0707003530_","","DD","Dorsoduro","Fondamenta Del Gaffaro","3530","DD3530","Fondamenta Del Gaffaro 3530","","45.43688056","12.32132187"
"1621000561_","Store location - 1621000561_","","SP","San Polo","Ruga Vechia San Giovanni","561","SP561","Ruga Vechia San Giovanni 561","","45.43857585","12.33417856"
"1621000725_","Store location - 1621000725_","","SP","San Polo","Riva Del Vin","725","SP725","Riva Del Vin 725","","45.43794333","12.33530888"
