"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319001592_","Store location - 0319001592_","","CS","Castello","Via Garibaldi","1592","CS1592","Via Garibaldi 1592","","45.432083","12.35233943"
"0319005237_","Store location - 0319005237_","","CS","Castello","Calle Longa Santa Maria Formosa","5237","CS5237","Calle Longa Santa Maria Formosa 5237","","45.43752645","12.34144618"
"0319001795_","Store location - 0319001795_","","CS","Castello","Via Garibaldi","1795","CS1795","Via Garibaldi 1795","","45.43242709","12.35374607"
"0319005183_","Store location - 0319005183_","","CS","Castello","Calle Longa Santa Maria Formosa","5183","CS5183","Calle Longa Santa Maria Formosa 5183","","45.43778415","12.34216867"
"0319001132_","Store location - 0319001132_","","CS","Castello","Fondamenta Sant'Anna","1132","CS1132","Fondamenta Sant'Anna 1132","","45.43242795","12.35574485"
"0319001823_","Store location - 0319001823_","0319001824_","CS","Castello","Via Garibaldi","1823","CS1823","Via Garibaldi 1823","Castello Via Garibaldi 1824","45.43254031","12.35537747"
"0319005356_","Store location - 0319005356_","","CS","Castello","Calle Al Ponte De La Guerra","5356","CS5356","Calle Al Ponte De La Guerra 5356","","45.43641268","12.33952901"
"0319004968_","Store location - 0319004968_","","CS","Castello","Fondamenta De L'Osmarin","4968","CS4968","Fondamenta De L'Osmarin 4968","","45.43553495","12.34328791"
"0319001535_","Store location - 0319001535_","","CS","Castello","Via Garibaldi","1535","CS1535","Via Garibaldi 1535","","45.43215473","12.35298991"
"0319005352_","Store location - 0319005352_","","CS","Castello","Calle Al Ponte De La Guerra","5352","CS5352","Calle Al Ponte De La Guerra 5352","","45.43648077","12.33966261"
"0319005727_","Store location - 0319005727_","","CS","Castello","Salizada San Lio","5727","CS5727","Salizada San Lio 5727","","45.43722375","12.33932524"
"0319005760_","Store location - 0319005760_","0319005759_","CS","Castello","Calle Del Paradiso","5760","CS5760","Calle Del Paradiso 5760","Castello Calle Del Paradiso 5759","45.43725617","12.33958904"
