"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"0319004900_","Store 0319004900_ - (2004)","","Fish","46.38","46.38.1","","","","","","","","","1970","1975","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319001134A","Store 0319001134A - (2004)","","Hair salon","96.02","96.02.0","","","","","","","","","1975","1975","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319000914_","Store 0319000914_ - (2004)","","Hardware store","46.74","46.74.1","","","","","","","","","1975","1975","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319003199_","Store 0319003199_ - (2004)","","Metal work","24.41","24.41.0","","","","","","","","","1975","1975","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005573_","Store 0319005573_ - (2004)","","Repair","33.12","33.12.1","","","","","","","","","1975","1975","2004","2011","https://lh3.googleusercontent.com/-nUPfENEcHoQ/TsEltnXTZCI/AAAAAAAAAuI/-lqbcqC2RqA/s512/IMG_1834.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
