"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"0319005786B","Store 0319005786B - (2004)","","Antiques","47.79","47.79.2","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319002625_","Store 0319002625_ - (2004)","","Bakery","10.71","10.71.1","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005354_","Store 0319005354_ - (2004)","","Bakery","10.71","10.71.1","","","","","","","","","1970","1970","2004","2004","https://lh4.googleusercontent.com/-KsmrqSHuyLc/TsEniSn5vaI/AAAAAAAAA0w/W2B1vxY0WUE/s512/IMG_1897.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001494_","Store 1600001494_ - (Colassi, 2004)","Colassi","Bakery","10.71","10.71.1","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319001476_","Store 0319001476_ - (2004)","","Bar","56.3","56.30.0","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319001817_","Store 0319001817_ - (2004)","","Butcher","47.22","47.22.0","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319004900_","Store 0319004900_ - (2004)","","Butcher","47.22","47.22.0","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005690_","Store 0319005690_ - (2004)","","Butcher","47.22","47.22.0","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005475_","Store 0319005475_ - (2004)","","Dairy","46.33","46.33.1","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319003200_","Store 0319003200_ - (2004)","","Dry cleaner","96.01","96.01.2","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005705_","Store 0319005705_ - (2004)","","Florist","47.76","47.76.1","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319000219A","Store 0319000219A - (Pasta Fresca, 2004)","Pasta Fresca","Grocery store","47.11","47.11.3","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319001780_","Store 0319001780_ - (2004)","","Grocery store","47.11","47.11.3","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319003187_","Store 0319003187_ - (2004)","","Grocery store","47.11","47.11.3","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005545_","Store 0319005545_ - (2004)","","Grocery store","47.11","47.11.3","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319006133_","Store 0319006133_ - (2004)","","Hair salon","96.02","96.02.0","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001761_","Store 1600001761_ - (2004)","","Hair Salon","96.02","96.02.0","","","","","","","","","1960","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319000187_","Store 0319000187_ - (2004)","","Hardware store","46.74","46.74.1","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319004933_","Store 0319004933_ - (Motta, 2004)","Motta","Household goods","27.51","27.51.0","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319004719A","Store 0319004719A - (2004)","","Office supplies","31.01","31.01.2","","","","","","","","","1970","1970","2004","2011","https://lh6.googleusercontent.com/-Ix0pf6mVvRs/TsZKAb1WepI/AAAAAAAABmw/Zsyzty8YLlA/s512/IMG_2252.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001461_","Store 1600001461_ - (2004)","","Pet store","47.76","47.76.2","","","","","","","","","1950","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001462_","Store 1600001462_ - (2004)","","Pet store","47.76","47.76.2","","","","","","","","","1950","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319003146_","Store 0319003146_ - (2004)","","Pharmacy","46.46","46.46.1","","","","","","","","","1950","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319003278_","Store 0319003278_ - (2004)","","Repair","33.12","33.12.1","","","","","","","","","1970","1970","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319004755_","Store 0319004755_ - (2004)","","Repair","33.12","33.12.1","","","","","","","","","1970","1970","2004","2011","https://lh4.googleusercontent.com/-ueIUIp58Wy0/TsZJupanSWI/AAAAAAAABlU/dGkmtokcqDw/s512/IMG_2241.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319006807_","Store 0319006807_ - (2004)","","Souvenirs","46.42","46.42.1","","","","","","","","","1970","1970","2004","2011","https://lh5.googleusercontent.com/-y_VvxLkZ60w/TsEaTT62XEI/AAAAAAAAAHI/lWfoPopxD6k/s640/IMG_1355.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005752_","Store 0319005752_ - (2004)","","Undergarments","46.42","46.42.3","","","","","","","","","1970","1970","2004","2011","https://lh5.googleusercontent.com/-atdGH7fyg9w/TsEj3QBiWEI/AAAAAAAAAnY/uFnm_7BsPYw/s512/IMG_1771.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
