"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319004900_","Store location - 0319004900_","","CS","Castello","Ruga Giuffa","4900","CS4900","Ruga Giuffa 4900","","45.43635399","12.34230106"
"0319001134A","Store location - 0319001134A","","CS","Castello","Fondamenta Sant'Anna","1134A","CS1134A","Fondamenta Sant'Anna 1134A","","45.4324198","12.35564339"
"0319000914_","Store location - 0319000914_","","CS","Castello","Corte Del Solda'","914","CS914","Corte Del Solda' 914","","45.43093893","12.35670337"
"0319003199_","Store location - 0319003199_","","CS","Castello","Salizada De Le Gatte","3199","CS3199","Salizada De Le Gatte 3199","","45.43649482","12.34766001"
"0319005573_","Store location - 0319005573_","","CS","Castello","Salizada San Lio","5573","CS5573","Salizada San Lio 5573","","45.43742046","12.33849995"
