"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0278001649_","Store location - 0278001649_","","CN","Cannaregio","Rio Tera' San Leonardo","1649","CN1649","Rio Tera' San Leonardo 1649","","45.44374948","12.3277848"
"0278001998_","Store location - 0278001998_","","CN","Cannaregio","Calle De L'Anconeta","1998","CN1998","Calle De L'Anconeta 1998","","45.44383009","12.32971431"
"0278002062_","Store location - 0278002062_","0278002061_","CN","Cannaregio","Rio Tera' De La Maddalena","2062","CN2062","Rio Tera' De La Maddalena 2062","Cannaregio Rio Tera' De La Maddalena 2061","45.44349131","12.33042106"
"0278002064_","Store location - 0278002064_","","CN","Cannaregio","Rio Tera' De La Maddalena","2064","CN2064","Rio Tera' De La Maddalena 2064","","45.44346093","12.33055551"
"0278002336_","Store location - 0278002336_","","CN","Cannaregio","Rio Tera' De La Maddalena","2336","CN2336","Rio Tera' De La Maddalena 2336","","45.4433577","12.33132511"
"0278002433_","Store location - 0278002433_","","CN","Cannaregio","Calle Zancani","2433","CN2433","Calle Zancani 2433","","45.44356328","12.33248932"
"0278003921_","Store location - 0278003921_","","CN","Cannaregio","Strada Nova","3921","CN3921","Strada Nova 3921","","45.44121093","12.33434563"
"0278005545_","Store location - 0278005545_","","CN","Cannaregio","Salizada San Canzian","5545","CN5545","Salizada San Canzian 5545","","45.43989666","12.33832796"
"0278005648A","Store location - 0278005648A","","CN","Cannaregio","Calle Dolfin","5648A","CN5648A","Calle Dolfin 5648A","","45.43989707","12.33668054"
"0278005692_","Store location - 0278005692_","","CN","Cannaregio","Salizada San Giovanni Grisostomo","5692","CN5692","Salizada San Giovanni Grisostomo 5692","","45.43941261","12.33701559"
"0707000853C","Store location - 0707000853C","","DD","Dorsoduro","Calle Nova Sant'Agnese","853C","DD853C","Calle Nova Sant'Agnese 853C","","45.43077848","12.32892524"
"0707000879C","Store location - 0707000879C","","DD","Dorsoduro","Calle Nova Sant'Agnese","879C","DD879C","Calle Nova Sant'Agnese 879C","","45.43085303","12.32885741"
"0707003186_","Store location - 0707003186_","","DD","Dorsoduro","Calle De Le Boteghe","3186","DD3186","Calle De Le Boteghe 3186","","45.43363764","12.32520698"
"0707003929_","Store location - 0707003929_","","DD","Dorsoduro","Calle De Dona Onesta","3929","DD3929","Calle De Dona Onesta 3929","","45.43563959","12.3261764"
