"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"0319003224_","Store 0319003224_ - (2004)","","Florist","47.76","47.76.1","","","","","","","","","1950","1965","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319003004_","Store 0319003004_ - (2004)","","Grocery store","47.11","47.11.3","","","","","","","","","1965","1965","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319004758_","Store 0319004758_ - (2004)","","Hair salon","96.02","96.02.0","","","","","","","","","1965","1965","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005353_","Store 0319005353_ - (2004)","","Jewelry","32.12","32.12.1","","","","","","","","","1965","1965","2004","2011","https://lh4.googleusercontent.com/-KsmrqSHuyLc/TsEniSn5vaI/AAAAAAAAA0w/W2B1vxY0WUE/s512/IMG_1897.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
