"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319003206_","Store location - 0319003206_","","CS","Castello","Campo De Le Gatte","3206","CS3206","Campo De Le Gatte 3206","","45.43640028","12.34761373"
"0319003270_","Store location - 0319003270_","","CS","Castello","Calle Dei Furlani","3270","CS3270","Calle Dei Furlani 3270","","45.43613616","12.34689828"
"0319004976A","Store location - 0319004976A","","CS","Castello","Fondamenta De L'Osmarin","4976A","CS4976A","Fondamenta De L'Osmarin 4976A","","45.43564624","12.34403861"
"1600001588_","Store location - 1600001588_","","SM","San Marco","Calle De Le Piere Vive O Bognolo","1588","SM1588","Calle De Le Piere Vive O Bognolo 1588","","45.4339377","12.33628171"
"0319001386_","Store location - 0319001386_","","CS","Castello","Via Garibaldi","1386","CS1386","Via Garibaldi 1386","","45.43228601","12.353732"
"0319005433_","Store location - 0319005433_","","CS","Castello","Calle Sant'Antonio","5433","CS5433","Calle Sant'Antonio 5433","","45.43690872","12.33937385"
"0319004966_","Store location - 0319004966_","","CS","Castello","Fondamenta De L'Osmarin","4966","CS4966","Fondamenta De L'Osmarin 4966","","45.4355115","12.34316956"
"1600001492_","Store location - 1600001492_","","SM","San Marco","Salizada San Moise'","1492","SM1492","Salizada San Moise' 1492","","45.43330129","12.3364495"
"0319003184A","Store location - 0319003184A","","CS","Castello","Salizada De Le Gatte","3184A","CS3184A","Salizada De Le Gatte 3184A","","45.43681376","12.34749904"
"0319003225_","Store location - 0319003225_","","CS","Castello","Campo De Le Gatte","3225","CS3225","Campo De Le Gatte 3225","","45.43624854","12.34721278"
"0319006341_","Store location - 0319006341_","","CS","Castello","Salizada San Zanipolo","6341","CS6341","Salizada San Zanipolo 6341","","45.43878707","12.34238499"
"0319003219_","Store location - 0319003219_","","CS","Castello","Rielo Dei Furlani","3219","CS3219","Rielo Dei Furlani 3219","","45.43607416","12.34734172"
