"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319006641_","Store location - 0319006641_","","CS","Castello","Calle Del Cafetier","6641","CS6641","Calle Del Cafetier 6641","","45.43847032","12.34515439"
"0319004867_","Store location - 0319004867_","","CS","Castello","Ruga Giuffa","4867","CS4867","Ruga Giuffa 4867","","45.4365962","12.34206253"
"0319005411_","Store location - 0319005411_","","CS","Castello","Salizada San Lio","5411","CS5411","Salizada San Lio 5411","","45.43691602","12.33970846"
"0319005470_","Store location - 0319005470_","","CS","Castello","Salizada San Lio","5470","CS5470","Salizada San Lio 5470","","45.43716634","12.33935267"
"0319005728_","Store location - 0319005728_","0319005729_","CS","Castello","Salizada San Lio","5728","CS5728","Salizada San Lio 5728","Castello Salizada San Lio 5729","45.43718721","12.33938516"
"0319006487_","Store location - 0319006487_","","CS","Castello","Campo De Santa Giustina Detto De Barbaria","6487","CS6487","Campo De Santa Giustina Detto De Barbaria 6487","","45.43841164","12.3451853"
"0319005764A","Store location - 0319005764A","","CS","Castello","Calle Del Paradiso","5764A","CS5764A","Calle Del Paradiso 5764A","","45.43715585","12.33945306"
"0319004719_","Store location - 0319004719_","","CS","Castello","Calle San Provolo","4719","CS4719","Calle San Provolo 4719","","45.43546554","12.34292533"
"0319005640_","Store location - 0319005640_","","CS","Castello","Calle Del Pistor","5640","CS5640","Calle Del Pistor 5640","","45.4378164","12.33833398"
"0319006490_","Store location - 0319006490_","","CS","Castello","Campo De Santa Giustina Detto De Barbaria","6490","CS6490","Campo De Santa Giustina Detto De Barbaria 6490","","45.43831577","12.34515737"
"0319005756_","Store location - 0319005756_","0319005755_","CS","Castello","Calle Del Paradiso","5756","CS5756","Calle Del Paradiso 5756","Castello Calle Del Paradiso 5755","45.43731923","12.33967068"
"0319005706_","Store location - 0319005706_","","CS","Castello","Salizada San Lio","5706","CS5706","Salizada San Lio 5706","","45.43727481","12.33923201"
"0319005380_","Store location - 0319005380_","","CS","Castello","Calle De Le Bande","5380","CS5380","Calle De Le Bande 5380","","45.43657145","12.33978286"
"0319005268_","Store location - 0319005268_","","CS","Castello","Calle De Le Bande","5268","CS5268","Calle De Le Bande 5268","","45.4367483","12.34035093"
"0319005032_","Store location - 0319005032_","","CS","Castello","Fondamenta San Lorenzo","5032","CS5032","Fondamenta San Lorenzo 5032","","45.43624301","12.3442611"
