"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319003224_","Store location - 0319003224_","","CS","Castello","Campo De Le Gatte","3224","CS3224","Campo De Le Gatte 3224","","45.43627518","12.34720093"
"0319003004_","Store location - 0319003004_","0319003005_;0319003006_","CS","Castello","Calle De L'Ogio","3004","CS3004","Calle De L'Ogio 3004","Castello Calle De L'Ogio 3005;Castello Ramo Corte De La Vida 3006","45.4369054","12.34794373"
"0319004758_","Store location - 0319004758_","","CS","Castello","Ruga Giuffa","4758","CS4758","Ruga Giuffa 4758","","45.43616474","12.3423906"
"0319005353_","Store location - 0319005353_","","CS","Castello","Calle Al Ponte De La Guerra","5353","CS5353","Calle Al Ponte De La Guerra 5353","","45.43646089","12.33962232"
