"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"1600001904_","Store 1600001904_ - (Antichita', 2004)","Antichita'","Antiques","47.79","47.79.2","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600002606_","Store 1600002606_ - (Antichita', 2004)","Antichita'","Antiques","47.79","47.79.2","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600002973_","Store 1600002973_ - (2004)","","Antiques","47.79","47.79.2","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003040A","Store 1600003040A - (2004)","","Antiques","47.79","47.79.2","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003084_","Store 1600003084_ - (2004)","","Antiques","47.79","47.79.2","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003332_","Store 1600003332_ - (2004)","","Antiques","47.79","47.79.2","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600005041_","Store 1600005041_ - (Bastianell, 2004)","Bastianell","Antiques","47.79","47.79.2","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002199_","Store 1621002199_ - (2004)","","Antiques","47.79","47.79.2","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002863_","Store 1621002863_ - (2004)","","Antiques","47.79","47.79.2","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002867_","Store 1621002867_ - (2004)","","Antiques","47.79","47.79.2","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278000412_","Store 0278000412_ - (2004)","","Art","47.78","47.78.3","","","","","","","","","2004","2004","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
