"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319006231_","Store location - 0319006231_","","CS","Castello","Calle Longa Santa Maria Formosa","6231","CS6231","Calle Longa Santa Maria Formosa 6231","","45.4377113","12.34183835"
"0319005378_","Store location - 0319005378_","","CS","Castello","Calle Al Ponte De La Guerra","5378","CS5378","Calle Al Ponte De La Guerra 5378","","45.43653861","12.33971924"
"0319005374_","Store location - 0319005374_","","CS","Castello","Calle Al Ponte De La Guerra","5374","CS5374","Calle Al Ponte De La Guerra 5374","","45.43647084","12.339584"
"0319005758_","Store location - 0319005758_","0319005757_","CS","Castello","Calle Del Paradiso","5758","CS5758","Calle Del Paradiso 5758","Castello Calle Del Paradiso 5757","45.43728764","12.3396282"
"0319005377_","Store location - 0319005377_","","CS","Castello","Calle Al Ponte De La Guerra","5377","CS5377","Calle Al Ponte De La Guerra 5377","","45.43651506","12.33967254"
