"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"0319004922_","Store 0319004922_ - (2004)","","Accessories","46.42","46.42.1","","","","","","","","","1990","1990","2004","2004","https://lh3.googleusercontent.com/-Goq9BzLLVuE/TsZIlg0OPhI/AAAAAAAABgw/fY-aOFaLdNk/s512/IMG_2201.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005786C","Store 0319005786C - (2004)","","Accessories","46.42","46.42.1","","","","","","","","","1990","1990","2004","2004","https://lh5.googleusercontent.com/-pyCNrHoSw7k/TsEjOgJJfaI/AAAAAAAAAk4/v-gvSL32jz0/s512/IMG_1743.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319000345_","Store 0319000345_ - (2004)","","Art","47.78","47.78.3","","","","","","","","","1990","1990","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001588_","Store 1600001588_ - (Milani, 2004)","Milani","Bakery","10.71","10.71.1","","","","","","","","","1973","1990","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319001813_","Store 0319001813_ - (2004)","","Bar","56.3","56.30.0","","","","","","","","","1980","1990","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319001771_","Store 0319001771_ - (2004)","","Butcher","47.22","47.22.0","","","","","","","","","1990","1990","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319000834_","Store 0319000834_ - (2004)","","Clothing","47.79","47.79.3","","","","","","","","","1980","1990","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319001776_","Store 0319001776_ - (2004)","","Clothing","47.79","47.79.3","","","","","","","","","1990","1990","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319005367_","Store 0319005367_ - (2004)","","Dry cleaner","96.01","96.01.2","","","","","","","","","1990","1990","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0319000394_","Store 0319000394_ - (2004)","","Grocery store","47.11","47.11.3","","","","","","","","","1990","1990","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
