"!!ID","!!IDName","!ImageUrl","Dati Generali_Data fine","Dati Generali_Data inizio","Dati Generali_Descrizione","Dati Generali_Durata","Dati Generali_Famiglia","Dati Generali_Stato","Dati Generali_Zona","Intervento_Importo lavori effettivo","Intervento_Importo lavori effettivo (dl)","Intervento_Importo lavori previsto","Intervento_Tipologia intervento","Segnalazione_Tipologia elemento","Sopralluogo_Tipologia anomalia","Sopralluogo_Tipologia elemento"
"32245","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15551/360/220/","2011-10-10","2011-10-07","Castello - Calle delle Furlane","3 giorni","Venezia Nord 2011","risolto","Castello",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"4014","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/8392/360/220/","2009-09-10","2009-08-24","Murano Calle Zaniol 8","17 giorni","Venezia Nord","risolto","Murano",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"32247","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15592/360/220/","2011-10-14","2011-10-07","SANTA CROCE 637/A - CALLE SECCHIERA","7 giorni","Venezia Sud","risolto","Santa Croce",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","caditoia"
"4013","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/8388/360/220/","2009-09-16","2009-08-24","Piazzale Roma corsia Bus C4","23 giorni","Venezia Sud","risolto","Santa Croce",,,,"pavimentazione","pavimentazione","lesione","pavimentazione stradale"
"3431","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5810/360/220/","2009-05-19","2009-05-14","Dorsoduro, 560 - Campiello dietro gli Incurabili","5 giorni","Venezia Sud","risolto","Dorsoduro",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","rete nera, mista o pluviale"
"32242","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15540/360/220/","2011-10-12","2011-10-06","Castello 5492/C - Sottoportico Licini","5 giorni","Venezia Nord 2011","risolto","Castello",,,,"altri interventi","altro","instabilita elemento","elementi di arredo, segnaletica"
"12803","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/13745/360/220/","2010-04-30","2010-04-29","Castello - Campo Stringari","1 giorno","Venezia Nord","risolto","Castello","","",,"pavimentazione","pavimentazione","lesione","pavimentazione stradale"
"32241","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15537/360/220/","2011-11-08","2011-10-06","San Marco, Calle San Basso, 308/C","33 giorni","Venezia Nord 2011","risolto","San Marco",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","caditoia"
"32244","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15548/360/220/","2011-10-10","2011-10-07","Murano, Fondamenta D.Manin civ. 4 e 8","2 giorni","Venezia Nord 2011","risolto","Murano",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"4010","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/8328/360/220/",,"2009-08-24","S.Croce - Calle de la Regina vicino Campo San Cassiano",,"Venezia Sud","risolto","Santa Croce",,,,,"pavimentazione",,
