"!!ID","!!IDName","!ImageUrl","Dati Generali_Data fine","Dati Generali_Data inizio","Dati Generali_Descrizione","Dati Generali_Durata","Dati Generali_Famiglia","Dati Generali_Stato","Dati Generali_Zona","Intervento_Importo lavori effettivo","Intervento_Importo lavori effettivo (dl)","Intervento_Importo lavori previsto","Intervento_Tipologia intervento","Segnalazione_Tipologia elemento","Sopralluogo_Tipologia anomalia","Sopralluogo_Tipologia elemento"
"8225","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/11198/360/220/","2010-02-26","2010-02-22","San Marco, 75/A sotto portico ala napoleonica","4 giorni","Venezia Nord","risolto","San Marco","","",,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"8224","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/11194/360/220/","2010-03-10","2010-02-22","Dorsoduro, 966 e 967","16 giorni","Venezia Sud","risolto","Dorsoduro",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","caditoia"
"16903","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/17709/360/220/","2010-07-28","2010-07-19","Castello, 2567 - Fondamenta delle Gorne.","9 giorni","Venezia Nord","risolto","Castello",,,"","elementi di arredo","muri di sponda","lesione","muro di sponda"
"33548","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22121/360/220/","2012-08-10","2012-08-07","Murano - Fondamenta Navagero","2 giorni","Venezia Nord 2012","risolto","Murano",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"29503","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/28716/360/220/","2011-02-18","2011-02-01","Santa Croce - Piazzale Roma","17 giorni","Venezia Sud","risolto","Santa Croce",,,,"pavimentazione","pavimentazione","lesione","caditoia"
"3280","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5113/360/220/","2009-04-29","2009-04-24","Cannaregio, 1384 - Calle della Masena","5 giorni","Venezia Nord","risolto","Cannaregio",,,,"altri interventi","fognatura","malfunzionamento","rete nera, mista o pluviale"
"34229","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24188/360/220/","2012-12-21","2012-12-19","San Marco 2488/A calle Gritti o del Campanile","2 giorni","Venezia Nord 2012","risolto","San Marco",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"8223","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/11190/360/220/","2010-02-22","2010-02-20","San Polo, 2878","2 giorni","Venezia Sud","risolto","San Polo",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"34227","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24139/360/220/",,"2012-12-19","Santa Croce Piazzale Roma fermate Bus A1-A7",,"Venezia Sud 2012","in corso","Santa Croce",,,,,"pavimentazione",,
"33542","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22050/360/220/",,"2012-08-06","San Marco 367 - Calle Larga san Marco",,"Venezia Nord 2012","in corso","San Marco",,,,"fognatura - reti fognarie","pavimentazione","intervento migliorativo","pavimentazione stradale"
"22523","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/307/360/220/","2010-10-22","2010-10-19","San Marco","3 giorni","Venezia Nord","risolto","San Marco",,"",,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"34228","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24184/360/220/","2013-01-08","2012-12-19","Giudecca 492/M FONDAMENTA DEI SCORZERI","19 giorni","Venezia Sud 2012","risolto","Giudecca",,,,"muri di sponda","pavimentazione","lesione","muro di sponda"
"33541","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/21992/360/220/","2012-08-24","2012-08-03","Dorsoduro, fta Zattere al ponte lungo 1386","20 giorni","Venezia Sud 2012","risolto","Dorsoduro",,,,"pavimentazione","pavimentazione","lesione","pavimentazione stradale"
"34225","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24131/360/220/","2013-01-11","2012-12-19","Murano-calle del paradiso civ. 6","23 giorni","Venezia Nord 2012","risolto","Murano",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"33540","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/21988/360/220/","2012-09-04","2012-08-03","San Polo 1821 corte Michiel","31 giorni","Venezia Sud 2012","risolto","San Polo",,,,"pavimentazione","pavimentazione","cedimento","caditoia"
"3284","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5265/360/220/","2009-04-28","2009-04-27","S.Croce - Ponte dei Tre Ponti","1 giorno","Venezia Sud","risolto","Santa Croce",,,,,"ponti (e pontili)",,
"34226","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24135/360/220/",,"2012-12-19","GIUDECCA SOTTOPORTICO DEL MORTORIO",,"Venezia Sud 2012","in corso","Giudecca",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"3283","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5261/360/220/","2009-05-28","2009-04-24","S.Marco - Campo Manin","34 giorni","Venezia Nord","risolto","San Marco",,,,"altri interventi","arredo, segnaletica","instabilita elemento","altro"
"34223","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24126/360/220/","2013-01-11","2012-12-18","Murano fondamenta Navagero civico 60","23 giorni","Venezia Nord 2012","risolto","Murano",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"3286","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5270/360/220/","2009-04-30","2009-04-23","San Marco 282 Calle Larga San Marco","7 giorni","Venezia Nord","risolto","San Marco",,,,"fognatura - reti fognarie","fognatura","instabilita elemento","caditoia"
"33545","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22059/360/220/","2012-08-07","2012-08-06","Cannaregio, Rio tera Barba Frutariol 4688, Rio tera S. Apostol 4612Ci, Rio tera dei Franceschini 4616-4615-4613A, Calle Larga dei Proverbi 4561.",,"Venezia Nord 2012","risolto","Cannaregio",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"34224","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24130/360/220/",,"2012-12-19","Dorsoduro Fondamenta Briati RIF MNEMONICO CIV. 2534",,"Venezia Sud 2012","risolto","Dorsoduro",,,,,"muri di sponda",,
"3285","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5266/360/220/","2009-04-28","2009-04-27","Santa Croce - Ponte dei tre Ponti","1 giorno","Venezia Sud","risolto","Dorsoduro",,,,"ponti","ponti (e pontili)","altro","pavimentazione ponte"
"34221","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16/360/220/","2013-01-07","2012-12-18","SAN POLO 1338/A - CAMPIELLO DEI MELONI","19 giorni","Venezia Sud 2012","risolto","San Polo",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"3287","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5312/360/220/","2009-04-28","2009-04-27","San Polo, 2221 - Ramo del Forner","1 giorno","Venezia Sud","risolto","San Polo",,,,"pavimentazione","pavimentazione","malfunzionamento","caditoia"
"33543","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22054/360/220/","2012-08-08","2012-08-06","San Marco - Calle de la Verona","1 giorno","Venezia Nord 2012","risolto","San Marco",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"34222","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24122/360/220/","2012-12-21","2012-12-18","S.Marco calle dei Fabbri civico 4716","2 giorni","Venezia Nord 2012","risolto","San Marco",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"34220","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/12/360/220/","2013-01-22","2012-12-18","Piazzale Roma RAMPA SANTA CHIARA","34 giorni","Venezia Sud 2012","risolto","Santa Croce",,,,"pavimentazione","pavimentazione","intervento migliorativo","pavimentazione stradale"
"2953","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/4719/360/220/",,"2009-02-23","Santa Croce 644/B Calle Secchiera",,"Venezia Sud","risolto","Santa Croce",,,,,"arredo, segnaletica",,
"1822","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1222/360/220/","2008-11-07","2008-10-31","Campo San Bartolomeo","7 giorni","Venezia Nord","risolto","San Marco",,,,,"pavimentazione","altro","altro"
"2955","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/3708/360/220/","2009-03-10","2009-02-23","San Polo 1587 ponte delle Beccarie","15 giorni","Venezia Sud","risolto","San Polo",,,,"pavimentazione","ponti (e pontili)","lesione","pavimentazione ponte"
"2954","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/4720/360/220/","2009-03-09","2009-02-24","Castello f.ta santa Giustina incrocio con calle san Francesco","13 giorni","Venezia Nord","risolto","Castello",,,,"pavimentazione",,"intervento migliorativo","pavimentazione stradale"
"2957","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/3715/360/220/","2009-02-24","2009-02-24","Piazza San Marco angolo Palazzo Ducale",,"Venezia Nord","risolto","San Marco",,,,"pavimentazione","pavimentazione","lesione","pavimentazione stradale"
"1825","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1232/360/220/","2008-11-04","2008-10-31","F.ta del Ponte Piccolo fermata ACTV Palanca","4 giorni","Venezia Sud","risolto","Giudecca",,,,"pavimentazione","pavimentazione","malfunzionamento","pavimentazione stradale"
"1826","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1236/360/220/","2008-10-22","2008-10-22","CANNAREGIO CALLE PRIMA DELLE CASE NUOVE CIV. 2979 ISPEZIONE N. 1",,"Venezia Nord","risolto","Cannaregio",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"2956","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/3711/360/220/","2009-02-28","2009-02-23","Cannaregio Ponte Priuli vicino al civ 96/D","5 giorni","Venezia Nord","risolto","Cannaregio",,,,"ponti","ponti (e pontili)","lesione","parapetto ponte"
"1823","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1225/360/220/","2008-11-04","2008-10-31","Sottoportico del Fumo - Dorsoduro, 2085","4 giorni","Venezia Sud","risolto","Dorsoduro",,,,"fognatura - reti fognarie","altro","malfunzionamento","caditoia"
"2959","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/3723/360/220/","2009-03-02","2009-02-24","Castello 1490/B Campiello dei Cavalli","6 giorni","Venezia Nord","risolto","Castello",,,,"fognatura - reti fognarie","fognatura","altro","rete nera, mista o pluviale"
"1824","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1229/360/220/","2008-10-22","2008-10-22","CANNAREGIO RAMO SECONDO DELLA SACCA ISPEZIONE N.1",,"Venezia Nord","risolto","Cannaregio",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"2958","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/3719/360/220/","2009-03-09","2009-02-24","Castello 4195 Riva degli Schiavoni","13 giorni","Venezia Nord","risolto","Castello",,,,"muri di sponda","muri di sponda","instabilita elemento","muro di sponda"
"1829","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1258/360/220/","2008-10-22","2008-10-22","CANNAREGIO CALLE LUIGI LUZZATI ISPEZIONE N?1",,"Venezia Nord","risolto","Cannaregio",,,,"pavimentazione",,"lesione","pavimentazione stradale"
"1827","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1239/360/220/","2008-10-22","2008-10-22","CANNAREGIO CALLE SECONDA DELLE CASE NUOVE ISPEZIONE N?1",,"Venezia Nord","risolto","Cannaregio",,,,"pavimentazione",,"lesione","pavimentazione stradale"
"1828","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1242/360/220/","2008-10-22","2008-10-22","CANNAREGIO CORTE DELLE CASE NUOVE ISPEZIONE N?1",,"Venezia Nord","risolto","Cannaregio",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"33559","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22267/360/220/","2012-08-27","2012-08-20","SAN MARCO 3339 - CALLE MOCENIGO","6 giorni","Venezia Nord 2012","risolto","San Marco",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"34219","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/9/360/220/",,"2012-12-17","MURANO FONDAMENTA VETRAI AL CIVICO 52 ED AL CIVICO 110.",,"Venezia Nord 2012","in corso","Murano",,,,,"pavimentazione","cedimento","pavimentazione stradale"
"3295","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5381/360/220/","2009-04-29","2009-04-27","Cannaregio f.ta dei Scalzi vicino entrata chiesa","1 giorno","Venezia Nord","risolto","Cannaregio",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"34214","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/231/360/220/","2013-01-22","2012-12-17","Dorsoduro civ.2091/A.","35 giorni","Venezia Sud 2012","risolto","Dorsoduro",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","rete nera, mista o pluviale"
"25784","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/28360/360/220/","2010-12-15","2010-12-15","Campo Santa Margherita (Dorsoduro)",,"Venezia Sud","risolto","Dorsoduro",,,,"elementi di arredo",,"lesione","elementi di arredo, segnaletica"
"3294","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5378/360/220/","2009-04-27","2009-04-27","Cannaregio F.ta Abbazia civ 3549",,"Venezia Nord","risolto","Cannaregio",,,,"muri di sponda",,"cedimento","pavimentazione stradale"
"25785","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/28363/360/220/","2010-12-15","2010-12-15","SC 495-Macigno sfondato",,"Venezia Sud","risolto","Santa Croce",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"33550","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22128/360/220/","2012-08-28","2012-08-08","Castello 2135/A - Riva San Biasio","20 giorni","Venezia Nord 2012","risolto","Castello",,,,,"pavimentazione","cedimento","pavimentazione stradale"
"6883","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/10999/360/220/","2010-02-11","2010-01-29","Giudecca 25 Fondamenta San Giovanni","13 giorni","Venezia Sud","risolto","Giudecca",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"23643","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26954/360/220/","2010-11-19","2010-11-05","Cannaregio f.ta di cannaregio civ. 949","14 giorni","Venezia Nord","risolto","Cannaregio",,,,,"pavimentazione","instabilita elemento","pavimentazione stradale"
"6884","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/11003/360/220/",,"2010-01-14","San Marco 2723/A Sottoportico corte del Santissimo",,"Venezia Nord","risolto","San Marco",,,,,"pavimentazione",,
"25786","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/28366/360/220/","2010-12-15","2010-12-15","DD3494-F.ta de la Cereria-Vuoto sotto i masegni",,"Venezia Sud","risolto","Dorsoduro",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"33552","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22186/360/220/","2012-08-28","2012-08-08","Cannaregio 5038 Fondamente Nuove","19 giorni","Venezia Nord 2012","risolto","Cannaregio",,,,,"pavimentazione","cedimento","altro"
"23644","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26955/360/220/","2010-11-16","2010-11-11","Castello calle Drasi civ.3116","5 giorni","Venezia Nord","risolto","Castello",,"",,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"5362","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/9698/360/220/","2009-11-02","2009-10-29","F.ta de la Pasina (San Polo)","3 giorni","Venezia Sud","risolto","San Polo",,,,"pavimentazione",,"lesione","pavimentazione stradale"
"33555","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22195/360/220/","2012-08-28","2012-08-10","Cannaregio civ.4681","18 giorni","Venezia Nord 2012","risolto","Cannaregio",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"3299","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5552/360/220/","2009-04-29","2009-04-27","San Marco, 4036 - Campiello della Chiesa","2 giorni","Venezia Nord","risolto","San Marco",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"3298","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5548/360/220/","2009-04-30","2009-04-27","San Marco 1297 calle Larga dell'Ascension","3 giorni","Venezia Nord","risolto","San Marco",,,,"pavimentazione","fognatura","instabilita elemento","caditoia"
"34212","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/223/360/220/","2012-12-21","2012-12-17","Cannaregio civ.3604/A","4 giorni","Venezia Nord 2012","risolto","Cannaregio",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"33557","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22203/360/220/","2012-08-31","2012-08-20","Castello 2162/C - Fondamenta dell'Arsenale","11 giorni","Venezia Nord 2012","risolto","Castello",,,,,"pavimentazione","cedimento","pavimentazione stradale"
"33556","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22199/360/220/","2012-08-28","2012-08-10","Castello - F.ta San Gioachino civ.489","18 giorni","Venezia Nord 2012","risolto","Castello",,,,"muri di sponda","arredo, segnaletica","lesione","muro di sponda"
"34213","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/227/360/220/","2013-01-07","2012-12-17","Castello - Calle della Congregazione civ.10/8","21 giorni","Venezia Nord 2012","risolto","Castello",,,,"fognatura - reti fognarie","fognatura","lesione","caditoia"
"3296","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5384/360/220/","2009-04-24","2009-04-24","Santa Croce Ponte San Pantalon",,"Venezia Sud","risolto","Santa Croce",,,,"ponti","ponti (e pontili)","lesione","parapetto stradale"
"25783","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/28313/360/220/","2010-12-16","2010-12-15","Cannaregio, 5443 - Ramo Morandi","1 giorno","Venezia Nord","risolto","Cannaregio",,"",,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"2948","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/4711/360/220/","2009-05-18","2009-02-23","Castello calle Coni Zugna civ 1","83 giorni","Venezia Nord","risolto","Castello",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"16004","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/17761/360/220/","2010-06-30","2010-06-07","Cannaregio f.ta delle Erbe civ 6101a","23 giorni","Venezia Nord","risolto","Cannaregio",,"",,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"2945","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/4646/360/220/","2009-03-09","2009-02-23","Castello civ 4141 in corrispondenza al pontile di Nethun","14 giorni","Venezia Nord","risolto","Castello",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"8243","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/12471/360/220/","2010-02-22","2010-02-22","Cannaregio civ 4567 calla larga dei proverbi",,"Venezia Nord","risolto","Cannaregio","","",,"pavimentazione",,"cedimento","pavimentazione stradale"
"34209","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/219/360/220/","2012-12-21","2012-12-13","Castello- Riva dei Sette Martiri civ. 1364/A","7 giorni","Venezia Nord 2012","risolto","Castello",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"6080","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/10311/360/220/","2009-12-16","2009-12-16","Castello - Calle del Mezzo Ispezione 96",,"Venezia Nord","risolto","Castello","","",,"pavimentazione",,"intervento migliorativo","pavimentazione stradale"
"6081","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/10316/360/220/","2009-12-16","2009-12-16","Castello - Calle Grandiben civ. 4008 Ispezione 96",,"Venezia Nord","risolto","Castello","","",,"pavimentazione",,"intervento migliorativo","pavimentazione stradale"
"34207","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/211/360/220/","2012-12-21","2012-12-13","Cannaregio - C.po San Canciano","7 giorni","Venezia Nord 2012","risolto","Cannaregio",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"34208","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/215/360/220/","2012-12-21","2012-12-13","Cannaregio-Ponte Sant'Alvise","7 giorni","Venezia Nord 2012","risolto","Cannaregio",,,,"ponti","ponti (e pontili)","instabilita elemento","parapetto ponte"
"8244","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/12476/360/220/","2010-02-25","2010-02-22","Castello salizzada san Lio civ 5765","2 giorni","Venezia Nord","risolto","Castello","","",,"pavimentazione",,"cedimento","pavimentazione stradale"
"6084","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/10389/360/220/","2009-12-17","2009-12-17","Murano - Fondamenta Lorenzo Radi Ispezione 1004",,"Venezia Nord","risolto","Murano","","",,"pavimentazione",,"intervento migliorativo","pavimentazione stradale"
"6085","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/10394/360/220/","2009-12-10","2009-12-10","Castello - Salizzada San Provolo civ. 4515 Ispezione 93",,"Venezia Nord","risolto","Castello","","",,"pavimentazione",,"intervento migliorativo","pavimentazione stradale"
"6082","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/10379/360/220/","2009-12-17","2009-12-17","Castello - Ramo delle doccie civ. 4055 Ispezione 96",,"Venezia Nord","risolto","Castello","","",,"pavimentazione",,"intervento migliorativo","pavimentazione stradale"
"33569","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22413/360/220/","2012-08-28","2012-08-20","Santa Croce salizzada San Stae civ 1906","7 giorni","Venezia Sud 2012","risolto","Santa Croce",,,,"pavimentazione",,"instabilita elemento","pavimentazione stradale"
"16923","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/17773/360/220/","2010-07-19","2010-07-19","Salizada Ca Carminati civico 1883/B",,"Venezia Sud","risolto","Santa Croce",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"6083","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/10384/360/220/","2009-12-15","2009-12-15","Castello - Fondamenta Morosina civ. 4058 Ispezione 96",,"Venezia Nord","risolto","Castello","","",,"pavimentazione",,"intervento migliorativo","pavimentazione stradale"
"33568","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22352/360/220/","2012-08-24","2012-08-20","Dorsoduro ponte de Ca Rezzonico","3 giorni","Venezia Sud 2012","risolto","Dorsoduro",,,,"ponti","ponti (e pontili)","intervento migliorativo","struttura ponte"
"6088","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/10439/360/220/","2009-12-11","2009-12-11","Castello - Riva degli Schiavoni 4209 Ispezione 93",,"Venezia Nord","risolto","Castello","","",,"pavimentazione",,"intervento migliorativo","pavimentazione stradale"
"34201","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/195/360/220/","2012-12-17","2012-12-11","Castello Campo San Martino","5 giorni","Venezia Nord 2012","risolto","Castello",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"33567","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22349/360/220/","2012-10-12","2012-08-20","Santa Croce- Rampa Santa Chiara prima della questura","53 giorni","Venezia Sud 2012","risolto","Santa Croce",,,,,"pavimentazione","cedimento","pavimentazione stradale"
"6089","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/10444/360/220/","2009-12-04","2009-12-04","Castello Calle degli Albanesi 4210 Ispezione 93",,"Venezia Nord","risolto","Castello","","",,"pavimentazione",,"intervento migliorativo","pavimentazione stradale"
"34202","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/199/360/220/","2012-12-17","2012-12-11","Castello 4182 riva degli Schiavoni","5 giorni","Venezia Nord 2012","risolto","Castello",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"33566","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22345/360/220/","2012-08-27","2012-08-20","CANNAREGIO 6423 - PONTE DELLE ERBE","6 giorni","Venezia Nord 2012","risolto","Cannaregio",,,,"ponti","ponti (e pontili)","cedimento","parapetto ponte"
"6086","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/10434/360/220/","2009-12-10","2009-12-10","Castello - Campo San Filippo e Giacomo civ. 4359 Ispezione 93",,"Venezia Nord","risolto","Castello","","",,"pavimentazione",,"intervento migliorativo","pavimentazione stradale"
"2980","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/3969/360/220/","2009-03-04","2009-02-27","Santa Croce 715 Fta San Simeon Piccolo","5 giorni","Venezia Sud","risolto","Santa Croce",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"34200","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/192/360/220/","2013-01-24","2012-12-11","SANTA CROCE 1505","43 giorni","Venezia Sud 2012","risolto","Santa Croce",,,,,"fognatura","intervento migliorativo","rio"
"33563","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22337/360/220/","2012-08-31","2012-08-20","PIAZZA SAN MARCO, IN MEZZO ALLA PIAZZA IN CORRISPONDENZA DEL CIVICO N. 66","10 giorni","Venezia Nord 2012","risolto","San Marco",,,,"pavimentazione","pavimentazione","lesione","pavimentazione stradale"
"34203","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/203/360/220/","2012-12-21","2012-12-12","Cannaregio campo de la Maddalena civico 2106","9 giorni","Venezia Nord 2012","risolto","Cannaregio",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"33562","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22278/360/220/",,"2012-08-20","SAN MARCO 4755 - PONTE DEL LOVO",,"Venezia Nord 2012","in corso","San Marco",,,,"ponti","ponti (e pontili)","cedimento","parapetto ponte"
"2974","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/3892/360/220/","2009-02-20","2009-02-20","CANNAREGIO FONDAMENTA ORMESINI CIVICI 2681,2710",,"Venezia Nord","risolto","Cannaregio",,,,"pavimentazione",,"instabilita elemento","pavimentazione stradale"
"33560","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22271/360/220/","2012-10-30","2012-08-20","Santa Croce - calle del Forno","71 giorni","Venezia Sud 2012","risolto","Santa Croce",,,,"altri interventi","altro","cedimento","altro"
"10083","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/12140/360/220/","2010-04-08","2010-03-12","Ponte di Rialto vicino Tribunale","27 giorni","Venezia Sud","risolto","San Polo",,,,,"pavimentazione","altro","pavimentazione stradale"
"2977","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/3957/360/220/","2009-03-23","2009-02-27","Castello 23 calle Nuova","24 giorni","Venezia Nord","risolto","Castello",,,,"pavimentazione","pavimentazione","intervento migliorativo","pavimentazione stradale"
