"!!Job Item Id","!!Job Item Type","!Job Id","!Job Name","job_SMUs","SMUs","job_stato commessa","job_opera pubblica","job_rein","job_tipo intervento","job_direttore lavori","job_impresa","job_numero commessa","superficie","data di compilazione","fango riscontrato","zoom","data inizo lavori","casseri","costo discarica","mc scavo umido","mc scavo secco","data fine lavori","ID UTP","costo scavo umido","lunghezza","costo scavo secco","fango certificato","comunicazioni di servizio","batimetria media","Y","volume fango stimato","stato avanzamento lavori","X","fondo di progetto","note","codice UTP","data modifica","direttore lavori","data validazione","validatore"
"00001SC0051","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","782.41 m2","","NR","2234.13677951961","","assenti","0 ?","495","223","1/1/1989 1:01:00 AM","00001SC0051","0 ?","114.9 m","0 ?","NR","","118 cm","5034959.99370261","485.09 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0052","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","1288.7 m2","","NR","2234.13677951961","","assenti","0 ?","801","361","1/1/1989 1:01:00 AM","00001SC0052","0 ?","162.5 m","0 ?","NR","","161 cm","5034959.99370261","244.85 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0053","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","1142.44 m2","","NR","2234.13677951961","","assenti","0 ?","707","319","1/1/1989 1:01:00 AM","00001SC0053","0 ?","222.5 m","0 ?","NR","","104 cm","5034959.99370261","868.25 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0054","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","5719.63 m2","","NR","2234.13677951961","","assenti","0 ?","2169","0","1/1/1991 1:01:00 AM","00001SC0054","0 ?","402.2 m","0 ?","NR","","160 cm","5034959.99370261","1143.93 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0055","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","565.21 m2","","NR","2234.13677951961","","assenti","0 ?","350","158","1/1/1989 1:01:00 AM","00001SC0055","0 ?","85 m","0 ?","NR","","88 cm","5034959.99370261","519.99 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0056","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","247.32 m2","","NR","2234.13677951961","","assenti","0 ?","156","70","1/1/1989 1:01:00 AM","00001SC0056","0 ?","34.3 m","0 ?","NR","","126 cm","5034959.99370261","133.55 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0059","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","1071.78 m2","","NR","2234.13677951961","","assenti","0 ?","866","432","1/1/1984 1:01:00 AM","00001SC0059","0 ?","216.5 m","0 ?","NR","","113 cm","5034959.99370261","718.09 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0060","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","208.3 m2","","NR","2234.13677951961","","assenti","0 ?","186","61","1/1/1984 1:01:00 AM","00001SC0060","0 ?","25.6 m","0 ?","NR","","147 cm","5034959.99370261","68.74 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0061","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","683.71 m2","","NR","2234.13677951961","","assenti","0 ?","738","392","1/1/1989 1:01:00 AM","00001SC0061","0 ?","96.4 m","0 ?","NR","","133 cm","5034959.99370261","321.34 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0062","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","578.38 m2","","NR","2234.13677951961","","assenti","0 ?","450","194","1/1/1989 1:01:00 AM","00001SC0062","0 ?","105.2 m","0 ?","NR","","101 cm","5034959.99370261","456.92 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0064","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","871.4 m2","","NR","2234.13677951961","","assenti","0 ?","1375","447","1/1/1985 1:01:00 AM","00001SC0064","0 ?","124.7 m","0 ?","NR","","149 cm","5034959.99370261","270.13 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0068","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","84.82 m2","","NR","2234.13677951961","","assenti","0 ?","51","0","1/1/1993 1:01:00 AM","00001SC0068","0 ?","26.5 m","0 ?","C","","98 cm","5034959.99370261","69.55 m3","terminati","2311117.10729809","180 cm","",,,,,
