"!!id","!!type","larghezza media (m)","zoom","fondo cementificato","ID","ID del rio","ID intersezione Nord","larghezza minima (m)","superficie (m2)","ID intersezione Sud","Y","X","lunghezza (m)","jobs","jobItems"
"DOMI01","segmenti","5.7 m","330.583687201074","no","DOMI01","DOMI","II0335","4 m","1606.47","II0485","5035315.15677289","2311261.0737053","282.98","[00003, 232/1, 00114, 00517, 00187, II509]","[00003SC0071, 00114SC0002, 00114SC0003, 00114SC0011]"
"DROM01","segmenti","32.4 m","315.453325968632","no","DROM01","DROM","II5050","10.5 m","12294.81","","5024850.91431401","2309930.1261871","378.9","[]","[]"
"DROM02","segmenti","23.4 m","241.449368660664","no","DROM02","DROM","IE5235","15.5 m","4181.29","II5050","5025060.52314318","2309781.56618756","178.5","[00109]","[]"
"DUCA01","segmenti","4.6 m","210.946179539566","no","DUCA01","DUCA","II1135","2.4 m","1561.83","II1210","5034503.02580853","2311085.09625195","337.62","[00003, 00108, 00232]","[00003SC0067, 00108SC0004]"
"ELEN01","segmenti","12.5 m","600.963459925389","no","ELEN01","ELEN","IE1395","9.4 m","5751.72","IE1530","5033760.62302317","2313750.99833126","459.93","[00003, 00232, 00445]","[00003SC0058]"
"ERBE01","segmenti","4.4 m","107.88804362953","no","ERBE01","ERBE","II0690","3.6 m","402.163","II0760","5034937.38630565","2311181.57461587","91.5","[232/1, 00102, 00517]","[00102SC0003, 00102SC0014]"
"EUFE01","segmenti","8.6 m","168.538234308085","no","EUFE01","EUFE","IE1405","7.6 m","1113.12","II1460","5033850.58247738","2310606.60595548","129.56","[232/1, 00154, 00517]","[00154SC0002, 00154SC0015]"
"EUFE02","segmenti","9 m","291.497722793747","no","EUFE02","EUFE","II1460","6.8 m","2055.94","IE1525","5033665.71920781","2310542.53166758","228.2","[232/1, 00154, 00420, 00429, 00517]","[00154SC0002, 00154SC0015, 00429SC0003]"
"FALB01","segmenti","26.6 m","384.356262684009","no","FALB01","FALB","","6.9 m","9579.69","","5024826.64838858","2309712.64538534","360.1","[00109]","[]"
"FAVA01","segmenti","7.1 m","50.0000000000062","no","FAVA01","FAVA","II0565","5.4 m","76.6548","II0585","5035096.67400108","2311787.64816347","10.92","[00103, 00232]","[00103SC0006]"
"FAVA02","segmenti","8.9 m","235.544988029983","no","FAVA02","FAVA","II0585","6.4 m","1711.91","II0740","5034995.20142093","2311777.37680895","192.52","[00103, 00232]","[00103SC0006, 00103SC0027, 00103SC0029]"
"FELI01","segmenti","8.7 m","114.140457002931","no","FELI01","FELI","II0190","5.4 m","847.321","II0250","5035618.03972577","2311560.6207135","97.7","[00003, 00112, 00232]","[00003SC0039, 00003SC0047, 00112SC0004, 00112SC0007, 00112SC0015]"
"FELI02","segmenti","6 m","190.244334494531","no","FELI02","FELI","II0250","4 m","985.174","II0355","5035506.46387737","2311477.83616219","163.26","[00112, 00232]","[00112SC0005, 00112SC0007, 00112SC0015]"
"FERA01","segmenti","5.1 m","49.9999999997615","no","FERA01","FERA","II0815","4.2 m","179.74","II0830","5034816.18204662","2311752.04918535","35.47","[00232]","[]"
"FERA02","segmenti","4.9 m","141.794972357832","no","FERA02","FERA","II0830","2.7 m","668.174","II0950","5034762.79122345","2311798.16571971","136.44","[00232]","[]"
"FIS001","segmenti","20 m","220.724461280765","no","FIS001","1FIS","II1410","12.6 m","3311.82","IE1475","5033803.29061317","2309805.51293611","165.75","[232/1, 00517]","[]"
"FIS002","segmenti","11.3 m","142.904777479249","no","FIS002","2FIS","II1425","4.4 m","1225.3","IE1465","5033800.75600869","2309923.09656792","108.37","[00346, 232/1, 00517]","[00346SC0002, 00346SC0004, 00346SC0012]"
"FORM01","segmenti","6.3 m","143.254629990439","no","FORM01","FORM","II0680","3.2 m","1042.09","II0755","5034944.90006979","2312082.39619346","164.58","[00103, 00232]","[00103SC0015, 00103SC0019, 00103SC0022, 00103SC0032, 00103SC0112, 00103SC0115, 00103SC0118]"
"FORN01","segmenti","4.7 m","136.819932678476","no","FORN01","FORN","II1280","3.4 m","489.257","II1320","5034255.76304689","2311355.11674729","104.28","[232/1, 00130, 00517]","[00130SC0001, 00130SC0004]"
"FORN02","segmenti","8.7 m","221.917055920593","no","FORN02","FORN","II1320","4.4 m","1468.94","IE1390","5034118.76152358","2311364.37706995","168.65","[232/1, 00130, 00517]","[00130SC0001, 00130SC0004]"
"FORT01","segmenti","11.3 m","545.639902420084","no","FORT01","FORT","II5020","6.5 m","7270.57","II5030","5027700.15149173","2311870.53885925","645.8","[]","[]"
"FORT02","segmenti","12.8 m","379.687206059686","no","FORT02","FORT","II5020","9.7 m","4565.29","II5030","5027717.85313777","2311815.44681171","357.87","[]","[]"
"FOSC01","segmenti","9.5 m","49.9999999999856","no","FOSC01","FOSC","II0160","9.2 m","78.2611","II0165","5035705.60969633","2311335.10326412","8.19","[00119, 00232]","[00119SC0002, 00119SC0004, 00119SC0012, 00119SC0015]"
"FOSC02","segmenti","10.6 m","133.365743791321","no","FOSC02","FOSC","II0165","7 m","1470.57","II0230","5035647.36473048","2311400.02493907","138.68","[00119, 00232]","[00119SC0004, 00119SC0012]"
"FRAR01","segmenti","8.5 m","103.850674981308","no","FRAR01","FRAR","II0605","5.2 m","746.723","II0685","5035019.51723826","2310962.92991867","87.56","[232/1, 00102, 00517]","[00102SC0012, 00102SC0015, 00102SC0016]"
"FRAR02","segmenti","7.3 m","50.0000000002854","no","FRAR02","FRAR","II0685","6.7 m","249.413","II0700","5034971.99535732","2310998.26947579","34.27","[232/1, 00102, 00517]","[00102SC0015, 00102SC0016, 00102SC0017]"
"FRES01","segmenti","5.2 m","228.348861599844","no","FRES01","FRES","II0720","2.4 m","1379.31","II0875","5034864.82389646","2310865.77032542","267.49","[232/1, 00102, 00472, 00517]","[00102SC0010, 00102SC0011, 00102SC0018, 00102SC0024]"
"FUOC01","segmenti","17.1 m","138.245285491413","no","FUOC01","FUOC","IE5120","14 m","2464.98","","5033752.28934291","2315081.95865105","136.53","[]","[]"
"FUSE01","segmenti","7 m","125.261345203117","no","FUSE01","FUSE","II0935","5 m","871.4","II0960","5034721.60327312","2311575.27433265","124.75","[00232]","[]"
"GAFF01","segmenti","9.9 m","237.435610792068","no","GAFF01","GAFF","II0660","4.6 m","2659.99","II0800","5034927.36315384","2310565.13382185","269.03","[232/1, 00144, 00145, 00517]","[00144SC0001, 00144SC0002, 00145SC0001]"
"GALE01","segmenti","55 m","460.22042098852","no","GALE01","GALE","IE0570","7.6 m","19510.6","II0910","5034930.95770035","2312819.43616664","0","[00232]","[]"
