"!!id","!!type","zoom","ID","ID del rio","superficie (m2)","Y","X","jobs","jobItems"
"II0725","intersezioni","50.0000000002817","II0725","ARZE","258","5034931.92222147","2310059.03203571","[232/1, 00517]","[]"
"II0730","intersezioni","49.9999999996792","II0730","NOVO","9","5034929.28267359","2310421.09104458","[]","[]"
"II0735","intersezioni","78.1457715488221","II0735","GRAN","7","5034915.66001914","2311370.58660168","[]","[]"
"II0740","intersezioni","49.9999999998649","II0740","","60","5034909.99597721","2311798.4259872","[00103, 00232]","[00103SC0027, 00103SC0028]"
"II0745","intersezioni","49.9999999998751","II0745","TREP","97","5034904.81686435","2310410.63482396","[232/1, 00462, 00517, II473]","[II473SC0002, II473SC0008, II473SC0009, II473SC0011]"
"II0755","intersezioni","50.000000000249","II0755","MOND","43","5034894.48863346","2312010.4778117","[00103, 00232]","[00103SC0015, 00103SC0016, 00103SC0017, 00103SC0032, 00103SC0115, 00103SC0118]"
"II0760","intersezioni","50.0000000002114","II0760","POLO","28","5034891.89907703","2311155.51685063","[232/1, 00102, 00517]","[00102SC0003, 00102SC0014]"
"II0765","intersezioni","50.0000000001348","II0765","ARZE","13","5034881.01094207","2310085.90650187","[]","[]"
"II0770","intersezioni","92.1035546604682","II0770","GRAN","3","5034880.00111839","2311262.72603278","[]","[]"
"II0775","intersezioni","87.4809999671113","II0775","GRAN","5","5034865.21365688","2311222.86367038","[]","[]"
"II0780","intersezioni","49.999999999903","II0780","","2","5034856.29517564","2310477.93231342","[]","[]"
"II0785","intersezioni","95.8557494813322","II0785","GRAN","4","5034851.61099089","2311169.73314228","[]","[]"
"II0790","intersezioni","50.0000000000065","II0790","TREP","92","5034845.50702354","2310421.09104463","[232/1, 00462, 00517, II473]","[II473SC0003, II473SC0009, II473SC0010, II473SC0013]"
"II0795","intersezioni","50.0000000002219","II0795","","157","5034835.24878067","2311954.31273389","[00103, 00232]","[00103SC0017, 00103SC0028]"
"II0800","intersezioni","49.9999999998832","II0800","","182","5034834.39892625","2310643.66505973","[00009, 232/1, 00222, 00517]","[00009SC0077, 00009SC0125, 00009SC0132]"
"II0805","intersezioni","81.7702406896772","II0805","GRAN","7","5034831.34446203","2311138.29851931","[]","[]"
"II0815","intersezioni","50.0000000003138","II0815","BARE","55","5034829.68973288","2311736.21642225","[00232]","[]"
"II0820","intersezioni","50.0000000002242","II0820","CAFO","103","5034828.60991785","2310707.8372277","[00009, 232/1, 00517]","[00009SC0125, 00009SC0126, 00009SC0133]"
"II0825","intersezioni","49.9999999998714","II0825","","52","5034822.27100364","2311722.86577462","[00232]","[]"
"II0830","intersezioni","49.9999999997192","II0830","FERA","1","5034809.22323859","2311769.68787299","[]","[]"
"II0835","intersezioni","50.0000000000702","II0835","","181","5034802.29442544","2310433.52636067","[232/1, 00462, 00517, II473]","[II473SC0001, II473SC0006, II473SC0010, II473SC0014]"
"II0840","intersezioni","49.9999999997791","II0840","","83","5034804.36407092","2312292.91946212","[00136, 00232]","[00136SC0004, 00136SC0005, 00136SC0008, 00136SC0010, 00136SC0011, 00136SC0016]"
"II0845","intersezioni","50.0000000002071","II0845","MAGG","83","5034802.37441174","2310246.92240424","[00320, 232/1, 00462, 00517, II473]","[00320SC0012, 00320SC0013, 00320SC0014, 00320SC0031, II473SC0002, II473SC0003, II473SC0004, II473SC0015]"
"II0850","intersezioni","50.000000000429","II0850","PROV","70","5034798.81502142","2312210.49838551","[00136, 00232]","[00136SC0008, 00136SC0009, 00136SC0017]"
"II0855","intersezioni","78.8837517232086","II0855","GRAN","5","5034796.64039981","2311048.44769097","[]","[]"
"II0860","intersezioni","49.9999999998097","II0860","","45","5034787.6469344","2312168.78895024","[00232, 00425, 00431]","[00431SC0001, 00431SC0002, 00431SC0003, 00431SC0004]"
"II0865","intersezioni","49.9999999999546","II0865","MAGG","162","5034782.52781127","2310164.53431247","[00320, 232/1, 00462, 00517, II473]","[00320SC0011, 00320SC0012, 00320SC0030, II473SC0004, II473SC0005, II473SC0007, II473SC0016]"
"II0870","intersezioni","50.0000000000007","II0870","ANTO","2","5034777.46867784","2312426.6073555","[]","[]"
"II0875","intersezioni","59.7057283594469","II0875","GRAN","4","5034766.68553374","2310990.60446452","[]","[]"
"II0880","intersezioni","49.9999999999563","II0880","LUCA","3","5034766.36058055","2311472.84005739","[]","[]"
"II0885","intersezioni","50.0000000003085","II0885","","225","5034764.80084773","2310093.57549657","[232/1, 00517]","[]"
"II0890","intersezioni","49.9999999996484","II0890","MICH","1","5034761.5614026","2311323.3523858","[]","[]"
"II0900","intersezioni","50.0000000001644","II0900","SCOA","1","5034760.87152077","2311654.05922503","[]","[]"
"II0905","intersezioni","49.9999999998525","II0905","TENT","251","5034761.34144029","2310380.87417714","[232/1, 00222, 00462, 00517, II473]","[II473SC0006, II473SC0007, II473SC0017]"
"II0910","intersezioni","59.6438786375481","II0910","","95","5034765.88567139","2312759.3013875","[00232]","[]"
"II0915","intersezioni","50.0000000001349","II0915","LUCA","1","5034748.44364954","2311473.87083625","[]","[]"
"II0920","intersezioni","50.0000000001985","II0920","SCUD","1","5034743.52449215","2312574.88283112","[]","[]"
"II0925","intersezioni","71.9237653515884","II0925","GRAN","24","5034740.11508571","2310949.44339587","[]","[]"
"II0930","intersezioni","50.0000000002531","II0930","","20","5034737.74548203","2312842.41529619","[00232]","[]"
"II0935","intersezioni","50.0000000000635","II0935","","70","5034738.78530393","2311633.88069832","[00232]","[]"
"II0940","intersezioni","49.9999999999281","II0940","GERO","23","5034735.49586737","2313246.224971","[00232, II497, 00220]","[]"
"II0945","intersezioni","49.9999999999378","II0945","","33","5034725.98749607","2311492.55679521","[00099, 00232]","[00099SC0002, 00099SC0003, 00099SC0014, 00099SC0134]"
"II0950","intersezioni","49.999999999849","II0950","PROC","1","5034711.31001018","2311813.81345395","[]","[]"
"II0955","intersezioni","50.0000000001047","II0955","VERG","127","5034708.0405702","2313301.57367197","[00160, 00232, II495, II497, 00218, 00220]","[]"
"II0960","intersezioni","49.9999999999637","II0960","BARC","44","5034700.85180157","2311515.2421761","[00099, 00232]","[00099SC0001, 00099SC0014]"
"II0965","intersezioni","49.999999999959","II0965","MRTI","23","5034700.72182383","2312648.41447097","[00115, 00232, 00447]","[00115SC0002, 00115SC0008, 00115SC0010, 00447SC0003, 00447SC0006]"
"II0970","intersezioni","50.0000000000438","II0970","","34","5034700.23190775","2311262.00042882","[00108, 00232]","[00108SC0006, 00108SC0008, 00108SC0010, 00108SC0016]"
"II0975","intersezioni","49.9999999999821","II0975","","62","5034699.33206188","2312621.68843703","[00115, 00232]","[00115SC0002, 00115SC0005, 00115SC0007]"
"II0980","intersezioni","50.0000000002351","II0980","TERE","16","5034693.38308089","2310100.43636062","[]","[]"
"II0985","intersezioni","49.9999999996961","II0985","","43","5034688.71388067","2312745.32417506","[00355, 00232]","[]"
"II0990","intersezioni","50.1400463587236","II0990","PIER","11","5034656.00948911","2313384.96357863","[]","[]"
"II0995","intersezioni","50.0000000000202","II0995","ORSE","1","5034653.23995701","2311713.2176847","[]","[]"
"II1000","intersezioni","49.9999999995972","II1000","","214","5034638.95240434","2310458.97422897","[232/1, 00222, 00219, 00517]","[00219SC0009, 00219SC0010, 00219SC0012, 00219SC0016]"
"II1005","intersezioni","50.0000000003635","II1005","ANZO","40","5034632.5535004","2311305.77142185","[00108, 00232]","[00108SC0002, 00108SC0008]"
"II1010","intersezioni","51.6648479535284","II1010","SCOM","10","5034617.35610969","2309652.69479667","[]","[]"
"II1015","intersezioni","50.0000000001606","II1015","VERO","20","5034601.23886429","2311388.18425229","[00099, 00232]","[00099SC0002, 00099SC0004, 00099SC0005, 00099SC0130]"
"II1020","intersezioni","49.9999999997531","II1020","","56","5034600.44899959","2311552.32547598","[00099, 00232]","[00099SC0001, 00099SC0009, 00099SC0010]"
"II1025","intersezioni","49.9999999996123","II1025","","28","5034597.59948768","2311322.48653166","[00099, 00232]","[00099SC0004, 00099SC0011]"
"II1030","intersezioni","62.0225905595521","II1030","GRAN","5","5034597.37452876","2310955.29832831","[]","[]"
"II1050","intersezioni","50.0000000002626","II1050","NICO","1","5034580.58240255","2310112.98712395","[]","[]"
"II1055","intersezioni","50.000000000234","II1055","BARN","2","5034575.21332222","2310724.77498587","[]","[]"
"II1060","intersezioni","49.9999999998618","II1060","LUNA","3","5034567.96456385","2311854.70651246","[]","[]"
"II1070","intersezioni","49.9999999998336","II1070","","120","5034564.42517013","2310344.76393264","[232/1, 00222, 00219, 00517]","[00219SC0003, 00219SC0005, 00219SC0010, 00219SC0015]"
"II1075","intersezioni","50.000000000223","II1075","VEST","68","5034560.49584317","2311396.19958863","[00099, 00232]","[00099SC0005, 00099SC0006, 00099SC0007, 00099SC0131]"
"II1080","intersezioni","49.99999999978","II1080","BARN","2","5034555.42671147","2310593.87431842","[]","[]"
"II1085","intersezioni","63.3815795414434","II1085","GRAN","7","5034548.41791759","2310961.67261785","[]","[]"
"II1090","intersezioni","50.0000000002962","II1090","VEST","63","5034548.05797366","2311432.03770761","[00099, 00232]","[00099SC0007, 00099SC0008, 00099SC0010]"
"II1100","intersezioni","49.9999999999468","II1100","LUNA","1","5034526.41168146","2311736.34011588","[]","[]"
"II1105","intersezioni","49.9999999999735","II1105","RAFF","2","5034516.16343689","2310137.15682642","[]","[]"
"II1115","intersezioni","49.9999999998288","II1115","MALP","47","5034503.85554511","2310780.72566178","[232/1, 00106, 00517]","[00106SC0001, 00106SC0002]"
"II1120","intersezioni","49.9999999998393","II1120","TANA","117","5034483.48903369","2313183.67731071","[00160, 00232, II495, II497, 00218, 00220]","[]"
"II1125","intersezioni","49.9999999996696","II1125","MALP","71","5034483.59901486","2310727.10042301","[232/1, 00106, 00517]","[00106SC0001, 00106SC0003]"
"II1130","intersezioni","50.0000000001214","II1130","ORSO","0","5034481.52936936","2311163.77132787","[]","[]"
"II1135","intersezioni","57.5811575044773","II1135","GRAN","5","5034481.06445361","2310983.10046345","[]","[]"
"II1140","intersezioni","50.0000000000355","II1140","MALP","1","5034472.03099635","2310673.07111892","[]","[]"
"II1145","intersezioni","50.0000000000459","II1145","TROV","54","5034469.41144505","2310942.89603638","[232/1, 00107, 00517]","[00107SC0006, 00107SC0007]"
"II1160","intersezioni","50.0000000001895","II1160","NICO","268","5034462.33265758","2310030.33515285","[232/1, 00222, 00517]","[]"
"II1170","intersezioni","49.9999999997889","II1170","TOLA","3","5034452.53433593","2310818.55936864","[]","[]"
"II1175","intersezioni","51.4267209720849","II1175","PIER","14","5034450.5946749","2313390.24940898","[]","[]"
"II1185","intersezioni","49.9999999998997","II1185","","83","5034435.71721654","2310524.54001006","[232/1, 00107, 00517]","[00107SC0003, 00107SC0009]"
"II1190","intersezioni","59.919367384278","II1190","GRAN","2","5034426.25884299","2311029.99262433","[]","[]"
"II1195","intersezioni","50.0000000003163","II1195","ANA","49","5034424.89906958","2313294.15206442","[00160, 00232, II497, 00218, 00220]","[]"
"II1200","intersezioni","50.0000000001297","II1200","ANA","90","5034418.93009201","2313184.56790367","[00160, 00232, II497, 00218, 00220]","[]"
"II1205","intersezioni","50.0000000000021","II1205","ANA","2","5034417.9002684","2313155.25255327","[]","[]"
"II1210","intersezioni","59.0834853821791","II1210","GRAN","9","5034410.01162705","2311056.76811967","[]","[]"
"II1215","intersezioni","49.99999999978","II1215","GRAN","1","5034392.99453452","2311007.96704353","[]","[]"
"II1220","intersezioni","69.6984432876498","II1220","GRAN","6","5034390.1650255","2311079.57720816","[]","[]"
"II1230","intersezioni","50.0000000002076","II1230","TANA","2","5034384.01607244","2312774.86217386","[]","[]"
"II1235","intersezioni","64.4196081683936","II1235","GRAN","3","5034371.25826325","2311123.58323183","[]","[]"
"II1245","intersezioni","151.164355199524","II1245","GRAN","15","5034365.46926223","2311629.41513256","[]","[]"
"II1255","intersezioni","60.4334643481702","II1255","GIAR","16","5034359.57526739","2313429.55091765","[]","[]"
"II1260","intersezioni","49.9999999998302","II1260","GRAN","1","5034356.65075985","2311065.75662887","[]","[]"
"II1265","intersezioni","78.1606382025738","II1265","GRAN","5","5034352.33651034","2311178.24740195","[]","[]"
"II1270","intersezioni","94.1963156988215","II1270","GRAN","7","5034350.05189477","2311476.63323996","[]","[]"
"II1275","intersezioni","84.9805676161042","II1275","GRAN","5","5034346.02258304","2311435.99172325","[]","[]"
"II1280","intersezioni","92.6821523763128","II1280","GRAN","5","5034341.9532821","2311349.29906608","[]","[]"
"II1285","intersezioni","89.3451663836703","II1285","GRAN","3","5034339.58868624","2311314.40927822","[]","[]"
"II1290","intersezioni","50.0000000001228","II1290","OGNI","2","5034332.25493862","2310655.31698412","[]","[]"
"II1300","intersezioni","49.9999999998993","II1300","OGNI","96","5034304.42970482","2310700.86091676","[232/1, 00107, 00517]","[00107SC0004, 00107SC0005]"
"II1305","intersezioni","49.9999999997777","II1305","GIAR","9","5034264.22659121","2313434.36272635","[]","[]"
"II1310","intersezioni","50.0000000000245","II1310","TROV","157","5034225.80317277","2310829.38666979","[232/1, 00107, 00517]","[00107SC0005, 00107SC0010]"
"II1315","intersezioni","49.9999999999269","II1315","SALU","4","5034225.44323442","2311491.91358949","[]","[]"
"II1320","intersezioni","50.0000000000348","II1320","FORN","0","5034203.7369525","2311360.57587186","[]","[]"
"II1325","intersezioni","50.000000000078","II1325","GIAR","6","5034195.39838081","2313434.87399269","[]","[]"
"II1330","intersezioni","49.9999999996778","II1330","ISEP","1","5034180.46093945","2313163.36684448","[]","[]"
"II1400","intersezioni","94.0405071467895","II1400","SACB","68","5033925.94455881","2309685.85675082","[]","[]"
"II1410","intersezioni","49.9999999997544","II1410","SACF","472","5033888.53094423","2309783.02244567","[00346, 232/1, 00517]","[00346SC0004, 00346SC0005, 00346SC0013]"
"II1415","intersezioni","49.9999999999464","II1415","BIAG","147","5033879.85243076","2310332.18018487","[232/1, 00517]","[]"
"II1420","intersezioni","108.394074176274","II1420","GIOR","18","5033868.64935577","2312133.45786465","[]","[]"
"II1425","intersezioni","49.9999999998424","II1425","SACF","193","5033859.00600156","2309905.94076179","[00346, 232/1, 00517]","[00346SC0002, 00346SC0003, 00346SC0004, 00346SC0012]"
"II1435","intersezioni","69.3289765112077","II1435","GIOR","26","5033830.43089841","2312091.91755296","[]","[]"
"II1460","intersezioni","50.0000000000508","II1460","EUFE","128","5033781.2593188","2310583.95410324","[232/1, 00154, 00517]","[00154SC0002, 00154SC0015]"
"II1490","intersezioni","50.0000000004393","II1490","CROC","3","5033688.49520839","2311416.85639723","[]","[]"
"II1495","intersezioni","50.0000000000021","II1495","PPIC","201","5033662.72962178","2310832.01721774","[00003, 232/1, 00154, 00517]","[00003SC0117, 00003SC0118, 00154SC0005, 00154SC0012]"
"II1505","intersezioni","49.9999999998284","II1505","PLON","412","5033622.1165784","2311008.91536051","[00333, 232/1, 00517]","[00333SC0001, 00333SC0002, 00333SC0003]"
"II1510","intersezioni","49.9999999999248","II1510","MORT","1","5033602.38995738","2310708.94222333","[]","[]"
"II1520","intersezioni","49.999999999964","II1520","PPIC","90","5033586.23272495","2310774.68117515","[00003, 232/1, 00154, 00517]","[00003SC0116, 00003SC0117, 00154SC0005, 00154SC0016]"
"II2005","intersezioni","49.9999999996068","II2005","","210","5037545.19459336","2313181.25291722","[00417, 00230, 00232, 00433]","[]"
"II2010","intersezioni","50.0000000000623","II2010","CDON","126","5037222.29990208","2313428.98618231","[00230, 00232, 00433]","[]"
"II2020","intersezioni","72.7563183995866","II2020","CGRA","1080","5037006.53687229","2313285.23769793","[00230, 00232, 00433]","[]"
"II2030","intersezioni","63.091697615843","II2030","CGRA","379","5037020.1395341","2313024.021969","[00230, 00232, 00433]","[]"
"II2040","intersezioni","157.761091858103","II2040","CGRA","5636","5037226.86918329","2312685.6658009","[00230, 00232, 00433]","[]"
"II5000","intersezioni","50.0000000001255","II5000","LEPA","44","5032267.59859413","2314208.97241493","[00371, 00379]","[00371SC0001, 00371SC0002, 00371SC0003, 00379SC0002]"
"II5005","intersezioni","50.0000000001332","II5005","LEPA","45","5032111.04541016","2314078.95409445","[00371, PA506]","[00371SC0003, 00371SC0004, 00371SC0005]"
"II5010","intersezioni","49.9999999997589","II5010","NONE","157","5031654.55360276","2313972.80036598","[00371, PA506]","[00371SC0006, 00371SC0009]"
"II5015","intersezioni","49.9999999999858","II5015","LIDO","78","5027968.09505719","2311781.24909236","[]","[]"
"II5020","intersezioni","50.0000000000286","II5020","FORT","122","5027864.50280153","2311877.64753021","[]","[]"
"II5025","intersezioni","50.0000000003769","II5025","MALA","168","5027618.22498653","2311514.69792886","[]","[]"
"II5030","intersezioni","50.0000000000905","II5030","FORT","75","5027582.20115706","2311746.35104392","[]","[]"
"II5035","intersezioni","49.9999999998985","II5035","TEOD","74","5027555.79568006","2311649.59801821","[]","[]"
"II5040","intersezioni","58.9589471019839","II5040","BEAT","340","5027514.39777512","2311537.44921337","[]","[]"
"II5050","intersezioni","50.0000000000542","II5050","DROM","585","5024959.14046181","2309802.4505707","[00109]","[]"
