"!!id","!!type","zoom","ID","ID del rio","superficie (m2)","Y","X","jobs","jobItems"
"IE5160","intersezioni","49.9999999999038","IE5160","CANT","2","5031215.88874178","2313435.29455204","[]","[]"
"IE5165","intersezioni","50.0000000000833","IE5165","CDIE","1","5030979.8091799","2313303.82489495","[]","[]"
"IE5170","intersezioni","49.999999999815","IE5170","ONGA","4","5030436.7322037","2312962.8597452","[]","[]"
"IE5175","intersezioni","49.9999999996924","IE5175","TASS","5","5029906.98294459","2312637.30680072","[]","[]"
"IE5180","intersezioni","49.9999999997747","IE5180","COLE","7","5029537.39625119","2312409.8180325","[]","[]"
"IE5185","intersezioni","50.6301783904507","IE5185","AMAV","4","5029231.58363798","2312222.87179161","[]","[]"
"IE5190","intersezioni","50.0000000002592","IE5190","DEM1","7","5028416.0183323","2311733.81677267","[]","[]"
"IE5195","intersezioni","52.9470524470787","IE5195","DEM2","10","5028335.08719977","2311685.06497962","[]","[]"
"IE5200","intersezioni","50.4366379742307","IE5200","BASS","10","5028161.15699194","2311581.86340772","[]","[]"
"IE5205","intersezioni","50.000000000089","IE5205","MALA","3","5027868.972036","2311457.78244387","[]","[]"
"IE5210","intersezioni","50.0000000000963","IE5210","MALA","2","5027625.75369694","2311453.47791154","[]","[]"
"IE5215","intersezioni","49.9999999998219","IE5215","PARM","2","5037411.1575526","2312515.93052584","[]","[]"
"IE5220","intersezioni","50.0000000000892","IE5220","ASSA","1","5040087.7490786","2317979.8747848","[]","[]"
"IE5225","intersezioni","49.9999999996367","IE5225","ASSA","0","5040151.18821209","2318027.93381763","[]","[]"
"IE5230","intersezioni","50.0000000001164","IE5230","","0","5040188.70178638","2318188.50442293","[]","[]"
"IE5235","intersezioni","50.0000000002441","IE5235","DROM","0","5025149.62783318","2309769.65531076","[]","[]"
"II0020","intersezioni","49.9999999996095","II0020","","207","5036134.82617574","2310551.19182696","[00101, 00232]","[00101SC0001, 00101SC0002, 00101SC0003, 00101SC0013]"
"II0030","intersezioni","49.9999999996899","II0030","SENS","70","5036086.49445449","2310952.49464808","[00232, 00155]","[00155SC0003, 00155SC0004]"
"II0035","intersezioni","49.9999999999988","II0035","","149","5036070.98711074","2311205.6786718","[00156, 00232, 00179, II519]","[00179SC0002, 00179SC0003, 00179SC0005, 00179SC0007]"
"II0040","intersezioni","50.0000000002225","II0040","SENS","85","5035988.10130827","2311168.0263821","[00232, 00155]","[00155SC0004, 00155SC0005, 00155SC0009]"
"II0045","intersezioni","50.0000000000987","II0045","ORTO","88","5035989.37109077","2311373.11838786","[00156, 00320, 00232, 00179, II519]","[00320SC0002, 00320SC0023, 00320SC0027, 00179SC0003, 00179SC0004, 00179SC0006]"
"II0050","intersezioni","50.0000000002101","II0050","","202","5035984.2719642","2310929.8752371","[00101, 00232]","[00101SC0003, 00101SC0004, 00101SC0006, 00101SC0007, 00101SC0017]"
"II0055","intersezioni","50.0000000001355","II0055","CANN","240","5035975.72342849","2310469.45518752","[00232]","[]"
"II0060","intersezioni","49.9999999999106","II0060","SENS","72","5035959.69617379","2311236.94837899","[00232, 00155]","[00155SC0001, 00155SC0005, 00155SC0006]"
