"id","Title","wiki_title","Job Item Ids","Ismar Link Ids","GIS Id","Alternate IDs","Minimum Width (m)","Location-lon","Location-lat","GIS Total Id","Area (m^2)","Average Width (m)","Length (m)","Canal ID","Cemented"
"ORTO1","Segment ORTO1","Segment ORTO1","00320SC0023,00320SC0027,00179SC0003,00179SC0005,00179SC0006,00179SC0007","2028","ORTO1","ORTO01","8.0","12.3310512","45.4463919","ORTO01","1800.91","10.2","177.12","ORTO","false"
"GIRO","Segment GIRO","Segment GIRO","00101SC0001,00101SC0002,00101SC0003,00101SC0004,00101SC0006,00101SC0013,00101SC0017","2426,2427","GIRO","GIRO1,GIRO01","7.6","12.3241666","45.4465234","GIRO01","4749.65","12.2","389.16","GIRO","false"
"PANA3","Segment PANA3","Segment PANA3","00180SC0003,00180SC0006","2060","PANA3","PANA03","4.0","12.3398407","45.4391589","PANA03","565.208","6.6","84.99","PANA","false"
"PANA2","Segment PANA2","Segment PANA2","00180SC0001,00180SC0002,00180SC0006","2450","PANA2","PANA02","3.8","12.3405094","45.4405208","PANA02","1142.44","5.1","222.49","PANA","false"
"ORTO2","Segment ORTO2","Segment ORTO2","00320SC0002,00320SC0026,00320SC0027,00179SC0004,00179SC0006","2033","ORTO2","ORTO02","9.2","12.3331629","45.4456955","ORTO02","2185.9","12.8","171.13","ORTO","false"
"ORTO3","Segment ORTO3","Segment ORTO3","00320SC0015,00320SC0026,00179SC0001","2034","ORTO3","ORTO03","10.6","12.3342208","45.4451698","ORTO03","223.044","11.4","19.58","ORTO","false"
"VERO2","Segment VERO2","Segment VERO2","00099SC0002,00099SC0004,00099SC0005,00099SC0011,00099SC0130","2129,2492","VERO2","VERO02","3.0","12.3324879","45.4335386","VERO02","309.524","4.3","72.85","VERO","false"
"VERO1","Segment VERO1","Segment VERO1","00099SC0002,00099SC0003,00099SC0004,00099SC0014,00099SC0130,00099SC0134","2127,2128","VERO1","VERO01","3.6","12.3333948","45.4342573","VERO01","872.133","5.3","165.42","VERO","true"
"MUTI","Segment MUTI","Segment MUTI","00003SC0032,00003SC0037,00003SC0038,00155SC0002,00155SC0007,00155SC0008,00179SC0001,00179SC0004","2032","MUTI","MUTI01","7.8","12.3336996","45.4449534","MUTI01","630.505","8.3","75.91","MUTI","false"
"GARZ","Segment GARZ","Segment GARZ","00003SC0065,00108SC0006,00108SC0010,00108SC0016","2238,2239,2240,2241","GARZ","GARZ01","3.8","12.3304791","45.4348625","GARZ01","1049.75","5.8","182.07","GARZ","false"
"SALU1","Segment SALU1","Segment SALU1","00130SC0002,00130SC0003","2278,2279","SALU1","SALU01","5.8","12.3342903","45.4306583","SALU01","648.87","7.2","89.91","SALU","false"
"SALU2","Segment SALU2","Segment SALU2","00130SC0002,00130SC0003","2277,2278","SALU2","SALU02","5.0","12.33459","45.4298509","SALU02","648.886","6.8","95.93","SALU","false"
"CAZZ","Segment CAZZ","Segment CAZZ","00320SC0012,00320SC0013,00320SC0014,00320SC0031,II473SC0002,II473SC0003,II473SC0004,II473SC0008,II473SC0009,II473SC0011,II473SC0015","2106,2107","CAZZ","CAZZ01","3.0","12.3190556","45.4357461","CAZZ01","1544.12","6.7","229.01","CAZZ","false"
"ANTO","Segment ANTO","Segment ANTO","00104SC0007,00104SC0009","2176,2177,2465","ANTO","ANTO01","7.6","12.3458552","45.4366794","ANTO01","2876.71","10.9","263.23","ANTO","false"
"PPIC3","Segment PPIC3","Segment PPIC3","00003SC0116,00154SC0005,00154SC0016","3029","PPIC3","PPIC03","9.4","12.3250899","45.4239131","PPIC03","1375.69","16.4","83.88","PPIC","false"
"VEST1","Segment VEST1","Segment VEST1","00099SC0004,00099SC0005,00099SC0006,00099SC0130,00099SC0131","2020","VEST1","VEST01","3.2","12.3329516","45.4333852","VEST01","303.405","8.3","36.68","VEST","true"
"PPIC2","Segment PPIC2","Segment PPIC2","00003SC0117,00154SC0005,00154SC0012,00154SC0016","3030","PPIC2","PPIC02","10.4","12.3259362","45.4246447","PPIC02","1281.02","14.6","87.53","PPIC","false"
"ISEP1","Segment ISEP1","Segment ISEP1","","2484","ISEP1","ISEP01","6.2","12.3575184","45.4307789","ISEP01","2309.23","8.1","283.41","ISEP","false"
"VEST3","Segment VEST3","Segment VEST3","00099SC0001,00099SC0007,00099SC0008,00099SC0009,00099SC0010","2287","VEST3","VEST03","3.2","12.3342183","45.4333882","VEST03","591.623","4.8","123.29","VEST","true"
"BASS01","Segment BASS01","Segment BASS01","","",,,"7.9",,,,"4777.15","17.5","273.58","BASS","false"
"ISEP2","Segment ISEP2","Segment ISEP2","","2182,2183","ISEP2","ISEP02","6.6","12.3550446","45.4302514","ISEP02","996.199","9.7","103.06","ISEP","false"
"VEST2","Segment VEST2","Segment VEST2","00099SC0006,00099SC0007,00099SC0010,00099SC0131","2079","VEST2","VEST02","7.2","12.3333037","45.4332142","VEST02","374.374","10.5","35.52","VEST","true"
"BASS02","Segment BASS02","Segment BASS02","","",,,"7.6",,,,"1606.1","12.1","132.32","BASS","false"
"MAGG3","Segment MAGG3","Segment MAGG3","00320SC0011,00320SC0030,II473SC0005,II473SC0007,II473SC0016","2006","MAGG3","MAGG03","11.4","12.3167451","45.4347768","MAGG03","723.481","12.6","57.35","MAGG","false"
"MAGG2","Segment MAGG2","Segment MAGG2","00320SC0012,00320SC0014,00320SC0030,00320SC0031,II473SC0002,II473SC0004,II473SC0007,II473SC0015,II473SC0016","2007","MAGG2","MAGG02","10.8","12.3177168","45.4349764","MAGG02","880.481","11.8","74.61","MAGG","false"
"MAGG1","Segment MAGG1","Segment MAGG1","00320SC0013,00320SC0014,00320SC0031,II473SC0002,II473SC0003,II473SC0009,II473SC0010,II473SC0013,II473SC0015","2008","MAGG1","MAGG01","8.0","12.3193021","45.4352863","MAGG01","1438.73","8.5","169.58","MAGG","false"
"SCOM1","Segment SCOM1","Segment SCOM1","","2493,2494,2495","SCOM1","SCOM01","34.8","12.3126091","45.4354878","SCOM01","28186.84","47.3","596.05","SCOM","false"
"SEVE2","Segment SEVE2","Segment SEVE2","00103SC0015,00103SC0019,00103SC0112","2150,2151","SEVE2","SEVE02","4.2","12.3428954","45.4366047","SEVE02","1671.28","8.4","198.75","SEVE","false"
"SEVE1","Segment SEVE1","Segment SEVE1","00103SC0015,00103SC0020,00103SC0022,00103SC0024,00103SC0105,00103SC0112","2064","SEVE1","SEVE01","5.2","12.3425512","45.4377161","SEVE01","469.569","6.4","73.84","SEVE","false"
"PPIC1","Segment PPIC1","Segment PPIC1","00003SC0118,00154SC0005,00154SC0012","3031","PPIC1","PPIC01","6.4","12.3265393","45.4256585","PPIC01","1387.86","9.5","146.63","PPIC","false"
"SCOM2","Segment SCOM2","Segment SCOM2","","2001","SCOM2","SCOM02","49.0","12.3101089","45.4325267","SCOM02","9783.69","52.5","186.42","SCOM","false"
"ARZE1","Segment ARZE1","Segment ARZE1","","2185","ARZE1","ARZE01","15.4","12.3150731","45.4372717","ARZE01","2108.77","20.2","104.21","ARZE","false"
"ARZE2","Segment ARZE2","Segment ARZE2","","2187","ARZE2","ARZE02","12.4","12.3154496","45.4364679","ARZE02","909.2","15.1","60.06","ARZE","false"
"ARZE3","Segment ARZE3","Segment ARZE3","","2188","ARZE3","ARZE03","16.6","12.3159125","45.4359575","ARZE03","2180.03","39.2","55.64","ARZE","false"
"FOSC1","Segment FOSC1","Segment FOSC1","00119SC0002,00119SC0004,00119SC0012,00119SC0015","2394","FOSC1","FOSC01","9.2","12.3317544","45.4435212","FOSC01","78.2611","9.5","8.19","FOSC","false"
"FOSC2","Segment FOSC2","Segment FOSC2","00119SC0004,00119SC0012","2400","FOSC2","FOSC02","7.0","12.3325926","45.443034","FOSC02","1470.57","10.6","138.68","FOSC","false"
"ARZE4","Segment ARZE4","Segment ARZE4","00701SC0001","2189","ARZE4","ARZE04","16.0","12.3161603","45.435284","ARZE04","2411.83","22.1","108.89","ARZE","false"
"ELEN","Segment ELEN","Segment ELEN","00003SC0058","2488,2489","ELEN","ELEN01","9.4","12.3633736","45.4267636","ELEN01","5751.72","12.5","459.93","ELEN","false"
"TOLA2","Segment TOLA2","Segment TOLA2","00106SC0002","2224,2225","TOLA2","TOLA02","2.4","12.3264483","45.432273","TOLA02","575.29","4.7","123.64","TOLA","false"
"BATE1","Segment BATE1","Segment BATE1","00101SC0002,00101SC0003,00101SC0005,00101SC0013,00101SC0018","2422,2423,2424","BATE1","BATE01","5.4","12.3231644","45.4460392","BATE01","4539.65","9.6","472.59","BATE","false"
"BATE2","Segment BATE2","Segment BATE2","00101SC0003,00101SC0005,00101SC0006,00101SC0007,00101SC0017,00101SC0018","2425","BATE2","BATE02","15.8","12.3263209","45.4456759","BATE02","830.28","18.4","45.14","BATE","false"
"TOLA1","Segment TOLA1","Segment TOLA1","00106SC0001,00106SC0002","2223","TOLA1","TOLA01","3.2","12.3254034","45.4322537","TOLA01","370.738","5.5","67.73","TOLA","false"
"MEGI1","Segment MEGI1","Segment MEGI1","00113SC0004,00113SC0005","2356,2377,2378","MEGI1","MEGI01","2.8","12.328732","45.4413782","MEGI01","1115.26","6.0","187.24","MEGI","false"
"BARE2","Segment BARE2","Segment BARE2","","2074","BARE2","BARE02","6.3","12.3371608","45.4357305","BARE02","45.6974","6.7","6.88","BARE","false"
"MEGI3","Segment MEGI3","Segment MEGI3","00113SC0001,00113SC0005","2357","MEGI3","MEGI03","7.8","12.3284765","45.4397111","MEGI03","406.05","13.3","30.51","MEGI","false"
"TETT1","Segment TETT1","Segment TETT1","00103SC0022,00103SC0023,00103SC0024,00103SC0104,00103SC0105","2063","TETT1","TETT01","4.2","12.3424042","45.4381707","TETT01","264.294","6.6","39.95","TETT","false"
"MEGI2","Segment MEGI2","Segment MEGI2","00113SC0001,00113SC0004,00113SC0005","2354,2355","MEGI2","MEGI02","4.4","12.3287581","45.4401984","MEGI02","782.551","7.5","104.88","MEGI","false"
"TETT2","Segment TETT2","Segment TETT2","00103SC0020,00103SC0022,00103SC0105","2071","TETT2","TETT02","5.2","12.3434498","45.4377418","TETT02","1108.88","7.7","143.71","TETT","false"
"MOCE","Segment MOCE","Segment MOCE","00114SC0001,00114SC0004,00114SC0006","2364,2411","MOCE","MOCE01","2.0","12.3301615","45.4406097","MOCE01","1090.16","4.0","272.43","MOCE","true"
"FERA1","Segment FERA1","Segment FERA1","","2076","FERA1","FERA01","4.2","12.3374759","45.435647","FERA01","179.74","5.1","35.47","FERA","false"
"FUOC01","Segment FUOC01","Segment FUOC01","","",,,"14.0",,,,"2464.98","17.1","136.53","FUOC","false"
"FERA2","Segment FERA2","Segment FERA2","","2136,2137,2138","FERA2","FERA02","2.7","12.3381499","45.4352626","FERA02","668.174","4.9","136.44","FERA","false"
"1FIS","Segment 1FIS","Segment 1FIS","","3011","1FIS","FIS001","12.6","12.3129771","45.4259413","FIS001","3311.82","20.0","165.75","1FIS","false"
"FORM","Segment FORM","Segment FORM","00103SC0015,00103SC0019,00103SC0022,00103SC0032,00103SC0112,00103SC0115,00103SC0118","2065","FORM","FORM01","3.2","12.3415912","45.436903","FORM01","1042.09","6.3","164.58","FORM","false"
"CATM01","Segment CATM01","Segment CATM01","","",,,"15.2",,,,"7931.76","19.9",,"CATM","false"
"APON1","Segment APON1","Segment APON1","00003SC0074,00003SC0075,00003SC0112,00187SC0001,00187SC0004,00187SC0010,00187SC0015","2326","APON1","APON01","4.6","12.3315379","45.4380685","APON01","389.221","6.5","59.56","APON","false"
"NICO1","Segment NICO1","Segment NICO1","00003SC0104,00003SC0123,00366SC0001,00219SC0004,00219SC0013","2111,2112","NICO1","NICO01","6.2","12.3157899","45.4326001","NICO01","1464.0","8.5","172.67","NICO","false"
"NICO2","Segment NICO2","Segment NICO2","","2002","NICO2","NICO02","11.0","12.3156299","45.4315615","NICO02","818.481","12.5","65.36","NICO","false"
"APON2","Segment APON2","Segment APON2","00003SC0075,00187SC0002,00187SC0008,00187SC0009,00187SC0010,00187SC0015,00187SC0016","2315","APON2","APON02","4.2","12.3310074","45.4378066","APON02","198.721","5.7","35.09","APON","false"
"DOMI","Segment DOMI","Segment DOMI","00003SC0071,00114SC0002,00114SC0003,00114SC0011","2362,2363","DOMI","DOMI01","4.0","12.3310003","45.44002","DOMI01","1606.47","5.7","282.98","DOMI","false"
"MARG","Segment MARG","Segment MARG","00003SC0076,00219SC0006,00219SC0009,00219SC0011,00219SC0012,00219SC0016,00219SC0018","2123,2124","MARG","MARG01","6.6","12.3224312","45.4343539","MARG01","3117.38","11.2","279.08","MARG","false"
"DROM02","Segment DROM02","Segment DROM02","","",,,"15.5",,,,"4181.29","23.4","178.5","DROM","false"
"DROM01","Segment DROM01","Segment DROM01","","",,,"10.5",,,,"12294.81","32.4","378.9","DROM","false"
"EUFE2","Segment EUFE2","Segment EUFE2","00154SC0002,00154SC0015,00429SC0003","3004","EUFE2","EUFE02","6.8","12.3224884","45.4248738","EUFE02","2055.94","9.0","228.2","EUFE","false"
"EUFE1","Segment EUFE1","Segment EUFE1","00154SC0002,00154SC0015","3003","EUFE1","EUFE01","7.6","12.3232311","45.4266357","EUFE01","1113.12","8.6","129.56","EUFE","false"
"SVEV01","Segment SVEV01","Segment SVEV01","00371SC0006,00371SC0009","",,,"15.0",,,,"6161.85","20.2","305.17","SVEV","false"
"RACH2","Segment RACH2","Segment RACH2","00320SC0007,00320SC0032,00112SC0007,00112SC0011,00112SC0017,00112SC0019,00448SC0002,00448SC0003","2409","RACH2","RACH02","3.8","12.3351209","45.4424008","RACH02","352.15","4.9","72.31","RACH","false"
"BRAZ","Segment BRAZ","Segment BRAZ","00155SC0006,00155SC0007,00155SC0010,00179SC0003,00179SC0004,00179SC0006","2029","BRAZ","BRAZ01","6.6","12.3318171","45.4457856","BRAZ01","578.459","8.0","72.51","BRAZ","false"
"RACH1","Segment RACH1","Segment RACH1","00320SC0006,00320SC0032,00112SC0019,00448SC0001,00448SC0002,00448SC0003,00189SC0005,00189SC0006,00189SC0020","2050","RACH1","RACH01","3.2","12.3357532","45.4429561","RACH01","291.213","4.2","69.55","RACH","false"
"MARN","Segment MARN","Segment MARN","00102SC0009,00102SC0019,00102SC0022","2202,2203,2204","MARN","MARN01","5.2","12.32456","45.4400119","MARN01","2684.89","8.1","331.65","MARN","false"
"BARC1","Segment BARC1","Segment BARC1","00099SC0002,00099SC0014,00099SC0134","2087","BARC1","BARC01","5.4","12.3343168","45.4346545","BARC01","158.096","5.9","27.03","BARC","true"
"BARC2","Segment BARC2","Segment BARC2","00099SC0001,00099SC0010","2291","BARC2","BARC02","5.4","12.3347924","45.4341054","BARC02","871.08","8.4","103.53","BARC","false"
"GRIS1","Segment GRIS1","Segment GRIS1","00103SC0002,00103SC0026","2369,2455,2456","GRIS1","GRIS01","2.4","12.3370339","45.4394892","GRIS01","644.731","4.6","141.26","GRIS","false"
"BUCI","Segment BUCI","Segment BUCI","","2090","BUCI","BUCI01","18.8","12.3510297","45.4353547","BUCI01","1154.26","18.8",,"BUCI","false"
"GRIS2","Segment GRIS2","Segment GRIS2","00103SC0001,00103SC0002,00103SC0003,00103SC0026,00103SC0109","2453","GRIS2","GRIS02","3.2","12.3381579","45.4391127","GRIS02","441.995","5.7","77.95","GRIS","false"
"BARE1","Segment BARE1","Segment BARE1","","2075","BARE1","BARE01","3.8","12.3376157","45.4361027","BARE01","683.714","7.1","96.44","BARE","false"
"CANA01","Segment CANA01","Segment CANA01","00371SC0003,00371SC0004,00371SC0005","",,,"9.9",,,,"2825.31","11.4","246.83","CANA","false"
"GIOB","Segment GIOB","Segment GIOB","","2435,2445","GIOB","GIOB01","3.2","12.3194485","45.4448391","GIOB01","1647.87","6.0","274.35","GIOB","false"
"MICH","Segment MICH","Segment MICH","","2244,2309","MICH","MICH01","2.9","12.3315898","45.4353877","MICH01","484.13","4.7","103.87","MICH","false"
"PERG","Segment PERG","Segment PERG","00320SC0010,00114SC0001,00114SC0002,00114SC0005,00114SC0007","2343,2344","PERG","PERG01","2.8","12.3304306","45.4402933","PERG01","1248.32","4.5","279.39","PERG","false"
"SALV","Segment SALV","Segment SALV","","2457,2458","SALV","SALV01","2.8","12.336116","45.4363468","SALV01","1071.78","5.0","216.53","SALV","false"
"CAND01","Segment CAND01","Segment CAND01","00301SC0001,00369SC0001,00360SC0001","",,,"9.0",,,,"14743.67","19.4","758.55","CAND","false"
"MRTI1","Segment MRTI1","Segment MRTI1","00322SC0004,00115SC0002,00115SC0005,00115SC0007,00115SC0010,00447SC0006","2087","MRTI1","MRTI01","4.2","12.3487988","45.434872","MRTI01","105.177","5.1","20.52","MRTI","false"
"MRTI2","Segment MRTI2","Segment MRTI2","00115SC0008,00115SC0010,00447SC0003,00447SC0006","2088","MRTI2","MRTI02","2.6","12.3495064","45.4348393","MRTI02","316.652","3.6","87.04","MRTI","false"
"AVOG","Segment AVOG","Segment AVOG","00107SC0002,00107SC0009","2117,2122","AVOG","AVOG01","5.6","12.321994","45.432578","AVOG01","1646.41","8.9","185.82","AVOG","false"
"TRAS","Segment TRAS","Segment TRAS","00003SC0031,00003SC0034,00003SC0035,00155SC0004,00155SC0005,00155SC0009,00179SC0002,00179SC0003,00179SC0007","2026","TRAS","TRAS01","5.2","12.3297053","45.446379","TRAS01","483.778","6.5","74.89","TRAS","false"
"CTEO01","Segment CTEO01","Segment CTEO01","00346SC0014,00361SC0001","",,,"9.9",,,,"4720.12","14.5","324.37","CTEO","false"
"TRNC01","Segment TRNC01","Segment TRNC01","","",,,,"12.3067757","45.4387845","TRNC01","186365.42","186.38","999.9","TRNC",
"DELE01","Segment DELE01","Segment DELE01","","",,,,"12.3638671","45.430118","DELE01","65553.04","156.23","419.6","DELE",
"PLON2","Segment PLON2","Segment PLON2","00333SC0002,00333SC0003","3002","PLON2","PLON02","27.4","12.3280731","45.4240319","PLON02","5494.52","39.1","140.69","PLON","false"
"PLON1","Segment PLON1","Segment PLON1","00333SC0001,00333SC0003","3001","PLON1","PLON01","17.8","12.3288181","45.4253117","PLON01","3812.67","29.4","129.78","PLON","false"
"ACCA1","Segment ACCA1","Segment ACCA1","00009SC0127","","ACCA1","ACCA01","4.9","12.3281927","45.4316818","ACCA01","83.5462","5.1","16.6","GRAN","false"
"ACCA2","Segment ACCA2","Segment ACCA2","","","ACCA2","ACCA02","7.1","12.3289187","45.4313515","ACCA02","75.9319","7.2","10.49","GRAN","false"
"TRAP","Segment TRAP","Segment TRAP","00320SC0003,00320SC0004,00320SC0005,00320SC0033,00119SC0002,00119SC0011","2046","TRAP","TRAP01","4.4","12.3330031","45.4434374","TRAP01","1280.78","7.3","175.5","TRAP","false"
"ANZO1","Segment ANZO1","Segment ANZO1","00003SC0066,00108SC0002,00108SC0008,00108SC0010,00108SC0016","2460","ANZO1","ANZO01","4.6","12.3315209","45.43417","ANZO01","459.733","6.2","74.57","ANZO","false"
"SECO02","Segment SECO02","Segment SECO02","","",,,,"12.3199567","45.448211","SECO02","36221.48","115.76","312.9","SECO",
"SECO03","Segment SECO03","Segment SECO03","","",,,,"12.3228877","45.4489723","SECO03","33198.51","163.86","202.6","SECO",
"LATE1","Segment LATE1","Segment LATE1","00103SC0021,00103SC0104","2073","LATE1","LATE01","5.2","12.3433808","45.4381821","LATE01","1221.16","7.0","174.51","LATE","false"
"ZOBE","Segment ZOBE","Segment ZOBE","00099SC0005,00099SC0006,00099SC0007,00099SC0131","2133,2268,2269","ZOBE","ZOBE01","3.6","12.3325736","45.4324674","ZOBE01","1040.12","5.2","201.05","ZOBE","true"
"LATE2","Segment LATE2","Segment LATE2","00136SC0006,00136SC0007,00136SC0012,00136SC0018","2086","LATE2","LATE02","9.0","12.3450629","45.4378542","LATE02","909.077","11.0","82.69","LATE","false"
"MAUR","Segment MAUR","Segment MAUR","00099SC0004,00099SC0011","2130,2131,2266,2267","MAUR","MAUR01","1.2","12.332167","45.4325848","MAUR01","1092.91","4.3","256.32","MAUR","false"
"BRIA","Segment BRIA","Segment BRIA","00219SC0001,00219SC0002,00219SC0009,00219SC0010,00219SC0012,00219SC0016,00219SC0017,II473SC0006,II473SC0007,II473SC0017","2005","BRIA","BRIA01","9.0","12.3205392","45.4341927","BRIA01","1658.37","12.7","130.33","BRIA","false"
"FNUO10","Segment FNUO10","Segment FNUO10","","",,"FNUO10",,"12.3510595","45.4390714","FNUO10","8957.76","58.36","153.5","FNUO",
"FNUO11","Segment FNUO11","Segment FNUO11","","",,"FNUO11",,"12.3587473","45.4400119","FNUO11","71699.86","71.71","999.9","FNUO",
"MARC1","Segment MARC1","Segment MARC1","00119SC0006,00119SC0015","2392","MARC1","MARC01","4.0","12.3298986","45.4439043","MARC01","200.208","5.1","39.51","MARC","false"
"MARC2","Segment MARC2","Segment MARC2","00119SC0006","2391","MARC2","MARC02","4.4","12.3295187","45.4433527","MARC02","627.667","6.4","97.81","MARC","false"
"ORIO3","Segment ORIO3","Segment ORIO3","00102SC0007,00102SC0008,00102SC0019,00102SC0022","2350","ORIO3","ORIO03","6.8","12.3267994","45.4388888","ORIO03","910.587","8.8","103.93","ORIO","false"
"MARC3","Segment MARC3","Segment MARC3","00119SC0006","2390","MARC3","MARC03","6.4","12.3292072","45.4427606","MARC03","319.03","6.9","46.36","MARC","false"
"ORIO2","Segment ORIO2","Segment ORIO2","00113SC0001,00113SC0006","2348","ORIO2","ORIO02","4.0","12.3278681","45.4391278","ORIO02","276.549","5.4","51.32","ORIO","false"
"ORIO1","Segment ORIO1","Segment ORIO1","00113SC0001","2347,2491","ORIO1","ORIO01","4.4","12.3283185","45.4394467","ORIO01","395.008","7.7","51.61","ORIO","false"
"ORSO","Segment ORSO","Segment ORSO","00320SC0009,00108SC0001","2263","ORSO","ORSO01","3.7","12.3299091","45.4320678","ORSO01","413.839","4.5","92.13","ORSO","false"
"TROV2","Segment TROV2","Segment TROV2","00009SC0083,00107SC0005,00107SC0006,00107SC0007,00107SC0010","2227,2228","TROV2","TROV02","5.2","12.326577","45.431053","TROV02","2493.49","9.5","261.92","TROV","false"
"TROV1","Segment TROV1","Segment TROV1","00107SC0006,00107SC0007","2226","TROV1","TROV01","8.0","12.3273642","45.4323219","TROV01","135.691","9.8","13.94","TROV","false"
